,sno,CUI1,CUI2
0,0,C2370309,C4041709
1,1,C3628099,C4035223
2,2,C2760804,C3909546
3,3,C2666127,C3947041
4,4,C0227383,C3021658
5,5,C1541596,C3582701
6,6,C3226425,C3617300
7,7,C0381067,C1323406
8,8,C0022860,C3889827
9,9,C0807945,C1606748
10,10,C0697147,C3014919
11,11,C0238600,C1501364
12,12,C0980468,C1832862
13,13,C3666519,C3778489
14,14,C0529351,C1099661
15,15,C2379263,C3463282
16,16,C0242961,C1184769
17,17,C1309754,C2974900
18,18,C1371318,C3077297
19,19,C1656682,C3728545
20,20,C1553009,C3335185
21,21,C0682474,C3592135
22,22,C2361677,C3541653
23,23,C1448684,C3489943
24,24,C2385948,C2458298
25,25,C3580928,C3871838
26,26,C0651000,C2532149
27,27,C0327207,C2934898
28,28,C0266883,C3434122
29,29,C0601236,C3054975
30,30,C2474722,C2621368
31,31,C1250194,C4006704
32,32,C0564716,C0756417
33,33,C2412305,C3941637
34,34,C1269848,C2302598
35,35,C1383625,C3770138
36,36,C0752136,C2718841
37,37,C1561885,C2443544
38,38,C2761584,C4013966
39,39,C1430287,C3076051
40,40,C2410007,C3079454
41,41,C1422125,C3743790
42,42,C1321962,C3126875
43,43,C2400250,C3574626
44,44,C1430146,C1626444
45,45,C1954356,C3764450
46,46,C0258075,C2612261
47,47,C0970975,C2558041
48,48,C1871838,C2326213
49,49,C1838845,C2582148
50,50,C0802216,C0872956
51,51,C1249506,C3898481
52,52,C1313417,C3019783
53,53,C0684040,C2530795
54,54,C0542906,C1261637
55,55,C3667568,C3936551
56,56,C1512587,C1673390
57,57,C1575024,C2979416
58,58,C0432221,C1621844
59,59,C1324977,C3627759
60,60,C3158760,C3573880
61,61,C1958976,C3453854
62,62,C3109333,C3848872
63,63,C0390474,C3409675
64,64,C2745671,C3035150
65,65,C0078155,C2582964
66,66,C0013923,C1894499
67,67,C1372821,C3444517
68,68,C2416282,C3653802
69,69,C2262896,C2671567
