,sno,CUI1,CUI2
0,0,C2296006,C2638117
1,1,C0213171,C1956203
2,2,C0361077,C1884943
3,3,C1010695,C2455342
4,4,C0260915,C4012663
5,5,C1362854,C2239563
6,6,C0705841,C3044515
7,7,C1742972,C2700596
8,8,C2664376,C3589721
9,9,C1633783,C3979376
10,10,C1143180,C2607576
11,11,C1000965,C3779255
12,12,C0961169,C1178995
13,13,C1199017,C2441762
14,14,C0866270,C2729438
15,15,C3808709,C3894686
16,16,C2527215,C3965967
17,17,C1147826,C3062378
18,18,C1383658,C1742864
19,19,C2826840,C3831884
20,20,C0607773,C1008446
21,21,C0002006,C3713150
22,22,C2424012,C3755539
23,23,C1192539,C3323981
24,24,C3630138,C3735622
25,25,C1213258,C1533405
26,26,C0296634,C3536958
27,27,C1234751,C3633402
28,28,C1905256,C2927656
29,29,C3217045,C3809928
30,30,C0082325,C2583413
31,31,C0483566,C1420390
32,32,C1458605,C2566805
33,33,C3733942,C3822930
34,34,C1432837,C3994602
35,35,C0816142,C0975723
36,36,C0071556,C2740801
37,37,C1075910,C1573100
38,38,C3474030,C3590734
39,39,C0967536,C2388133
40,40,C1915461,C3475114
41,41,C1020450,C2424781
42,42,C3330213,C4044958
43,43,C1037500,C2346348
44,44,C2343286,C3031677
45,45,C2435831,C2650929
46,46,C2469267,C3906013
47,47,C2696024,C3808917
48,48,C1422676,C3159777
49,49,C1932967,C2580725
50,50,C1414097,C3085598
51,51,C2511059,C3996235
52,52,C0941915,C3618843
53,53,C2963851,C3432161
54,54,C0124541,C3069837
55,55,C2820399,C3165594
56,56,C0619130,C3281117
57,57,C3049186,C3133014
58,58,C2551616,C3121408
59,59,C2377620,C3655109
60,60,C2496032,C2911880
61,61,C1217431,C2607032
62,62,C1818720,C4006866
63,63,C0879901,C1639741
64,64,C0553498,C1000814
65,65,C2303257,C3802241
66,66,C0647826,C2525432
67,67,C1471547,C1876874
68,68,C2529046,C4038232
69,69,C1315976,C3921474
