,sno,CUI1,CUI2
0,0,C0729237,C3369671
1,1,C0772611,C2655112
2,2,C2620521,C3981419
3,3,C0292071,C0713652
4,4,C3561605,C3618243
5,5,C1067124,C3716858
6,6,C2799693,C3719633
7,7,C0375724,C2536426
8,8,C1618336,C3718879
9,9,C2418431,C4033759
10,10,C0491997,C1850337
11,11,C2630243,C3716420
12,12,C2397078,C2798856
13,13,C1476365,C3603329
14,14,C3579436,C3753750
15,15,C1487901,C3007068
16,16,C0719809,C1714590
17,17,C0892044,C3323900
18,18,C1258083,C1466839
19,19,C0062496,C0255884
20,20,C1225466,C1992130
21,21,C1315810,C2774849
22,22,C1590550,C3149357
23,23,C0658929,C2775989
24,24,C0871554,C1873187
25,25,C2520415,C3871634
26,26,C1455154,C1571091
27,27,C2507410,C3064960
28,28,C3569755,C3634985
29,29,C1260499,C2578264
30,30,C0606991,C3543983
31,31,C3278583,C4010070
32,32,C1501671,C2256244
33,33,C0571776,C1039073
34,34,C2659012,C3799415
35,35,C3215283,C3753940
36,36,C1520186,C1649278
37,37,C0931086,C1497757
38,38,C0958631,C2436084
39,39,C2514730,C2791302
40,40,C0051871,C2279061
41,41,C1059373,C1491669
42,42,C0540552,C1487133
43,43,C1988611,C2586891
44,44,C0915292,C1872950
45,45,C1816959,C2779517
46,46,C3238242,C3430664
47,47,C1460383,C2935284
48,48,C1368369,C3549365
49,49,C1844554,C2941092
50,50,C1884656,C2667133
51,51,C2745300,C3114620
52,52,C0127361,C0635587
53,53,C0720173,C2529283
54,54,C1426184,C1651258
55,55,C3180515,C3653994
56,56,C1289695,C1981411
57,57,C2571515,C3665040
58,58,C1462856,C3947220
59,59,C0367833,C1069262
60,60,C1007836,C2973739
61,61,C0803334,C1825582
62,62,C0362605,C1891955
63,63,C0830355,C4033252
64,64,C2631293,C3177638
65,65,C2305961,C2308497
66,66,C0756968,C3398076
67,67,C1122442,C2621762
68,68,C3115617,C3713874
69,69,C0242474,C3946232
