,sno,CUI1,CUI2
0,0,C1413549,C3195165
1,1,C1050017,C3425910
2,2,C1157035,C1711193
3,3,C0584551,C2678590
4,4,C1939888,C2803368
5,5,C1958213,C2267498
6,6,C0368227,C1919405
7,7,C0826493,C1194078
8,8,C1189802,C2324164
9,9,C0582961,C2997659
10,10,C2625614,C2628146
11,11,C0951199,C3023329
12,12,C3419951,C3768727
13,13,C2459953,C3601029
14,14,C3256273,C3975908
15,15,C1043935,C1574596
16,16,C0170844,C2494210
17,17,C0068824,C0653320
18,18,C1426827,C3733017
19,19,C1173027,C3335298
20,20,C2492700,C2643133
21,21,C0800982,C3126480
22,22,C1160305,C3158386
23,23,C0018764,C2390197
24,24,C2608869,C3154639
25,25,C1027795,C2381740
26,26,C0710774,C3740184
27,27,C1071915,C4003336
28,28,C0970545,C2933505
29,29,C1764814,C3125700
30,30,C2272788,C3973859
31,31,C1719365,C3721083
32,32,C1046826,C2651099
33,33,C3089043,C3612441
34,34,C2428352,C2533848
35,35,C1422122,C2785517
36,36,C0600534,C2794220
37,37,C1682841,C1935065
38,38,C1668740,C2672769
39,39,C1306378,C3260012
40,40,C1547273,C2929543
41,41,C1882756,C2607118
42,42,C1491967,C3212936
43,43,C3216362,C3426966
44,44,C0599177,C3096375
45,45,C1670728,C2286140
46,46,C1959521,C3579753
47,47,C1851465,C3154490
48,48,C0958988,C2946147
49,49,C0667033,C1824808
50,50,C0344971,C1522034
51,51,C1116049,C2612421
52,52,C0205547,C3016421
53,53,C3039536,C3746681
54,54,C1474530,C2942116
55,55,C3019446,C3657887
56,56,C2290087,C3588508
57,57,C0055690,C3740360
58,58,C1852704,C3447214
59,59,C1212320,C2280393
60,60,C1414080,C3063235
61,61,C0933402,C1941018
62,62,C0879664,C3782465
63,63,C0797389,C2998192
64,64,C0699180,C1641274
65,65,C0247182,C0323436
66,66,C0755374,C1858896
67,67,C0638832,C2795760
68,68,C1158950,C1692831
69,69,C1100240,C1990720
