,sno,CUI1,CUI2
0,0,C2713390,C4011870
1,1,C1325836,C2716604
2,2,C1196452,C3857897
3,3,C0078888,C1476208
4,4,C3749212,C3992809
5,5,C1949289,C2987228
6,6,C1150547,C3390481
7,7,C2499472,C3214019
8,8,C2572794,C3753876
9,9,C2452056,C3736451
10,10,C1567997,C3229583
11,11,C0281413,C0483698
12,12,C1853116,C3025495
13,13,C1189154,C3061094
14,14,C0642865,C3052826
15,15,C1019902,C3644449
16,16,C0664001,C2515074
17,17,C3983192,C4005353
18,18,C0944403,C3321422
19,19,C0821085,C3626133
20,20,C3565113,C3991980
21,21,C1848024,C2279989
22,22,C1897901,C1900067
23,23,C1212331,C3834346
24,24,C3656204,C3809133
25,25,C0518455,C3715860
26,26,C2355223,C2568709
27,27,C0152507,C1358460
28,28,C0562974,C1919951
29,29,C0035100,C2416335
30,30,C2001005,C3952784
31,31,C0067786,C2710669
32,32,C2674149,C2819091
33,33,C2359807,C3278561
34,34,C1554405,C3759104
35,35,C0616663,C1573443
36,36,C2346472,C2770784
37,37,C1089874,C1925625
38,38,C0710185,C3035358
39,39,C3442139,C4045867
40,40,C0482464,C3746932
41,41,C1013420,C1611197
42,42,C0073049,C1229199
43,43,C3814974,C3968094
44,44,C0628450,C2598621
45,45,C2611383,C2793318
46,46,C0600632,C2400566
47,47,C1113814,C1491004
48,48,C2797437,C3725343
49,49,C1201847,C2788712
50,50,C0714145,C1715095
51,51,C2439748,C3788046
52,52,C2382324,C3046701
53,53,C0368044,C3353532
54,54,C0083092,C1333571
55,55,C0942346,C3825487
56,56,C1883583,C2526425
57,57,C1451670,C3037148
58,58,C3102295,C3825094
59,59,C0824303,C3795010
60,60,C3321151,C4015092
61,61,C0632535,C2817324
62,62,C1045360,C3560604
63,63,C1714804,C3470898
64,64,C0825659,C1664442
65,65,C0819873,C2808691
66,66,C1333879,C3738920
67,67,C0073796,C3959379
68,68,C1132470,C1152095
69,69,C0039520,C2268673
