,sno,CUI1,CUI2
0,0,C3071766,C3717090
1,1,C1357771,C2760816
2,2,C0836531,C3094168
3,3,C1474577,C2306315
4,4,C2440453,C3362935
5,5,C0892385,C1474966
6,6,C1122533,C4022203
7,7,C0828500,C2966149
8,8,C0457467,C1824680
9,9,C3581080,C3726572
10,10,C2987291,C3104020
11,11,C3342007,C4034815
12,12,C1307004,C3493249
13,13,C2927698,C4033147
14,14,C1253920,C2326631
15,15,C0863641,C1367808
16,16,C2963633,C3107134
17,17,C2364112,C2760629
18,18,C0093484,C1823467
19,19,C1009455,C1975791
20,20,C0045751,C0722968
21,21,C2743120,C4007190
22,22,C1899841,C3626424
23,23,C3389755,C3976300
24,24,C3269808,C3975523
25,25,C0315996,C3613194
26,26,C3176946,C3178499
27,27,C1179731,C1989584
28,28,C0819940,C3388496
29,29,C0321420,C3013902
30,30,C0723766,C3038925
31,31,C1129310,C1568866
32,32,C1435425,C3634049
33,33,C0370856,C3152359
34,34,C1074741,C1225838
35,35,C1715496,C3160200
36,36,C0804273,C4013432
37,37,C2468978,C3402765
38,38,C0262633,C1864028
39,39,C0027463,C0038836
40,40,C0975922,C3319797
41,41,C0834153,C0908691
42,42,C0918015,C2487172
43,43,C0629477,C3968724
44,44,C0976798,C2453737
45,45,C1191857,C3604986
46,46,C0261345,C3655756
47,47,C0767558,C3635511
48,48,C0241065,C3361524
49,49,C0167018,C1843260
50,50,C1546420,C1833862
51,51,C1035818,C1217340
52,52,C1631244,C3968417
53,53,C3724800,C3848656
54,54,C0267497,C1520899
55,55,C3359129,C3418869
56,56,C3072797,C3257200
57,57,C2559464,C3890946
58,58,C1418595,C1541514
59,59,C1855505,C3642471
60,60,C2500236,C3397626
61,61,C1263579,C3481674
62,62,C2338224,C3033481
63,63,C1203513,C1422935
64,64,C1679252,C2565987
65,65,C3245298,C3364620
66,66,C0816913,C3052658
67,67,C1451698,C3776268
68,68,C1160021,C3798980
69,69,C1081023,C2658943
