,sno,CUI1,CUI2
0,0,C2951733,C3792400
1,1,C2308935,C3563695
2,2,C1039756,C3317934
3,3,C0702341,C2271065
4,4,C1468220,C3716978
5,5,C2708422,C4015522
6,6,C1604457,C3075990
7,7,C2266638,C3563069
8,8,C0424377,C2352561
9,9,C1428600,C2584097
10,10,C2308286,C3071811
11,11,C0043972,C1598858
12,12,C0610321,C1197545
13,13,C0816197,C2492786
14,14,C2559087,C2578416
15,15,C0620042,C0770001
16,16,C1317913,C2649029
17,17,C3421117,C3989862
18,18,C2562022,C3316908
19,19,C1680823,C3776406
20,20,C1876176,C3870471
21,21,C0443877,C2461810
22,22,C0032160,C0956860
23,23,C1048200,C1204807
24,24,C1547677,C2949417
25,25,C1476962,C1910792
26,26,C2507655,C3827956
27,27,C1585224,C3005458
28,28,C0207035,C3014511
29,29,C0895977,C3124843
30,30,C2797553,C3780154
31,31,C2377961,C3772346
32,32,C1478969,C3487970
33,33,C1271681,C3795141
34,34,C0029429,C2669352
35,35,C0723003,C3362195
36,36,C0562021,C3975924
37,37,C3274552,C4038101
38,38,C1332628,C3735252
39,39,C3237552,C3637172
40,40,C0766796,C1560016
41,41,C0210504,C1683551
42,42,C1945920,C3098712
43,43,C2354155,C2565428
44,44,C1228720,C4008731
45,45,C1001492,C2390339
46,46,C1176898,C2547396
47,47,C1224932,C3023401
48,48,C2339462,C2349053
49,49,C3390208,C3987066
50,50,C1078061,C3503480
51,51,C0104401,C0875804
52,52,C0153173,C0925605
53,53,C1232763,C3020951
54,54,C2440425,C3100002
55,55,C2317960,C3245976
56,56,C2496142,C3236762
57,57,C0066981,C1571008
58,58,C0537286,C0941872
59,59,C0022613,C1195805
60,60,C3408689,C3741691
61,61,C3272524,C3713975
62,62,C2697655,C3346424
63,63,C0001738,C3323719
64,64,C1200429,C3048310
65,65,C3039477,C3575690
66,66,C1384210,C2789780
67,67,C1077412,C2511343
68,68,C1954882,C4024246
69,69,C1279455,C1963197
