,sno,CUI1,CUI2
0,0,C0040069,C2342962
1,1,C2379954,C2716773
2,2,C0680532,C2268157
3,3,C2653429,C3271649
4,4,C1196437,C1985733
5,5,C1651453,C3482260
6,6,C1160400,C3594571
7,7,C1344921,C3974541
8,8,C0502173,C2377626
9,9,C2982019,C3415657
10,10,C3022234,C3626867
11,11,C0483944,C3812272
12,12,C2608893,C3067935
13,13,C2273702,C2539077
14,14,C0484973,C0941637
15,15,C1519397,C2687424
16,16,C1247097,C1491775
17,17,C0256190,C3360814
18,18,C3146116,C3896993
19,19,C0159429,C3056027
20,20,C1006598,C2287422
21,21,C0714020,C3028782
22,22,C3584445,C3749234
23,23,C1132367,C3497058
24,24,C0384327,C2983095
25,25,C2453565,C3736525
26,26,C0593554,C3565532
27,27,C3736026,C3956740
28,28,C2400797,C3115177
29,29,C2770995,C3332406
30,30,C2263505,C2354673
31,31,C1258166,C3828559
32,32,C0822854,C2400055
33,33,C1880833,C3092332
34,34,C1909795,C3225936
35,35,C0472514,C3323471
36,36,C3041660,C3910328
37,37,C0796365,C2437081
38,38,C3228162,C3584660
39,39,C1517475,C2709994
40,40,C1309860,C3339328
41,41,C0384641,C1208896
42,42,C2239770,C2753419
43,43,C2981720,C3913609
44,44,C2586561,C3399555
45,45,C0252869,C3475875
46,46,C3023661,C4011464
47,47,C0250445,C3384545
48,48,C1439367,C2650173
49,49,C1213110,C3123706
50,50,C2525367,C3914356
51,51,C2343267,C3595031
52,52,C1579803,C2261645
53,53,C1565675,C4018264
54,54,C0160714,C3105662
55,55,C0800639,C1625985
56,56,C1099789,C2962126
57,57,C0096336,C2430008
58,58,C1447965,C3097472
59,59,C1648183,C3051375
60,60,C0820730,C1053290
61,61,C0109558,C1958077
62,62,C1512639,C2801800
63,63,C0028728,C3947416
64,64,C1539253,C1542891
65,65,C0981765,C3027829
66,66,C0934959,C3227629
67,67,C0581299,C3580505
68,68,C2494903,C3244583
69,69,C1150361,C3233617
