,sno,CUI1,CUI2
0,0,C0366873,C3381588
1,1,C2512318,C2604163
2,2,C3748069,C3886432
3,3,C2247180,C2271044
4,4,C0323973,C0788720
5,5,C0189542,C2963328
6,6,C0138619,C2395034
7,7,C0978358,C3398176
8,8,C0783006,C0996719
9,9,C0031094,C3433872
10,10,C0010536,C3533564
11,11,C1452922,C2352070
12,12,C1289099,C2313444
13,13,C1919592,C3065145
14,14,C0399440,C2932361
15,15,C1056026,C3982989
16,16,C0482270,C1458868
17,17,C1199731,C1266093
18,18,C1045082,C3485128
19,19,C3819203,C3910001
20,20,C0303186,C4026560
21,21,C2389580,C3268777
22,22,C0962367,C1044649
23,23,C2456673,C3871185
24,24,C0506526,C1672675
25,25,C0012444,C1001085
26,26,C1072421,C2757705
27,27,C1638975,C3976700
28,28,C0041194,C2351934
29,29,C0222523,C1044764
30,30,C2266672,C3126130
31,31,C1843877,C1932726
32,32,C2409610,C3817623
33,33,C2999474,C3021525
34,34,C3634163,C3891312
35,35,C1434304,C3813254
36,36,C1243064,C2633241
37,37,C0029485,C3096106
38,38,C1648049,C2825759
39,39,C0924588,C3613931
40,40,C0831753,C3214099
41,41,C0627187,C2586718
42,42,C2526915,C3168399
43,43,C1046377,C3222062
44,44,C0836136,C3771118
45,45,C0160794,C3345070
46,46,C3342016,C3389808
47,47,C0178825,C1647576
48,48,C3228845,C4046026
49,49,C0921171,C2760075
50,50,C1190765,C2623590
51,51,C0289728,C2450324
52,52,C0442815,C1465186
53,53,C1829195,C2634585
54,54,C1094657,C1383982
55,55,C2437810,C3854803
56,56,C0950638,C1441935
57,57,C0047681,C3501615
58,58,C0015117,C3340830
59,59,C1992732,C2484854
60,60,C1516046,C3057310
61,61,C1492057,C1946661
62,62,C3035528,C3941638
63,63,C2683673,C3986188
64,64,C1507591,C3371623
65,65,C1833987,C1969082
66,66,C0802662,C3343997
67,67,C1902823,C3179341
68,68,C3100003,C3437206
69,69,C3465480,C3947556
