,sno,CUI1,CUI2
0,0,C0035551,C2516111
1,1,C0826398,C2404357
2,2,C1268132,C1689614
3,3,C2756290,C3057130
4,4,C3212560,C3994768
5,5,C3042844,C3464871
6,6,C3172697,C3268993
7,7,C0581589,C3792571
8,8,C2692612,C3237928
9,9,C1198631,C3272312
10,10,C0281524,C3356946
11,11,C0824456,C3897196
12,12,C1020972,C3872291
13,13,C2444798,C3271537
14,14,C1081594,C3448948
15,15,C0159884,C0866240
16,16,C1700564,C3637256
17,17,C1325574,C1634153
18,18,C0741800,C2571073
19,19,C1127970,C1261874
20,20,C1538722,C3407567
21,21,C1061792,C2651235
22,22,C1854371,C3127644
23,23,C2470650,C4010902
24,24,C2267589,C3121271
25,25,C1552219,C2267202
26,26,C0724077,C1621946
27,27,C3415409,C3919882
28,28,C3869751,C4038442
29,29,C1902534,C3320964
30,30,C3158794,C3795904
31,31,C3374579,C3975016
32,32,C0046159,C1568758
33,33,C2796881,C2928305
34,34,C1199551,C1506686
35,35,C2941500,C4025381
36,36,C0995266,C3129932
37,37,C1224523,C1628684
38,38,C0670691,C1991994
39,39,C1566595,C1872459
40,40,C1608148,C3385249
41,41,C3068684,C3939897
42,42,C3237933,C3427391
43,43,C1445730,C3618617
44,44,C0654732,C1969807
45,45,C3599854,C3603263
46,46,C2812846,C3785241
47,47,C0042657,C3335186
48,48,C2738356,C3841613
49,49,C0023338,C0998577
50,50,C1667634,C2620361
51,51,C2999479,C3959170
52,52,C1190310,C3535565
53,53,C2659987,C3274963
54,54,C3652949,C4003033
55,55,C1325691,C2534182
56,56,C1442861,C1985730
57,57,C0880972,C1314538
58,58,C0881244,C2541459
59,59,C0087013,C2413282
60,60,C2240617,C3545148
61,61,C3333620,C3576461
62,62,C1029218,C1340656
63,63,C3006408,C3405892
64,64,C2933782,C3925962
65,65,C2416057,C3748893
66,66,C2412671,C3818368
67,67,C2757366,C3157912
68,68,C3655775,C3994878
69,69,C0314886,C3015679
