,sno,CUI1,CUI2
0,0,C0792766,C3781271
1,1,C0721912,C2310739
2,2,C0659954,C2818327
3,3,C1936697,C2294655
4,4,C1711725,C3165857
5,5,C1687461,C2508756
6,6,C1932680,C2989341
7,7,C2457534,C2536600
8,8,C3350103,C3652059
9,9,C2309978,C3573010
10,10,C0251224,C0602831
11,11,C2440476,C3852463
12,12,C0637248,C3331516
13,13,C0300081,C2542820
14,14,C1148054,C3745927
15,15,C1333434,C3364743
16,16,C1469227,C3544850
17,17,C0566887,C3028047
18,18,C1462245,C2499320
19,19,C3322548,C3610716
20,20,C1113899,C1611034
21,21,C3450763,C3935011
22,22,C0037597,C2328177
23,23,C2340565,C2406329
24,24,C1229927,C1518563
25,25,C0814313,C1241547
26,26,C0858321,C1514988
27,27,C0526086,C3541117
28,28,C2564090,C2758688
29,29,C2265437,C3064235
30,30,C1892523,C2717912
31,31,C2294429,C2313467
32,32,C1717620,C2962393
33,33,C1487550,C2573395
34,34,C2553667,C3966794
35,35,C1716679,C1834651
36,36,C3224195,C3365338
37,37,C0046325,C1724496
38,38,C1219476,C3169211
39,39,C1529606,C3571946
40,40,C0720043,C1182868
41,41,C0890626,C0922531
42,42,C3004114,C3798782
43,43,C1154704,C1942287
44,44,C2750892,C3165612
45,45,C3082762,C3723010
46,46,C0834310,C2458996
47,47,C2607613,C2772453
48,48,C1313401,C3776523
49,49,C1049352,C1648746
50,50,C2755022,C3594637
51,51,C1031045,C1130444
52,52,C1052267,C3623408
53,53,C1314235,C3764684
54,54,C0394082,C3712342
55,55,C2305822,C2489776
56,56,C2801630,C2950969
57,57,C2400206,C3923763
58,58,C1331697,C3916881
59,59,C1989352,C3592519
60,60,C2453584,C3533296
61,61,C1234726,C4002084
62,62,C2783874,C3362590
63,63,C0101198,C3003092
64,64,C0597504,C3775992
65,65,C0966794,C3956661
66,66,C0851107,C2634448
67,67,C1000583,C2674171
68,68,C3735824,C4000163
69,69,C3566443,C4003330
