,sno,CUI1,CUI2
0,0,C0649792,C2987838
1,1,C2278901,C2328735
2,2,C2532521,C2798295
3,3,C0576702,C3375335
4,4,C0051276,C0960604
5,5,C3276369,C3327200
6,6,C1067868,C3591186
7,7,C3470207,C3799313
8,8,C2253626,C3699141
9,9,C2553814,C3777793
10,10,C2675571,C3039662
11,11,C2804978,C3433574
12,12,C3596191,C3942481
13,13,C1273658,C3034828
14,14,C0550897,C2652291
15,15,C0700163,C3864681
16,16,C0821867,C3580202
17,17,C1199578,C2328304
18,18,C0048723,C0059464
19,19,C1424497,C3446493
20,20,C2412412,C3891273
21,21,C1567721,C2786310
22,22,C0317964,C3845393
23,23,C3698617,C3734875
24,24,C1214589,C3448518
25,25,C0888466,C1180218
26,26,C2279550,C2322194
27,27,C0818128,C1561686
28,28,C1628714,C3826696
29,29,C1644058,C2804769
30,30,C2614811,C3832764
31,31,C1220006,C2698476
32,32,C0665496,C3974221
33,33,C1549461,C1884134
34,34,C2613697,C3993453
35,35,C1158266,C3541167
36,36,C2565474,C4000076
37,37,C1488114,C3996052
38,38,C1235537,C1964838
39,39,C0045306,C3245714
40,40,C0556295,C3428025
41,41,C2757392,C3003303
42,42,C0788617,C3907888
43,43,C3715445,C3992138
44,44,C1460194,C1829671
45,45,C3261789,C3747767
46,46,C0763953,C2282383
47,47,C0239110,C3831762
48,48,C0552811,C2568455
49,49,C0108170,C0555198
50,50,C1192185,C1496845
51,51,C2530200,C3213353
52,52,C2987736,C3818309
53,53,C1240989,C3845800
54,54,C1849175,C2809761
55,55,C0485917,C2933880
56,56,C1689115,C2323780
57,57,C2545304,C3884494
58,58,C1719855,C3441957
59,59,C0399997,C0922429
60,60,C2953471,C3553788
61,61,C1183310,C3581736
62,62,C1093670,C1175439
63,63,C1172611,C1470932
64,64,C1980690,C2002855
65,65,C1904070,C2610244
66,66,C1146189,C3904757
67,67,C2556890,C3622080
68,68,C0832643,C3896525
69,69,C0622218,C3848020
