,sno,CUI1,CUI2
0,0,C1069864,C3466078
1,1,C1672718,C2405183
2,2,C2994572,C3558362
3,3,C1174047,C1228039
4,4,C0551300,C1956784
5,5,C3352427,C3786391
6,6,C1028207,C2770051
7,7,C0285690,C1311774
8,8,C2291793,C3585095
9,9,C1958447,C3246500
10,10,C2622031,C2783924
11,11,C0657212,C2286803
12,12,C0641920,C0953983
13,13,C3347001,C3363640
14,14,C0159837,C0676180
15,15,C1460938,C3125633
16,16,C0487793,C1186442
17,17,C1831774,C3244204
18,18,C1635385,C3770995
19,19,C0160634,C2459955
20,20,C2626941,C3840734
21,21,C3229131,C3592995
22,22,C1150240,C3215408
23,23,C3621503,C3790563
24,24,C0002749,C1420026
25,25,C2635956,C3590554
26,26,C0266789,C3035029
27,27,C1905121,C4035330
28,28,C1711868,C2484187
29,29,C2786977,C3852643
30,30,C3268424,C3406678
31,31,C3047231,C3337262
32,32,C0795174,C2416823
33,33,C1132840,C3842317
34,34,C0816815,C3036244
35,35,C1816793,C2504300
36,36,C1242504,C1639666
37,37,C2437588,C3753072
38,38,C1468822,C2283775
39,39,C1987581,C3961966
40,40,C2366293,C2668771
41,41,C0640185,C1240175
42,42,C3961825,C4026831
43,43,C2285775,C3259061
44,44,C1241235,C3847590
45,45,C1671710,C2727454
46,46,C3373910,C3718069
47,47,C0424475,C1048616
48,48,C2288409,C3345927
49,49,C1498084,C2272326
50,50,C1085641,C3922993
51,51,C3612951,C3654836
52,52,C1004406,C2312440
53,53,C2684015,C3808583
54,54,C0640396,C3751137
55,55,C0280728,C0928558
56,56,C1999827,C2712520
57,57,C1279630,C3831631
58,58,C1016277,C2739554
59,59,C0943211,C1002663
60,60,C1466554,C2962556
61,61,C1496362,C3904365
62,62,C1075415,C1987194
63,63,C1848321,C2799094
64,64,C0975354,C1012987
65,65,C1559516,C2292194
66,66,C3942299,C3951357
67,67,C0734985,C1361889
68,68,C0080830,C2818702
69,69,C1020010,C2658280
