,sno,CUI1,CUI2
0,0,C1127212,C2703554
1,1,C0608637,C1179373
2,2,C2339669,C2813084
3,3,C3844591,C4045679
4,4,C1900689,C2769574
5,5,C3272130,C3917499
6,6,C0921553,C3827689
7,7,C2461359,C3594782
8,8,C1089249,C3398027
9,9,C0158285,C0432050
10,10,C1546317,C2771177
11,11,C1247360,C1476045
12,12,C0348526,C1967330
13,13,C3852063,C4023476
14,14,C0085819,C2270010
15,15,C2775185,C2818614
16,16,C1518062,C2002678
17,17,C1521399,C2824447
18,18,C1158183,C2440970
19,19,C1543419,C1571239
20,20,C1470513,C3855847
21,21,C0818672,C3713023
22,22,C2487572,C4035266
23,23,C3246338,C3924277
24,24,C0941098,C2368902
25,25,C1572338,C2443194
26,26,C3783094,C3843573
27,27,C3606048,C3797514
28,28,C1549875,C2357694
29,29,C0229040,C1891059
30,30,C2323693,C2611901
31,31,C1764763,C2255998
32,32,C1246251,C2459844
33,33,C0986077,C1635773
34,34,C3225050,C3946018
35,35,C0723356,C1848350
36,36,C0611481,C0713830
37,37,C1235247,C3064597
38,38,C1715179,C3978627
39,39,C1309237,C2932507
40,40,C1327009,C3316197
41,41,C2550745,C3916146
42,42,C0968032,C1367279
43,43,C2483175,C3253376
44,44,C1578196,C3324138
45,45,C1420970,C2929756
46,46,C1081003,C3492069
47,47,C0601930,C1919713
48,48,C2465050,C2952716
49,49,C2536553,C3261678
50,50,C2328741,C3345510
51,51,C0504742,C3903502
52,52,C1847823,C3172335
53,53,C1668094,C1903784
54,54,C0997264,C2061181
55,55,C1632325,C3364981
56,56,C3181222,C3636141
57,57,C3052608,C3126099
58,58,C0865280,C2984513
59,59,C1849287,C3181863
60,60,C0633898,C3562238
61,61,C1427154,C3547101
62,62,C0238716,C1281584
63,63,C0482000,C3660603
64,64,C0733108,C2822706
65,65,C1715076,C1869864
66,66,C1675768,C2459161
67,67,C1514455,C3912236
68,68,C1189963,C3963352
69,69,C1059628,C3190556
