,sno,CUI1,CUI2
0,0,C1077761,C3593364
1,1,C1866575,C3420519
2,2,C2433071,C2606578
3,3,C0890711,C1859571
4,4,C0456824,C1518595
5,5,C1521050,C3107423
6,6,C0974435,C1629580
7,7,C0565342,C2621035
8,8,C0500799,C3642105
9,9,C2427216,C3321060
10,10,C0826324,C1257234
11,11,C2271320,C3823020
12,12,C0724070,C3553957
13,13,C1471329,C3147555
14,14,C1574501,C3004386
15,15,C2649620,C3759482
16,16,C0050385,C1662364
17,17,C1573384,C3327248
18,18,C1114940,C1595651
19,19,C0923044,C3915824
20,20,C0958704,C1453433
21,21,C1889471,C1929271
22,22,C2622051,C3008990
23,23,C2330133,C2772001
24,24,C1176417,C2677425
25,25,C1870471,C3328084
26,26,C1077177,C3118548
27,27,C2566635,C2945762
28,28,C3094901,C3563612
29,29,C0156265,C0273526
30,30,C1124533,C1197977
31,31,C0591685,C0932825
32,32,C3439982,C3639538
33,33,C2772098,C3085159
34,34,C0299766,C2341292
35,35,C0059655,C2667578
36,36,C1175647,C1189481
37,37,C1570173,C3368602
38,38,C0021359,C1578286
39,39,C1026819,C3949344
40,40,C0639206,C3086228
41,41,C1079954,C4033768
42,42,C0542088,C1630857
43,43,C2787915,C3613336
44,44,C2820028,C3851033
45,45,C0712846,C2317384
46,46,C2416469,C3714951
47,47,C2631282,C3764730
48,48,C3823671,C3946907
49,49,C1569485,C2824853
50,50,C0133612,C1438937
51,51,C1136447,C3692319
52,52,C0129975,C2572531
53,53,C1690089,C2611148
54,54,C1070711,C3769983
55,55,C3746429,C3775324
56,56,C3390743,C3883950
57,57,C1700577,C2813404
58,58,C0063830,C3500684
59,59,C1305507,C3776076
60,60,C2659960,C3792450
61,61,C0501351,C3758273
62,62,C0504213,C3049834
63,63,C0230345,C0620342
64,64,C0504733,C3332306
65,65,C2725383,C3771960
66,66,C2687555,C2918531
67,67,C3568233,C3982226
68,68,C0490906,C1668057
69,69,C2532366,C3613149
