,sno,CUI1,CUI2
0,0,C0889332,C3248408
1,1,C2275402,C3965977
2,2,C0037747,C0157422
3,3,C0681340,C1651701
4,4,C2970354,C4035675
5,5,C3309739,C3733178
6,6,C0042446,C1075024
7,7,C0128430,C1024011
8,8,C2449095,C3951205
9,9,C0230401,C3401681
10,10,C0021830,C2425414
11,11,C1288365,C2727348
12,12,C2751822,C3627179
13,13,C1324354,C3817681
14,14,C3941602,C3984084
15,15,C1988872,C3529322
16,16,C1431044,C3382162
17,17,C0689077,C1203601
18,18,C1310459,C1866623
19,19,C1421545,C3628120
20,20,C0453809,C3002706
21,21,C3128489,C3558060
22,22,C2383692,C2476468
23,23,C1280719,C3667601
24,24,C0711906,C3392851
25,25,C0357400,C2444974
26,26,C0888870,C1956115
27,27,C0945202,C1305846
28,28,C0238428,C3042002
29,29,C1903158,C3898161
30,30,C1887506,C2182861
31,31,C2453354,C3597768
32,32,C1257833,C3618211
33,33,C3094224,C3501689
34,34,C3125347,C3882666
35,35,C0497197,C3842448
36,36,C1042953,C3921155
37,37,C0829681,C1237252
38,38,C1076933,C3783015
39,39,C1197688,C1335481
40,40,C0644359,C3753304
41,41,C3833887,C3988282
42,42,C0990352,C3081179
43,43,C0032120,C0807791
44,44,C1124837,C1298713
45,45,C0927422,C1217804
46,46,C2459997,C2975074
47,47,C2696407,C3749837
48,48,C2681700,C3052683
49,49,C0821388,C3951211
50,50,C0658228,C2405905
51,51,C0989616,C3985261
52,52,C0683578,C1523053
53,53,C3033387,C3773499
54,54,C2736981,C3826519
55,55,C1599569,C1627041
56,56,C0643442,C4037082
57,57,C3068055,C3166585
58,58,C0233774,C3608583
59,59,C0356239,C2663536
60,60,C0126591,C3036604
61,61,C1922606,C4025611
62,62,C2484866,C3133054
63,63,C1417854,C4014089
64,64,C3402335,C3823400
65,65,C0357097,C2679608
66,66,C0649134,C1096957
67,67,C3082599,C3759117
68,68,C0964575,C3382672
69,69,C0840804,C1015548
