,sno,CUI1,CUI2
0,0,C2791321,C3159025
1,1,C1421876,C2262764
2,2,C1160589,C3357163
3,3,C2572925,C3334316
4,4,C1215260,C2401671
5,5,C1516492,C1818468
6,6,C0910469,C3563208
7,7,C1957546,C3798381
8,8,C0330569,C3439142
9,9,C1487031,C1847043
10,10,C1715181,C3272732
11,11,C1888953,C3443828
12,12,C2655480,C2972981
13,13,C0329513,C1639270
14,14,C1703438,C4004838
15,15,C2330293,C2695815
16,16,C0958906,C1002855
17,17,C0346360,C2663049
18,18,C2505184,C3130563
19,19,C0161494,C2253964
20,20,C0796757,C3161116
21,21,C2286237,C2353854
22,22,C0284198,C1434993
23,23,C3362966,C3562390
24,24,C2424563,C3758745
25,25,C0874885,C2646332
26,26,C2617241,C3006818
27,27,C3013546,C3245719
28,28,C1004871,C2483648
29,29,C0649255,C1223772
30,30,C1529641,C2987665
31,31,C0868160,C3221377
32,32,C1011440,C4046523
33,33,C0134649,C1947179
34,34,C3175471,C3692374
35,35,C1931982,C2313619
36,36,C0611627,C3243981
37,37,C1469797,C3631278
38,38,C1152044,C3976185
39,39,C0246428,C2574301
40,40,C3425018,C3905492
41,41,C2769181,C3851342
42,42,C1493686,C2654040
43,43,C0245525,C2301404
44,44,C1262871,C3885331
45,45,C1642725,C2980068
46,46,C1059934,C4025894
47,47,C0810269,C3559104
48,48,C0836811,C1455954
49,49,C2477569,C2827445
50,50,C0889474,C3423913
51,51,C2655138,C3134350
52,52,C1472150,C4004062
53,53,C1942561,C3367355
54,54,C1084697,C1207580
55,55,C1057992,C3455305
56,56,C1078070,C2964538
57,57,C0647839,C1211256
58,58,C2785287,C3372954
59,59,C0085104,C2798429
60,60,C3275093,C3805453
61,61,C1242427,C1470037
62,62,C2701192,C3418753
63,63,C0161887,C2945294
64,64,C0078215,C2352345
65,65,C0801870,C3724341
66,66,C1157435,C3550404
67,67,C2415621,C2501701
68,68,C1625643,C3847597
69,69,C2535688,C3442323
