,sno,CUI1,CUI2
0,0,C0993360,C2745232
1,1,C1157023,C1447825
2,2,C2828860,C3124236
3,3,C0015223,C2300545
4,4,C3384515,C3541500
5,5,C1368161,C1489336
6,6,C2500541,C3661238
7,7,C1523156,C2019839
8,8,C0974423,C2382982
9,9,C1639003,C1817599
10,10,C1925243,C3222483
11,11,C0791323,C3919939
12,12,C1947042,C3035258
13,13,C0326326,C3971258
14,14,C1676001,C3573886
15,15,C1071049,C2974840
16,16,C0329549,C3568619
17,17,C2387767,C2756612
18,18,C3001671,C3807962
19,19,C0866180,C2777750
20,20,C1363624,C1958180
21,21,C0294501,C3545904
22,22,C1026582,C3560978
23,23,C3093519,C3864771
24,24,C3419438,C4006700
25,25,C0425343,C3258070
26,26,C1718495,C3116648
27,27,C2486056,C3370109
28,28,C1068890,C1551215
29,29,C0238104,C0520174
30,30,C1335168,C1889149
31,31,C0827977,C3976770
32,32,C1025533,C1427103
33,33,C1577091,C3982649
34,34,C2757951,C2787166
35,35,C0144876,C3924635
36,36,C1598005,C3809196
37,37,C2310181,C3599830
38,38,C0226832,C1826214
39,39,C0631005,C0701257
40,40,C1083570,C3173488
41,41,C0506688,C3375930
42,42,C0763289,C3268494
43,43,C2657930,C3254718
44,44,C0259544,C2351456
45,45,C2613547,C2917862
46,46,C1167528,C1189940
47,47,C2578063,C3792876
48,48,C1431634,C1981685
49,49,C0355181,C4011196
50,50,C3067423,C3493467
51,51,C1435347,C2658048
52,52,C1045535,C3132086
53,53,C1816550,C1824560
54,54,C2993999,C3722267
55,55,C1157617,C2993131
56,56,C0475409,C2224052
57,57,C1910797,C3667883
58,58,C1283231,C3419124
59,59,C3397767,C3600388
60,60,C2282601,C3415801
61,61,C2663518,C2997927
62,62,C1042697,C1048719
63,63,C1930525,C1968353
64,64,C1137646,C3586352
65,65,C0651786,C0880315
66,66,C0538008,C2789371
67,67,C0623445,C2810773
68,68,C1965364,C3026675
69,69,C3152694,C3657447
