,sno,CUI1,CUI2
0,0,C0044297,C2415267
1,1,C2686868,C2800203
2,2,C1013132,C1487762
3,3,C2930803,C3126839
4,4,C1310212,C1446442
5,5,C2636856,C3057046
6,6,C1207401,C3503418
7,7,C1545638,C3640272
8,8,C1883082,C2790111
9,9,C0209107,C1365557
10,10,C1648082,C2354071
11,11,C0018341,C3957755
12,12,C1189333,C3147218
13,13,C1861429,C1945336
14,14,C0781718,C4036317
15,15,C1064046,C1842392
16,16,C0292282,C3573027
17,17,C1024862,C2332610
18,18,C2332266,C3891863
19,19,C1642291,C2676882
20,20,C1563562,C2534124
21,21,C1836251,C3033746
22,22,C1086770,C1206129
23,23,C1848620,C3046051
24,24,C1420381,C3071841
25,25,C1251056,C1883574
26,26,C0368595,C3925435
27,27,C1043577,C3243837
28,28,C2267926,C3483682
29,29,C0601293,C1570395
30,30,C3056420,C3534167
31,31,C0067235,C3570655
32,32,C0370067,C0382802
33,33,C1569270,C3134395
34,34,C1847375,C4011399
35,35,C1429682,C2656672
36,36,C3016369,C3134176
37,37,C1628816,C2984053
38,38,C1180836,C2622702
39,39,C3841371,C3964092
40,40,C0486404,C3024921
41,41,C1649504,C2814203
42,42,C0452386,C3107548
43,43,C2442440,C2492476
44,44,C0135198,C3757664
45,45,C0364828,C2458112
46,46,C1237471,C1683156
47,47,C0739401,C3150446
48,48,C0882741,C1971947
49,49,C0208950,C3254843
50,50,C0651881,C3278774
51,51,C1622210,C1982600
52,52,C2540777,C2759765
53,53,C0834477,C3981400
54,54,C2701306,C3750212
55,55,C0162653,C3104323
56,56,C1860653,C3792839
57,57,C1227589,C4035392
58,58,C0251272,C1227366
59,59,C3094968,C3974725
60,60,C1147561,C3917135
61,61,C1209707,C3160542
62,62,C0005400,C1502329
63,63,C0176186,C3633293
64,64,C3785916,C3934447
65,65,C1210483,C3603923
66,66,C1932419,C3261074
67,67,C2667482,C3561001
68,68,C2638023,C4035011
69,69,C1835401,C2493213
