,sno,CUI1,CUI2
0,0,C0917326,C3179532
1,1,C2767111,C2995994
2,2,C0222470,C1647341
3,3,C2778412,C3955038
4,4,C2982212,C3784410
5,5,C0261994,C3092015
6,6,C1503723,C3576270
7,7,C1988528,C2758361
8,8,C2775439,C3530635
9,9,C0878261,C3020476
10,10,C1932871,C2577832
11,11,C0416899,C1644977
12,12,C2583300,C3093731
13,13,C0290032,C3828236
14,14,C0819405,C3068131
15,15,C1019784,C2998811
16,16,C1886860,C4023192
17,17,C0951206,C1165860
18,18,C2807385,C3381857
19,19,C1034148,C1244439
20,20,C1926398,C2689398
21,21,C1212297,C2510334
22,22,C1643177,C3394680
23,23,C1066896,C2468122
24,24,C3886550,C3956139
25,25,C1447361,C1895463
26,26,C1074721,C2823958
27,27,C3127730,C3790302
28,28,C0751825,C1674697
29,29,C3572145,C3753481
30,30,C1093768,C3743238
31,31,C0161063,C2672975
32,32,C0935285,C1537719
33,33,C1475834,C3907000
34,34,C3570116,C3645200
35,35,C1890459,C2349843
36,36,C0021706,C1059620
37,37,C1599659,C2658970
38,38,C1319676,C3934212
39,39,C0010244,C3414212
40,40,C0878381,C4018410
41,41,C2693730,C3227558
42,42,C1882659,C3237733
43,43,C0820163,C1152675
44,44,C2382997,C2783796
45,45,C0593248,C1247796
46,46,C1666611,C2306538
47,47,C3340613,C3386032
48,48,C2360433,C3331053
49,49,C1984378,C3770866
50,50,C0502286,C2385075
51,51,C0113510,C1593245
52,52,C0827874,C3084713
53,53,C1053873,C3423282
54,54,C2289519,C2633117
55,55,C1743373,C2454673
56,56,C1959550,C3384365
57,57,C1600949,C3061069
58,58,C1829682,C2795342
59,59,C0797173,C2793167
60,60,C2284982,C3850197
61,61,C0808031,C3113118
62,62,C0486156,C1449337
63,63,C1135600,C3107588
64,64,C1859613,C3100565
65,65,C3097304,C3770095
66,66,C0532510,C3360249
67,67,C2325982,C2532092
68,68,C2989409,C3614447
69,69,C2347147,C3588294
