,sno,CUI1,CUI2
0,0,C0567038,C2446781
1,1,C1862197,C3169849
2,2,C1716122,C3533788
3,3,C0791959,C1937779
4,4,C1552605,C3954312
5,5,C1018889,C1882914
6,6,C3409050,C3826272
7,7,C1897157,C4034684
8,8,C1929893,C2069358
9,9,C1526485,C2312845
10,10,C0078323,C0892115
11,11,C1202197,C2268244
12,12,C1185438,C3733059
13,13,C0932661,C3982340
14,14,C1555160,C3729576
15,15,C0060761,C1074351
16,16,C0620251,C2572575
17,17,C1646786,C3037723
18,18,C3077340,C4003937
19,19,C0234672,C3814823
20,20,C0086464,C3503518
21,21,C0868645,C2473567
22,22,C1860139,C3959620
23,23,C1289040,C2469536
24,24,C0882843,C3237178
25,25,C1547144,C1599102
26,26,C1662017,C3896926
27,27,C2304850,C2789160
28,28,C2982722,C3413337
29,29,C0037498,C1474644
30,30,C1718345,C3967368
31,31,C3000705,C3914892
32,32,C2325465,C3435882
33,33,C0014168,C2765916
34,34,C2338868,C3258518
35,35,C2451756,C3539207
36,36,C1040114,C1888351
37,37,C0925079,C3666516
38,38,C1300554,C3122504
39,39,C0655841,C4007353
40,40,C1630370,C3394747
41,41,C0975752,C2346609
42,42,C3700054,C3964642
43,43,C0296689,C3618474
44,44,C3724833,C3990936
45,45,C1864590,C3626571
46,46,C0653682,C1335040
47,47,C1937366,C3112780
48,48,C0297926,C2546996
49,49,C3025242,C3869772
50,50,C3743002,C3870247
51,51,C1061883,C2529180
52,52,C1192537,C3056622
53,53,C0835854,C2295839
54,54,C0914874,C3595803
55,55,C1687509,C4007244
56,56,C1010083,C1500433
57,57,C3587781,C3641525
58,58,C1640683,C3856023
59,59,C0803117,C0927288
60,60,C2380021,C2567925
61,61,C1545216,C2542676
62,62,C1434900,C2269362
63,63,C0909434,C1217822
64,64,C1438140,C2533990
65,65,C2421638,C3128985
66,66,C1558823,C1968974
67,67,C1307487,C3059055
68,68,C1884856,C2547066
69,69,C1842276,C2784948
