,sno,CUI1,CUI2
0,0,C1174604,C1447562
1,1,C0770900,C1428894
2,2,C1665493,C3425338
3,3,C2542150,C3975757
4,4,C2630714,C3428445
5,5,C0804531,C1461594
6,6,C2349229,C3225695
7,7,C1072310,C1861805
8,8,C2377181,C3946925
9,9,C3595616,C3638084
10,10,C0593202,C3732627
11,11,C0527043,C1640306
12,12,C3083968,C3721756
13,13,C2760974,C3321157
14,14,C1672543,C2470706
15,15,C1918752,C3171732
16,16,C1135137,C2756163
17,17,C2824692,C2973242
18,18,C3596206,C3994299
19,19,C1689115,C2273601
20,20,C0160795,C0865484
21,21,C1170505,C1479153
22,22,C1626882,C2961103
23,23,C1857258,C2338553
24,24,C0912288,C2240738
25,25,C1038299,C3571646
26,26,C2821302,C3883468
27,27,C1053041,C2270161
28,28,C0362583,C3352090
29,29,C1623224,C3236472
30,30,C2672947,C3984759
31,31,C1022420,C3322527
32,32,C3563228,C3611401
33,33,C2449198,C3368721
34,34,C1881297,C2484424
35,35,C0635128,C3308063
36,36,C0261143,C3329185
37,37,C0342684,C1888958
38,38,C1072329,C3773402
39,39,C0801985,C3787456
40,40,C0833190,C1874214
41,41,C1213721,C4007914
42,42,C2578255,C2793249
43,43,C1711181,C2354222
44,44,C1053185,C3931957
45,45,C2048759,C3035604
46,46,C1647526,C2428278
47,47,C0328149,C1361955
48,48,C1173254,C3904450
49,49,C3623098,C3997344
50,50,C1722646,C3376578
51,51,C0692675,C3592707
52,52,C0836081,C2708427
53,53,C0442533,C1471566
54,54,C0926909,C3134163
55,55,C1333991,C2306681
56,56,C2752196,C3809807
57,57,C0185150,C1204224
58,58,C0031131,C0062046
59,59,C0709396,C1315798
60,60,C0836920,C1643068
61,61,C1904444,C3392287
62,62,C1996414,C2299379
63,63,C1485128,C2822640
64,64,C0152218,C3023237
65,65,C1001827,C2277101
66,66,C1516201,C2687549
67,67,C3410473,C3918564
68,68,C1899441,C1906865
69,69,C0603120,C3118930
