,sno,CUI1,CUI2
0,0,C1054381,C2632706
1,1,C2800754,C3587490
2,2,C0490819,C1870562
3,3,C2757698,C3356714
4,4,C2796930,C3008061
5,5,C0979840,C3999890
6,6,C3119752,C3419598
7,7,C3052677,C3240898
8,8,C1159285,C2787585
9,9,C2424913,C2785594
10,10,C2938576,C3080007
11,11,C2398186,C3632753
12,12,C0535298,C3791068
13,13,C1482521,C2610495
14,14,C1202504,C2786265
15,15,C0825457,C2564644
16,16,C0085566,C2533745
17,17,C2804438,C3657033
18,18,C1738901,C2776359
19,19,C2312522,C2744231
20,20,C0785629,C3533516
21,21,C1212658,C3765744
22,22,C0798720,C2550900
23,23,C1475319,C2449850
24,24,C1125545,C1442368
25,25,C2277086,C3928069
26,26,C1424364,C3658086
27,27,C1433054,C3565276
28,28,C1220121,C2278117
29,29,C2693655,C3733681
30,30,C1081014,C2964155
31,31,C1453774,C2653749
32,32,C1818777,C3826051
33,33,C0982333,C1453261
34,34,C3133486,C3930077
35,35,C2303489,C2360825
36,36,C2263232,C2442015
37,37,C1028979,C3466256
38,38,C1494653,C3388058
39,39,C0367704,C2489401
40,40,C1227454,C1229089
41,41,C0924095,C1817724
42,42,C0649179,C2633198
43,43,C0304123,C1419022
44,44,C1523440,C2713862
45,45,C2701352,C3724478
46,46,C1993490,C2372764
47,47,C3206852,C4001049
48,48,C1912273,C2387333
49,49,C1316541,C1741601
50,50,C0030753,C1940810
51,51,C0581654,C2706947
52,52,C1541215,C3920690
53,53,C0077230,C1959305
54,54,C0391429,C1900413
55,55,C1511551,C2564283
56,56,C3007500,C3008039
57,57,C0635540,C1494278
58,58,C0354620,C3125222
59,59,C0647507,C1248303
60,60,C1194955,C3213093
61,61,C1333368,C3640645
62,62,C0857213,C2398492
63,63,C0881672,C3073258
64,64,C2307746,C3733409
65,65,C0505542,C2781315
66,66,C3224966,C3276008
67,67,C1486148,C2375732
68,68,C0887046,C2542004
69,69,C1071056,C3572040
