,sno,CUI1,CUI2
0,0,C1461762,C3132617
1,1,C2473160,C3439137
2,2,C0680827,C2581584
3,3,C3079764,C3830017
4,4,C1050743,C2782124
5,5,C1942064,C3223430
6,6,C1186732,C2755923
7,7,C0803004,C1937148
8,8,C3217959,C3404680
9,9,C2531645,C3544686
10,10,C0382296,C3660431
11,11,C0108303,C3006635
12,12,C0485059,C0590567
13,13,C1431337,C1880796
14,14,C3348972,C3955349
15,15,C0338283,C1343460
16,16,C0186317,C3245247
17,17,C1204740,C1650098
18,18,C1840218,C3952902
19,19,C1137083,C3621131
20,20,C0914130,C3658464
21,21,C0205426,C3014389
22,22,C1150180,C1156803
23,23,C1543238,C3069846
24,24,C2473268,C3557232
25,25,C1120899,C3661166
26,26,C0096717,C0892315
27,27,C1893296,C2634649
28,28,C0883189,C1154522
29,29,C0638939,C1143117
30,30,C2405876,C3372187
31,31,C0076219,C1438705
32,32,C0373729,C2409520
33,33,C1028119,C1228231
34,34,C2944459,C3573299
35,35,C2459349,C3586947
36,36,C2649124,C3720808
37,37,C0064713,C0542239
38,38,C0223520,C0329339
39,39,C0924534,C0931494
40,40,C0053221,C2345164
41,41,C1142484,C1896937
42,42,C0646952,C3404193
43,43,C2544348,C3598951
44,44,C1232697,C3789698
45,45,C1495040,C2565969
46,46,C1025507,C1586029
47,47,C2780225,C3582953
48,48,C1577622,C3019256
49,49,C2934037,C3064811
50,50,C1463490,C1910931
51,51,C2261457,C2415667
52,52,C1136003,C3118551
53,53,C0264869,C3276054
54,54,C0737942,C2286807
55,55,C1544857,C3402256
56,56,C0330221,C2361879
57,57,C1232486,C1839378
58,58,C0820665,C2375646
59,59,C0450471,C0715002
60,60,C0054729,C0826522
61,61,C1593544,C3099027
62,62,C1824792,C2387740
63,63,C2474079,C3155107
64,64,C2508028,C3603262
65,65,C2305302,C4007936
66,66,C3080552,C3367753
67,67,C0265025,C1609399
68,68,C3066261,C3080927
69,69,C1663657,C3339932
