,sno,CUI1,CUI2
0,0,C1306519,C3784532
1,1,C1857208,C2457910
2,2,C0535938,C1426788
3,3,C0687754,C3494475
4,4,C2717716,C3716280
5,5,C2788129,C3351417
6,6,C2605970,C3998348
7,7,C3773765,C3989861
8,8,C0088220,C2525871
9,9,C0806586,C3015414
10,10,C3094841,C3736083
11,11,C0008346,C3940894
12,12,C0485089,C0810147
13,13,C1530588,C1895733
14,14,C2408521,C2468881
15,15,C0520224,C0802352
16,16,C2484063,C3731379
17,17,C0388124,C2494449
18,18,C1145847,C2469465
19,19,C3213582,C3490252
20,20,C1529033,C3279300
21,21,C1317294,C3915814
22,22,C1660424,C2720164
23,23,C1888059,C1925512
24,24,C0107579,C0957443
25,25,C2823912,C3328742
26,26,C0320000,C3889615
27,27,C2455733,C2811138
28,28,C1907502,C2679066
29,29,C0490503,C1146768
30,30,C0242733,C3450497
31,31,C2368408,C3661094
32,32,C2462752,C3342710
33,33,C1247970,C1515309
34,34,C1170302,C2655382
35,35,C2512753,C3660345
36,36,C0619844,C3591102
37,37,C1284693,C1910526
38,38,C1335651,C1901549
39,39,C0489266,C0798166
40,40,C1256468,C2627935
41,41,C1133059,C2302179
42,42,C0621963,C2669524
43,43,C0800679,C1244458
44,44,C0024221,C3915282
45,45,C1463103,C1661313
46,46,C1182209,C2003501
47,47,C0256868,C1430229
48,48,C3594450,C3888124
49,49,C0928576,C2622293
50,50,C1038715,C3980918
51,51,C1183358,C3551141
52,52,C3211859,C3553730
53,53,C2490151,C3131047
54,54,C1836542,C3258156
55,55,C0538963,C0622141
56,56,C0170137,C3905751
57,57,C0919282,C3106454
58,58,C1438384,C3779521
59,59,C1184134,C3159355
60,60,C1192178,C3053040
61,61,C1946592,C3871982
62,62,C3052501,C3815658
63,63,C2507969,C2939484
64,64,C0044827,C3926987
65,65,C0759450,C3147876
66,66,C1034907,C3720546
67,67,C3031404,C3820412
68,68,C1648523,C1905911
69,69,C2000588,C3572783
