,sno,CUI1,CUI2
0,0,C2929120,C4015053
1,1,C0632246,C1192308
2,2,C1120120,C3021288
3,3,C0016924,C3086660
4,4,C0299451,C3327192
5,5,C2364813,C3908496
6,6,C1006489,C1837164
7,7,C0492667,C0499664
8,8,C0278659,C3502064
9,9,C3067643,C3078001
10,10,C2689365,C3849782
11,11,C2415573,C2929963
12,12,C2001563,C3641083
13,13,C1018794,C3243565
14,14,C1200823,C3603142
15,15,C0797999,C1279763
16,16,C1688857,C2792191
17,17,C0923776,C2345496
18,18,C0980648,C1484978
19,19,C1235630,C4000309
20,20,C1245527,C3389505
21,21,C0314653,C0605997
22,22,C0819091,C1359906
23,23,C2775709,C3587954
24,24,C0389270,C3997861
25,25,C1227751,C1477209
26,26,C2975711,C3118787
27,27,C2012295,C2457468
28,28,C3712299,C3948716
29,29,C2983793,C3801029
30,30,C3151156,C3546729
31,31,C1696842,C1846970
32,32,C1269029,C2940860
33,33,C1350568,C3045417
34,34,C2676222,C3976179
35,35,C1441378,C3119436
36,36,C2755446,C2825053
37,37,C0977506,C4000748
38,38,C2467828,C3438879
39,39,C0614788,C1324366
40,40,C3192498,C3409770
41,41,C1722762,C3802758
42,42,C2444896,C2651622
43,43,C2336848,C3278995
44,44,C2499509,C2788801
45,45,C2783043,C3757156
46,46,C0888222,C2644092
47,47,C1987918,C2398026
48,48,C1010302,C1463845
49,49,C1008200,C1159794
50,50,C1647071,C4037818
51,51,C1081603,C2633906
52,52,C1203573,C1212839
53,53,C2309158,C3751494
54,54,C2440527,C3964499
55,55,C1869751,C2412282
56,56,C3538645,C3589937
57,57,C1458442,C1979092
58,58,C2535190,C3375994
59,59,C2274699,C3865208
60,60,C3017459,C3422301
61,61,C3426247,C3915545
62,62,C3499745,C3925058
63,63,C0724348,C1853083
64,64,C2485967,C3618761
65,65,C0366626,C2433410
66,66,C0114457,C3599955
67,67,C1827148,C2751641
68,68,C1934490,C3831401
69,69,C1120877,C3092187
