,sno,CUI1,CUI2
0,0,C0891547,C3344501
1,1,C0652882,C3624912
2,2,C3171747,C3253107
3,3,C2688124,C3488638
4,4,C0482581,C3628241
5,5,C1856882,C3901632
6,6,C2422351,C3018716
7,7,C1945823,C2670649
8,8,C1235110,C1574922
9,9,C2440414,C3982664
10,10,C0225431,C1075318
11,11,C0151227,C2294117
12,12,C1467699,C3580903
13,13,C2484512,C3561391
14,14,C0629233,C1550325
15,15,C2526483,C2765409
16,16,C2762254,C3174552
17,17,C2456002,C3492314
18,18,C1081526,C1184412
19,19,C1024459,C3929664
20,20,C0336106,C2750857
21,21,C1194359,C3552348
22,22,C1620334,C3118978
23,23,C1523795,C2636529
24,24,C1010049,C1087576
25,25,C0814129,C2255203
26,26,C0832647,C3542132
27,27,C1970696,C3005596
28,28,C1636027,C3652107
29,29,C0025237,C1741873
30,30,C1942705,C2540409
31,31,C2567206,C3783937
32,32,C2442381,C4000339
33,33,C1685133,C1888354
34,34,C2826882,C3278564
35,35,C3329021,C3911731
36,36,C1858961,C3433165
37,37,C1094326,C3218617
38,38,C1030647,C1494117
39,39,C1684106,C2671203
40,40,C1173687,C3392559
41,41,C0075851,C1008770
42,42,C0129985,C1436945
43,43,C1198036,C3990982
44,44,C0159069,C1172827
45,45,C3274415,C3943917
46,46,C2273584,C3398416
47,47,C0051667,C3080499
48,48,C1527112,C1880052
49,49,C2649963,C3094789
50,50,C0969736,C3918043
51,51,C0302491,C3390722
52,52,C1227401,C3535623
53,53,C1212785,C1234364
54,54,C0534033,C2804527
55,55,C2296065,C3816623
56,56,C2338878,C3019211
57,57,C1435754,C2943203
58,58,C1560649,C3150215
59,59,C2295411,C2401998
60,60,C3438275,C3588036
61,61,C0331573,C1194735
62,62,C3321608,C3406377
63,63,C1938241,C2774339
64,64,C1241397,C3240998
65,65,C2618188,C3023548
66,66,C1246302,C1862822
67,67,C2540481,C2629743
68,68,C1597802,C2759125
69,69,C0756182,C2246268
