,sno,CUI1,CUI2
0,0,C3052654,C3630640
1,1,C0959174,C3094557
2,2,C3258495,C3276811
3,3,C3313545,C3710993
4,4,C1678885,C1957480
5,5,C3060701,C3331721
6,6,C2518934,C3492755
7,7,C1817894,C1968905
8,8,C0842093,C1074449
9,9,C2648870,C2814193
10,10,C1653133,C3380285
11,11,C0598685,C3095401
12,12,C0659800,C1186134
13,13,C0206388,C3530373
14,14,C1546928,C1652855
15,15,C0269811,C3940253
16,16,C0921913,C3379555
17,17,C0929140,C2931851
18,18,C0039679,C3179103
19,19,C0267138,C0777494
20,20,C1499807,C2572650
21,21,C0971864,C3180982
22,22,C0691370,C1672682
23,23,C0285277,C4046449
24,24,C0930647,C3122160
25,25,C2826262,C3362602
26,26,C1567098,C3352855
27,27,C1934955,C3845716
28,28,C1891349,C3911649
29,29,C3173551,C3216537
30,30,C2526287,C3505812
31,31,C1070422,C1515275
32,32,C0381722,C3915171
33,33,C3039999,C3972975
34,34,C0524933,C3146709
35,35,C1006004,C3699578
36,36,C1528019,C3319944
37,37,C1653872,C3002512
38,38,C1189308,C2565402
39,39,C2286580,C3232752
40,40,C1130820,C1626017
41,41,C1468088,C3802032
42,42,C0454798,C2982745
43,43,C2636043,C3722454
44,44,C0255610,C0808058
45,45,C3217462,C3897041
46,46,C1197024,C2497262
47,47,C1631044,C2955472
48,48,C0298975,C1333047
49,49,C1179453,C3410099
50,50,C2445144,C2525224
51,51,C0550337,C1847764
52,52,C1267157,C3967038
53,53,C2000864,C2798303
54,54,C0158576,C3711807
55,55,C2313262,C3999529
56,56,C0864588,C2554876
57,57,C1551835,C3214435
58,58,C1204651,C3686104
59,59,C0208579,C3041051
60,60,C2687402,C3040283
61,61,C3008609,C3011692
62,62,C1954746,C3928981
63,63,C1921014,C2561604
64,64,C1305085,C2598989
65,65,C3551590,C3571481
66,66,C1419181,C2520913
67,67,C0058615,C2950826
68,68,C1419755,C3053667
69,69,C3367614,C3914080
