,sno,CUI1,CUI2
0,0,C2973503,C3655669
1,1,C1743416,C3961513
2,2,C3558779,C3845384
3,3,C2677115,C2989213
4,4,C2713824,C3447249
5,5,C1423633,C1703262
6,6,C0701205,C3245323
7,7,C3260626,C3979470
8,8,C1565287,C2794358
9,9,C1230938,C1421007
10,10,C0997301,C3098610
11,11,C1651187,C1907564
12,12,C0051003,C3101680
13,13,C0836626,C4004972
14,14,C0828960,C2559765
15,15,C0756713,C3948716
16,16,C2482734,C3886534
17,17,C1624656,C1947520
18,18,C0891487,C2942172
19,19,C2274068,C2607515
20,20,C2456933,C3048966
21,21,C0176596,C1450592
22,22,C0095706,C1124819
23,23,C0634385,C2766702
24,24,C1675136,C1845984
25,25,C0638943,C3026578
26,26,C1429028,C3423711
27,27,C0970169,C2598197
28,28,C1099126,C3735594
29,29,C1612795,C2549644
30,30,C2324611,C3917080
31,31,C0926920,C1897138
32,32,C2001963,C2338365
33,33,C2262994,C4000934
34,34,C1419693,C3814230
35,35,C0806063,C1907554
36,36,C1897681,C3610556
37,37,C1046774,C3489564
38,38,C2614606,C3927566
39,39,C0550370,C3735442
40,40,C1855224,C3582818
41,41,C3245058,C3543878
42,42,C1824902,C3666711
43,43,C2451816,C2568410
44,44,C0753425,C1751127
45,45,C1237628,C3720880
46,46,C1088658,C3614682
47,47,C0931813,C1842437
48,48,C2824703,C3582478
49,49,C1986945,C3443008
50,50,C1470088,C1572390
51,51,C2308898,C2797165
52,52,C0603766,C0976446
53,53,C1938168,C3574386
54,54,C2993783,C3110583
55,55,C0291151,C2443551
56,56,C2710530,C3341008
57,57,C1086836,C1335347
58,58,C0486594,C2542626
59,59,C2765248,C2776265
60,60,C0715004,C2599968
61,61,C0026686,C0892191
62,62,C0805596,C3411153
63,63,C2825832,C3987465
64,64,C2780451,C3279085
65,65,C1470564,C1537399
66,66,C1202597,C3132624
67,67,C0086943,C1439991
68,68,C1362693,C2625750
69,69,C1176426,C1484450
