,sno,CUI1,CUI2
0,0,C2544566,C3577238
1,1,C0208643,C0271140
2,2,C1183894,C2707300
3,3,C3032334,C3249690
4,4,C2653842,C3435277
5,5,C1096856,C1716780
6,6,C1548551,C2445350
7,7,C1675769,C2278673
8,8,C0867742,C1672172
9,9,C2279401,C2819174
10,10,C1876047,C3064996
11,11,C0626432,C1977712
12,12,C1080341,C3372145
13,13,C0791182,C1158550
14,14,C1437123,C2314265
15,15,C3160620,C3594934
16,16,C2760498,C3178312
17,17,C0177457,C3086780
18,18,C1256911,C3803957
19,19,C1652387,C2265814
20,20,C0094813,C3928479
21,21,C1220312,C3156045
22,22,C2794893,C3207817
23,23,C1046361,C2428232
24,24,C3017814,C3684603
25,25,C3224122,C3890370
26,26,C0616300,C1862995
27,27,C3044433,C3175610
28,28,C2777666,C2778423
29,29,C0064218,C2807025
30,30,C1039479,C1571172
31,31,C2282398,C3964255
32,32,C2302756,C3081621
33,33,C1307809,C3060123
34,34,C1431432,C3421608
35,35,C1540096,C2484910
36,36,C3151825,C3236619
37,37,C1482522,C2379412
38,38,C1023740,C3785142
39,39,C1000833,C3784341
40,40,C2325328,C4004796
41,41,C1639778,C2615223
42,42,C0654852,C3342135
43,43,C1362739,C1548531
44,44,C2382385,C3339477
45,45,C0426014,C3906670
46,46,C1592425,C2431254
47,47,C0937323,C3133862
48,48,C0051456,C2440322
49,49,C0608785,C1333000
50,50,C1471050,C1699106
51,51,C3212224,C3497642
52,52,C3247737,C3968411
53,53,C0161864,C1522082
54,54,C3578441,C3904059
55,55,C0086724,C0346844
56,56,C0221182,C0620190
57,57,C1001876,C2513243
58,58,C2629037,C3497001
59,59,C0253442,C0319005
60,60,C0998773,C1818335
61,61,C3731318,C3747401
62,62,C0059623,C3009509
63,63,C3181403,C3474431
64,64,C2305317,C2667665
65,65,C0806048,C1498262
66,66,C2519520,C3595777
67,67,C0627941,C0661452
68,68,C0256006,C3545629
69,69,C1018391,C2471420
