,sno,CUI1,CUI2
0,0,C1151713,C3890856
1,1,C1889473,C2819917
2,2,C1551221,C3362927
3,3,C0039498,C3895037
4,4,C0233620,C1023299
5,5,C1822655,C1940141
6,6,C1661308,C2982437
7,7,C0644623,C1031376
8,8,C2764404,C3398151
9,9,C2772570,C3652014
10,10,C0542376,C1981382
11,11,C1516699,C2299969
12,12,C0264765,C1508244
13,13,C0245124,C3273891
14,14,C2784786,C3851920
15,15,C1169826,C1666639
16,16,C3783732,C3925672
17,17,C1441726,C2622404
18,18,C2604810,C3637962
19,19,C0205852,C3157347
20,20,C2752561,C4043170
21,21,C1677660,C3392127
22,22,C1460427,C3950489
23,23,C0723814,C2779098
24,24,C0350882,C1993096
25,25,C2478795,C3903975
26,26,C0612419,C3089880
27,27,C1888919,C3335582
28,28,C0666840,C3425255
29,29,C2540996,C4038369
30,30,C2337905,C3790237
31,31,C0443314,C1151203
32,32,C1313502,C3502594
33,33,C0317995,C1032054
34,34,C2296384,C3827285
35,35,C2681104,C3654171
36,36,C2635257,C2796307
37,37,C3094389,C3407779
38,38,C1315191,C3641662
39,39,C0376182,C0545406
40,40,C2989790,C3903234
41,41,C1568603,C2757147
42,42,C0893008,C2484012
43,43,C3431437,C3827818
44,44,C0209891,C3024041
45,45,C2614471,C3373398
46,46,C2312069,C3933380
47,47,C0155772,C3855315
48,48,C1591344,C3327112
49,49,C3155885,C3391885
50,50,C1198480,C3402325
51,51,C0825351,C2420985
52,52,C3425625,C4024182
53,53,C0343652,C3158605
54,54,C0280048,C2827582
55,55,C2791653,C3343892
56,56,C2700124,C2767168
57,57,C2694259,C3791043
58,58,C2298115,C3428813
59,59,C1199982,C1263326
60,60,C1862338,C2573702
61,61,C2420734,C4008973
62,62,C1894521,C3740758
63,63,C0419144,C2449553
64,64,C1086299,C1526770
65,65,C1743029,C1817826
66,66,C0953861,C1346885
67,67,C1670441,C3799547
68,68,C0011608,C2501110
69,69,C0756517,C3985529
