,sno,CUI1,CUI2
0,0,C1000343,C3217322
1,1,C1081687,C3245322
2,2,C1637652,C2496568
3,3,C2634628,C3415883
4,4,C2631506,C3234405
5,5,C0274424,C4002692
6,6,C3089111,C3231133
7,7,C1133997,C3385346
8,8,C0424939,C2388767
9,9,C1072544,C3066535
10,10,C0798071,C2749206
11,11,C1705106,C4036751
12,12,C1680434,C3903709
13,13,C1086975,C3023152
14,14,C0132919,C1956167
15,15,C2787134,C3402063
16,16,C3155210,C3776622
17,17,C1888289,C2630722
18,18,C1277709,C2302725
19,19,C0159357,C3896934
20,20,C1335295,C2417646
21,21,C1073397,C1289247
22,22,C0983771,C3964693
23,23,C2440527,C2441409
24,24,C0072615,C1560628
25,25,C1448116,C3025524
26,26,C0196478,C1384153
27,27,C1017655,C1174993
28,28,C0595587,C0963620
29,29,C1934883,C3127153
30,30,C1988778,C2001769
31,31,C2545613,C3407679
32,32,C0383502,C3002007
33,33,C2352610,C3369951
34,34,C0761783,C3759034
35,35,C0490785,C3848190
36,36,C2395323,C3346404
37,37,C1147414,C2766589
38,38,C2912141,C3987834
39,39,C0616585,C3167213
40,40,C0876572,C1460544
41,41,C1080661,C2336958
42,42,C2652023,C3078721
43,43,C3098137,C3358569
44,44,C1174246,C2546590
45,45,C2809640,C3940433
46,46,C2809834,C3390033
47,47,C1313816,C3346161
48,48,C0505213,C2654362
49,49,C3104513,C3728189
50,50,C3259995,C3768258
51,51,C2478439,C2783963
52,52,C0238402,C0571154
53,53,C0723936,C1216914
54,54,C3802037,C3829094
55,55,C0965032,C2583216
56,56,C0242298,C1383261
57,57,C1706352,C2341066
58,58,C0290108,C2534579
59,59,C0873773,C0967731
60,60,C0192017,C3930716
61,61,C1053524,C3567908
62,62,C2744904,C3728820
63,63,C3059865,C3592062
64,64,C2997335,C3663364
65,65,C2546582,C3607616
66,66,C0085535,C0319742
67,67,C2405710,C2535889
68,68,C1203929,C2811719
69,69,C2189344,C3628815
