,sno,CUI1,CUI2
0,0,C1334288,C3049221
1,1,C0219782,C1084943
2,2,C1911347,C3015002
3,3,C0869152,C3399516
4,4,C1835891,C3173592
5,5,C1199576,C1510732
6,6,C2758596,C3417122
7,7,C1526243,C3246991
8,8,C3407340,C3997440
9,9,C1529973,C3054577
10,10,C0428967,C0856366
11,11,C3092409,C4044787
12,12,C3133349,C3393260
13,13,C3175816,C3584029
14,14,C2583826,C2802242
15,15,C0007134,C1894296
16,16,C2970209,C2999204
17,17,C0968681,C2412049
18,18,C3719325,C3968267
19,19,C1553905,C3090907
20,20,C3619989,C3894760
21,21,C1486196,C3151403
22,22,C2621963,C3848861
23,23,C0631505,C2439267
24,24,C2713457,C3422718
25,25,C2949900,C3806579
26,26,C1855682,C3080519
27,27,C3079887,C3783649
28,28,C1358016,C2984846
29,29,C2291157,C3908700
30,30,C1972349,C2664108
31,31,C1610425,C2699580
32,32,C0212870,C0889237
33,33,C2281926,C3977144
34,34,C1182121,C2604068
35,35,C1741110,C2960956
36,36,C0953418,C1248583
37,37,C2467916,C3065316
38,38,C1147721,C4009125
39,39,C0177880,C1511647
40,40,C1847062,C3624402
41,41,C1416444,C4027126
42,42,C3492752,C3581743
43,43,C1902354,C2386747
44,44,C3809347,C3976564
45,45,C0678078,C0678560
46,46,C2278683,C3376548
47,47,C3501701,C3587173
48,48,C0202081,C0790475
49,49,C2686221,C3611206
50,50,C1441586,C3327975
51,51,C0908038,C2071941
52,52,C3386325,C4009164
53,53,C3055417,C3652978
54,54,C1227116,C3597257
55,55,C3371015,C3642934
56,56,C2550336,C2769535
57,57,C0153856,C1093172
58,58,C1210095,C2493139
59,59,C1876012,C3399760
60,60,C0951201,C3448557
61,61,C0525333,C1486313
62,62,C0366830,C2382037
63,63,C2649428,C2701305
64,64,C1567647,C1937520
65,65,C1676955,C2512382
66,66,C2661899,C2929884
67,67,C0878354,C3928988
68,68,C2753984,C3277134
69,69,C1859701,C1900905
