,sno,CUI1,CUI2
0,0,C1323353,C2471485
1,1,C0089209,C3848807
2,2,C1249287,C3964189
3,3,C2484968,C3088416
4,4,C2384510,C2930089
5,5,C1714845,C2622193
6,6,C3396072,C3686899
7,7,C0261329,C3242806
8,8,C1929270,C3616269
9,9,C1439647,C2827720
10,10,C1471912,C2309578
11,11,C0069437,C1014965
12,12,C2304680,C2622637
13,13,C1218299,C3621136
14,14,C1939084,C2000289
15,15,C1067516,C1632906
16,16,C0775767,C2617041
17,17,C1040581,C3720266
18,18,C2974970,C3989679
19,19,C2512286,C3221076
20,20,C2487817,C4025599
21,21,C3057316,C3346225
22,22,C2494775,C3598920
23,23,C1460431,C3343672
24,24,C0739288,C2998575
25,25,C1448660,C2657139
26,26,C1026220,C1994538
27,27,C0086241,C2640654
28,28,C0609772,C3077835
29,29,C0624994,C4011600
30,30,C1179283,C2335529
31,31,C3246422,C3762385
32,32,C0068787,C0667461
33,33,C2514702,C3261459
34,34,C1066039,C3179444
35,35,C1493043,C3914700
36,36,C2562454,C3989561
37,37,C1894749,C2403062
38,38,C1567086,C2544760
39,39,C0956505,C3590033
40,40,C2632972,C3216923
41,41,C0032883,C3335610
42,42,C1933130,C1937684
43,43,C1896743,C3476473
44,44,C0009494,C3320336
45,45,C0385601,C3776747
46,46,C1023897,C1257033
47,47,C0012929,C3570661
48,48,C1507857,C2990196
49,49,C1357900,C3653782
50,50,C0367619,C2335258
51,51,C1978692,C3757729
52,52,C3177785,C3608809
53,53,C1932140,C2768509
54,54,C2500587,C2755724
55,55,C1686761,C3410755
56,56,C1237944,C4046847
57,57,C0323752,C2931857
58,58,C2715474,C3334535
59,59,C0819294,C1680754
60,60,C1993300,C2362933
61,61,C1300139,C2706709
62,62,C0831791,C3351523
63,63,C0662683,C3905438
64,64,C1844741,C2468142
65,65,C0167569,C0968806
66,66,C0745994,C3241718
67,67,C0014116,C2813183
68,68,C2554510,C3918777
69,69,C1280315,C2324050
