,sno,CUI1,CUI2
0,0,C0051848,C0645640
1,1,C0907975,C2513095
2,2,C2529383,C4038327
3,3,C3159491,C3216835
4,4,C3080682,C3612188
5,5,C3809174,C3896305
6,6,C2762918,C3174726
7,7,C2305457,C3124338
8,8,C2473569,C2733737
9,9,C3322339,C3950847
10,10,C0863974,C3261588
11,11,C2635657,C3424208
12,12,C0699628,C1984452
13,13,C1335675,C2805712
14,14,C0608892,C1445721
15,15,C2071985,C3083027
16,16,C1360098,C2779616
17,17,C2735106,C3899202
18,18,C1588171,C3002951
19,19,C1081294,C2776991
20,20,C3280025,C3641719
21,21,C1918719,C2412579
22,22,C1464631,C1742018
23,23,C1324075,C3743360
24,24,C0827080,C0939962
25,25,C0077821,C2410888
26,26,C2003261,C2801495
27,27,C0005106,C2532477
28,28,C2390531,C2634630
29,29,C1043241,C1597162
30,30,C2341836,C2356407
31,31,C2471265,C2986807
32,32,C1685671,C2525794
33,33,C1872890,C3130206
34,34,C1186605,C3620667
35,35,C0631255,C3290072
36,36,C0948308,C2296158
37,37,C0205306,C2646384
38,38,C0030540,C1886899
39,39,C1881801,C2572528
40,40,C2312561,C2631936
41,41,C1670409,C2351746
42,42,C1720020,C3226256
43,43,C0041183,C2636731
44,44,C3089110,C3936485
45,45,C2765945,C3150111
46,46,C3001947,C3020359
47,47,C2286182,C3475051
48,48,C2306459,C2448870
49,49,C0693212,C3765787
50,50,C2743972,C3912557
51,51,C1301921,C3947329
52,52,C1988542,C3401430
53,53,C3083224,C3921315
54,54,C1187422,C3843804
55,55,C1144580,C2627250
56,56,C0793353,C3429309
57,57,C1122254,C3714038
58,58,C2742501,C3795954
59,59,C1438460,C2650707
60,60,C0975562,C2277114
61,61,C3343205,C3946278
62,62,C2934614,C3909483
63,63,C2402840,C3344149
64,64,C2338875,C3797374
65,65,C3376451,C3560355
66,66,C0313361,C1415133
67,67,C2326058,C3789558
68,68,C1651536,C1711914
69,69,C3474921,C3997373
