,sno,CUI1,CUI2
0,0,C1978879,C4009117
1,1,C2520049,C2982339
2,2,C0023653,C3583593
3,3,C1031008,C1505401
4,4,C0786066,C2435747
5,5,C0376509,C3260627
6,6,C0797361,C1886458
7,7,C0252825,C3044547
8,8,C3397059,C3717229
9,9,C2269211,C3794753
10,10,C0492925,C1223656
11,11,C0670232,C0797505
12,12,C3093151,C3135168
13,13,C1017152,C3554939
14,14,C0706608,C3002637
15,15,C1056128,C2817757
16,16,C0172919,C1907328
17,17,C3772516,C3979220
18,18,C0089531,C1639771
19,19,C1991724,C3444034
20,20,C0834843,C1310405
21,21,C0307256,C2389232
22,22,C0794153,C1867032
23,23,C1953534,C3539769
24,24,C2611244,C3155518
25,25,C0299757,C3390594
26,26,C3034694,C3204533
27,27,C1173339,C1687278
28,28,C3120334,C3902914
29,29,C0645925,C1544099
30,30,C3591285,C3658739
31,31,C3102096,C3737673
32,32,C0799937,C1199678
33,33,C0500235,C1281426
34,34,C0078268,C3736426
35,35,C1687932,C3812256
36,36,C0346588,C2501548
37,37,C1828658,C2332354
38,38,C0008912,C3381815
39,39,C2790763,C3407041
40,40,C0361172,C2455049
41,41,C1329009,C1666169
42,42,C0151429,C1280165
43,43,C0206164,C0307663
44,44,C3599692,C3824559
45,45,C3039178,C3891407
46,46,C0912187,C2457251
47,47,C3214759,C3339501
48,48,C0623328,C3072679
49,49,C1061784,C3812566
50,50,C0952031,C2931474
51,51,C1628113,C3548303
52,52,C1211371,C2281956
53,53,C1561324,C3858463
54,54,C3241819,C3885155
55,55,C1944163,C4011443
56,56,C1228298,C1489229
57,57,C2508099,C2989866
58,58,C1373013,C1613532
59,59,C1508268,C3589182
60,60,C0968624,C3359540
61,61,C0921252,C2558235
62,62,C1830860,C3991170
63,63,C1425747,C2487683
64,64,C0500586,C3568822
65,65,C1853582,C3671657
66,66,C2715044,C2950282
67,67,C1656060,C3636788
68,68,C0017399,C3938953
69,69,C1211909,C1339491
