,sno,CUI1,CUI2
0,0,C1548672,C2447313
1,1,C2673194,C3755632
2,2,C1975411,C2667995
3,3,C0537199,C3533830
4,4,C0064026,C2771848
5,5,C1415717,C2002078
6,6,C2645271,C2928120
7,7,C0722640,C3068505
8,8,C3240373,C3781657
9,9,C0160026,C3824807
10,10,C0534416,C1134553
11,11,C0825713,C2582854
12,12,C3774634,C4033235
13,13,C2531694,C3101050
14,14,C0932295,C1250176
15,15,C0326452,C2504004
16,16,C1610498,C3668714
17,17,C2768713,C3082985
18,18,C1692883,C2634829
19,19,C3380822,C3407981
20,20,C1449076,C4023449
21,21,C3208399,C3774031
22,22,C0296473,C3954886
23,23,C3280599,C3727086
24,24,C0264903,C2310547
25,25,C0831416,C0883414
26,26,C1622390,C3911826
27,27,C0381437,C0854532
28,28,C0910006,C1421111
29,29,C0941448,C2428572
30,30,C1242016,C2953314
31,31,C0362951,C1627042
32,32,C1340689,C3369974
33,33,C0322700,C0818366
34,34,C3502093,C3951166
35,35,C0094691,C2741494
36,36,C1659704,C3042201
37,37,C2618702,C3790179
38,38,C1313650,C1868546
39,39,C1258156,C1889787
40,40,C2605935,C3213581
41,41,C0943985,C1034076
42,42,C1543588,C3219247
43,43,C0483626,C1932269
44,44,C1191125,C3466315
45,45,C0075591,C2777899
46,46,C0147466,C2814338
47,47,C1048830,C3812038
48,48,C1992797,C2544718
49,49,C3082603,C3965214
50,50,C2992334,C3458000
51,51,C1707735,C3505834
52,52,C1911095,C2985885
53,53,C1054590,C2377045
54,54,C1742439,C3712415
55,55,C1252892,C2360336
56,56,C3236105,C3335076
57,57,C3109661,C3346974
58,58,C3078660,C3952545
59,59,C1115745,C3582229
60,60,C1232962,C2279465
61,61,C3433768,C3600544
62,62,C1933659,C3720260
63,63,C2249655,C3313628
64,64,C3466725,C3906157
65,65,C1490447,C3925846
66,66,C3146739,C3720919
67,67,C2342860,C3899968
68,68,C1067786,C1709508
69,69,C3212709,C3409287
