,sno,CUI1,CUI2
0,0,C1312710,C3908742
1,1,C3846689,C4013064
2,2,C0486317,C3745594
3,3,C0555109,C0734725
4,4,C1095647,C3007189
5,5,C3180436,C3366644
6,6,C1091023,C1874618
7,7,C2667359,C3608018
8,8,C3044254,C3207472
9,9,C0135026,C2802415
10,10,C1549743,C1576087
11,11,C0383507,C2701753
12,12,C2770951,C3309595
13,13,C3023380,C3900590
14,14,C1492529,C3585425
15,15,C1000932,C1652018
16,16,C1140544,C2679173
17,17,C0506849,C2528807
18,18,C0731544,C1669802
19,19,C0890162,C2765594
20,20,C0115019,C2405914
21,21,C0168584,C0333861
22,22,C3346203,C3347897
23,23,C1180943,C3408351
24,24,C1656168,C3808849
25,25,C1829224,C2356888
26,26,C1652944,C3920035
27,27,C0527795,C1992771
28,28,C1020754,C2984623
29,29,C1025681,C1928946
30,30,C2629663,C3240766
31,31,C2308956,C3742595
32,32,C1183838,C2811715
33,33,C1483114,C2755151
34,34,C2283124,C3770933
35,35,C1310627,C3502386
36,36,C0987749,C2735924
37,37,C2433162,C2990396
38,38,C3033492,C3934742
39,39,C2457371,C2618507
40,40,C0155395,C0354148
41,41,C2428972,C4035349
42,42,C2707577,C3438680
43,43,C0366452,C3578784
44,44,C3642298,C3936381
45,45,C1086124,C2923298
46,46,C1450946,C3405582
47,47,C0009452,C3235519
48,48,C0025131,C1008410
49,49,C2938119,C2981345
50,50,C0967535,C3423958
51,51,C2931793,C3771396
52,52,C0275771,C3994645
53,53,C0153162,C3228983
54,54,C1039940,C1870539
55,55,C0441841,C1989573
56,56,C2449845,C3699157
57,57,C1261530,C3848848
58,58,C0330836,C3496150
59,59,C0302572,C1285708
60,60,C0603904,C0645713
61,61,C3084694,C3152926
62,62,C1646142,C3768153
63,63,C2303243,C3251773
64,64,C1702194,C3248430
65,65,C2512492,C3928249
66,66,C0596027,C1175981
67,67,C3571990,C3869503
68,68,C0880930,C1129485
69,69,C0082661,C3180042
