,sno,CUI1,CUI2
0,0,C0226730,C1995222
1,1,C2920908,C3165754
2,2,C0683709,C2408448
3,3,C1835159,C3340480
4,4,C3346554,C3384400
5,5,C0535731,C3933379
6,6,C1634363,C2811908
7,7,C0599749,C2992165
8,8,C1970104,C2391282
9,9,C1554934,C2572764
10,10,C0605749,C1862712
11,11,C1192925,C3924924
12,12,C0312104,C1182009
13,13,C2581893,C2976364
14,14,C3710944,C3827218
15,15,C1658613,C3971823
16,16,C3824995,C4007234
17,17,C1429618,C3215192
18,18,C2240779,C3263617
19,19,C2661953,C3237415
20,20,C2684742,C3755123
21,21,C1534557,C2628773
22,22,C0945149,C3529979
23,23,C0601608,C1193665
24,24,C2577810,C3225056
25,25,C0268314,C3345552
26,26,C0803512,C3737486
27,27,C0434206,C3240455
28,28,C2707627,C2815893
29,29,C2247785,C3984955
30,30,C0245552,C0642730
31,31,C1848631,C2472569
32,32,C1289761,C3414291
33,33,C3157742,C3654944
34,34,C1049019,C1491691
35,35,C3466690,C3484057
36,36,C1307682,C3323089
37,37,C3055529,C3922268
38,38,C2744325,C3106240
39,39,C3003075,C3982808
40,40,C2351623,C2435748
41,41,C2532567,C3435299
42,42,C1183552,C1368108
43,43,C0184527,C2296677
44,44,C1145939,C3132069
45,45,C0816069,C3930090
46,46,C0993804,C3181442
47,47,C0365933,C3840618
48,48,C0324756,C2820327
49,49,C3487329,C3637915
50,50,C0691241,C3450299
51,51,C0492891,C0497570
52,52,C1019808,C1512756
53,53,C3053077,C3999796
54,54,C3635731,C3994057
55,55,C0005205,C1205528
56,56,C1680543,C2707578
57,57,C0878168,C1622562
58,58,C2269513,C3586604
59,59,C0324967,C3432946
60,60,C3023537,C3388602
61,61,C1203158,C3344669
62,62,C1164900,C2998401
63,63,C2760234,C3210635
64,64,C0586994,C4014067
65,65,C2428973,C2948521
66,66,C1020215,C3130984
67,67,C2558033,C3718215
68,68,C1224769,C3598187
69,69,C1146005,C4024130
