,sno,CUI1,CUI2
0,0,C1494542,C2435887
1,1,C2002098,C2660558
2,2,C1639469,C3024396
3,3,C0001103,C0929596
4,4,C0605131,C3052263
5,5,C0277826,C1673866
6,6,C2407032,C2488534
7,7,C1131401,C2648491
8,8,C1325858,C3333074
9,9,C0013638,C1184785
10,10,C2479109,C3947165
11,11,C3261595,C3717755
12,12,C0935689,C3332817
13,13,C0916191,C4006779
14,14,C2441655,C3776992
15,15,C0944220,C3587913
16,16,C0488788,C3630894
17,17,C3119830,C3132846
18,18,C1958602,C3896502
19,19,C0324296,C1113864
20,20,C1680381,C3895070
21,21,C0934874,C2305945
22,22,C1558484,C3364602
23,23,C3262351,C3852132
24,24,C0619901,C2384599
25,25,C0148517,C1485117
26,26,C2599330,C3908338
27,27,C0805438,C2628728
28,28,C0884210,C1095211
29,29,C0368427,C0644238
30,30,C1914875,C3643212
31,31,C2290283,C3788698
32,32,C1542936,C2249227
33,33,C1270843,C3093580
34,34,C1515956,C3736476
35,35,C0965868,C1881633
36,36,C2529115,C3050024
37,37,C1858783,C3149096
38,38,C1046248,C3711898
39,39,C3160526,C4024968
40,40,C2136760,C2729687
41,41,C2298973,C2499033
42,42,C2300381,C3903619
43,43,C1091596,C3958377
44,44,C2534380,C3124981
45,45,C2490157,C3386543
46,46,C0591425,C2277200
47,47,C3347418,C4024219
48,48,C0489839,C3079864
49,49,C0206169,C1037136
50,50,C3130314,C3717487
51,51,C0261977,C3153539
52,52,C2275247,C3925843
53,53,C2471475,C2944213
54,54,C0049115,C3168380
55,55,C0829469,C1683637
56,56,C1151154,C3832785
57,57,C1523404,C3990046
58,58,C1418783,C2385924
59,59,C0658448,C1628437
60,60,C0680187,C1835050
61,61,C2301706,C2629482
62,62,C2281363,C3435739
63,63,C0229992,C1315627
64,64,C0974182,C3756612
65,65,C0924798,C1138741
66,66,C2409934,C3384801
67,67,C0933166,C3913657
68,68,C0798207,C1921345
69,69,C0832150,C3994267
