,sno,CUI1,CUI2
0,0,C0505717,C2775910
1,1,C2550756,C3156470
2,2,C1547323,C1677603
3,3,C1908133,C3640511
4,4,C0604347,C3066914
5,5,C1838870,C3775152
6,6,C3103896,C3181858
7,7,C0064668,C1834646
8,8,C1504730,C3161315
9,9,C0566742,C3217368
10,10,C1356243,C3788185
11,11,C3489521,C3933717
12,12,C1888449,C2749106
13,13,C0040136,C3485345
14,14,C3659303,C3777246
15,15,C0323230,C2312676
16,16,C3325181,C3466628
17,17,C2376195,C2815410
18,18,C0633799,C3638234
19,19,C2350600,C3090037
20,20,C1466212,C3158270
21,21,C1833940,C3641566
22,22,C2476892,C2640786
23,23,C2953582,C4009553
24,24,C3760820,C3796082
25,25,C2448908,C3469691
26,26,C0241397,C1199554
27,27,C1248829,C3324253
28,28,C0625301,C2535825
29,29,C0826943,C1946115
30,30,C0893786,C0959880
31,31,C1879589,C2687521
32,32,C2388665,C2447593
33,33,C0560317,C2399451
34,34,C0804292,C1261013
35,35,C0010357,C3096795
36,36,C0209181,C1101237
37,37,C1850982,C2285149
38,38,C3118502,C3830934
39,39,C2439050,C3206404
40,40,C1904315,C2949922
41,41,C0069948,C3373032
42,42,C0304465,C3743901
43,43,C3436023,C3545725
44,44,C0485269,C1708027
45,45,C2279054,C2951799
46,46,C2744641,C3828858
47,47,C2437636,C2650165
48,48,C3073965,C3210882
49,49,C0967105,C2973520
50,50,C2479795,C2924801
51,51,C0864611,C3738344
52,52,C0954786,C3975507
53,53,C1893006,C3029505
54,54,C2626969,C3785711
55,55,C3057781,C3568182
56,56,C0017933,C1066621
57,57,C2951407,C3227346
58,58,C1699870,C1846719
59,59,C1680586,C3798498
60,60,C0065214,C1253281
61,61,C0260432,C1739093
62,62,C2293481,C2504415
63,63,C0770108,C3632397
64,64,C1216129,C3033316
65,65,C2946343,C3956890
66,66,C1076825,C1414530
67,67,C2421810,C2663665
68,68,C1136215,C3102400
69,69,C1671278,C2598913
