,sno,CUI1,CUI2
0,0,C3210784,C3546604
1,1,C1841067,C4002587
2,2,C2979364,C3820987
3,3,C0489228,C3067590
4,4,C0369126,C2246927
5,5,C1523101,C3657922
6,6,C0658001,C3327169
7,7,C0544170,C2815542
8,8,C1190434,C1366336
9,9,C2357774,C2783509
10,10,C1024074,C3818774
11,11,C0627833,C0759200
12,12,C3986499,C4017542
13,13,C0804325,C2361213
14,14,C0260241,C2260541
15,15,C0638947,C1196918
16,16,C0229584,C3728167
17,17,C2489243,C2778718
18,18,C1891749,C3096303
19,19,C1505479,C3057640
20,20,C1888681,C3384488
21,21,C2247658,C2526363
22,22,C0070673,C0927437
23,23,C1919717,C3956234
24,24,C0591234,C1940121
25,25,C0719835,C3581220
26,26,C3357412,C3609588
27,27,C0771992,C4013570
28,28,C0106362,C1275454
29,29,C1471615,C3965584
30,30,C1298265,C3428697
31,31,C2672301,C2825721
32,32,C0815813,C3891699
33,33,C1836801,C3911279
34,34,C1497960,C3041359
35,35,C1709447,C3800170
36,36,C1181949,C2619845
37,37,C3589435,C3959469
38,38,C1317649,C3944347
39,39,C0638906,C1840002
40,40,C1368140,C3932074
41,41,C1430973,C1710979
42,42,C1199251,C2816555
43,43,C1547651,C3826020
44,44,C1451915,C1461075
45,45,C0492395,C1946407
46,46,C2290586,C2300380
47,47,C1899474,C2517331
48,48,C3008019,C3622015
49,49,C0048456,C3419443
50,50,C0737844,C2768886
51,51,C0028336,C0918231
52,52,C2941993,C4018741
53,53,C1137833,C4033429
54,54,C1205262,C3564748
55,55,C2686891,C3083744
56,56,C1911775,C3024415
57,57,C3623071,C3891685
58,58,C3279528,C3783071
59,59,C2513298,C4041822
60,60,C1221753,C1284090
61,61,C0615172,C2390806
62,62,C3031013,C3809501
63,63,C3894378,C3968348
64,64,C2767092,C3389584
65,65,C1016015,C2000166
66,66,C0644857,C1060065
67,67,C0652752,C4004633
68,68,C3245093,C4006542
69,69,C3006679,C3594189
