,sno,CUI1,CUI2
0,0,C3408332,C3775605
1,1,C3574237,C3906511
2,2,C2410268,C3135409
3,3,C3135286,C3785416
4,4,C1852153,C3083854
5,5,C0647605,C0923066
6,6,C1475863,C2466184
7,7,C3176765,C3252160
8,8,C1408542,C3656543
9,9,C2790483,C3087396
10,10,C0389057,C3157774
11,11,C2436473,C3412407
12,12,C1312453,C2097310
13,13,C0871230,C3586583
14,14,C2618066,C2798854
15,15,C3150665,C3240348
16,16,C0445803,C3381137
17,17,C0802069,C2326448
18,18,C1313407,C2412495
19,19,C1009618,C3927015
20,20,C1871675,C3992319
21,21,C0648360,C3045897
22,22,C3315641,C3530555
23,23,C2379502,C4027044
24,24,C2286805,C2331682
25,25,C0499617,C3729347
26,26,C1673902,C2984132
27,27,C2278217,C3092842
28,28,C3770323,C3777196
29,29,C1082633,C3849168
30,30,C1718743,C3849631
31,31,C2818751,C3913989
32,32,C1051124,C3548756
33,33,C1485129,C2421244
34,34,C0108017,C3053437
35,35,C1567306,C2618324
36,36,C0024893,C1932490
37,37,C1544923,C2642783
38,38,C1669872,C3787570
39,39,C2492664,C2984374
40,40,C3174764,C3631435
41,41,C2375707,C2381503
42,42,C3125418,C3921345
43,43,C1069120,C1918107
44,44,C1448189,C2553501
45,45,C3575683,C3656388
46,46,C1488403,C2670993
47,47,C2694689,C3064636
48,48,C2569797,C3179086
49,49,C2653259,C2717526
50,50,C1470987,C1664474
51,51,C1832542,C3408781
52,52,C2335668,C2404566
53,53,C2490563,C2692467
54,54,C2485051,C3214465
55,55,C0005818,C0225230
56,56,C0156518,C3062744
57,57,C1603269,C2265617
58,58,C0762731,C1855193
59,59,C2734659,C3931975
60,60,C2944343,C3924534
61,61,C1498435,C3961887
62,62,C1136067,C3107514
63,63,C1031696,C3011688
64,64,C1926147,C3453016
65,65,C0028939,C2611815
66,66,C1939147,C2710895
67,67,C3590128,C3935178
68,68,C1591372,C3494081
69,69,C1088351,C2501101
