,sno,CUI1,CUI2
0,0,C1858921,C3788755
1,1,C3271222,C3787785
2,2,C2450629,C3086926
3,3,C3150111,C4045896
4,4,C2634173,C3891526
5,5,C1953031,C3175921
6,6,C0756517,C3118723
7,7,C1564384,C1895583
8,8,C2670148,C3828621
9,9,C1685021,C3911804
10,10,C2517446,C4042279
11,11,C1912961,C2603712
12,12,C2323217,C3237327
13,13,C0921898,C3915380
14,14,C2811009,C3986036
15,15,C3225866,C3634871
16,16,C1418668,C3339251
17,17,C1225318,C3094815
18,18,C0150777,C0821857
19,19,C2697075,C3904054
20,20,C1560337,C2703690
21,21,C1253936,C3908363
22,22,C3005213,C3435337
23,23,C2500705,C3972449
24,24,C1981404,C2299890
25,25,C0427458,C3018272
26,26,C1977679,C2769520
27,27,C0537447,C3569485
28,28,C2272389,C3334045
29,29,C3065049,C3230386
30,30,C1182052,C1186084
31,31,C3008222,C3968970
32,32,C0916676,C1198171
33,33,C0815801,C2757968
34,34,C2501218,C3725713
35,35,C0556660,C1473906
36,36,C0550698,C3808374
37,37,C0596432,C1999523
38,38,C0932300,C3503072
39,39,C1894678,C3637655
40,40,C1128425,C2633501
41,41,C1661156,C3985785
42,42,C1413209,C2825858
43,43,C2562208,C3787093
44,44,C2716114,C3631016
45,45,C1066328,C1624457
46,46,C0047287,C3437798
47,47,C1528983,C3904136
48,48,C0047765,C1230156
49,49,C0196118,C3023967
50,50,C1557502,C1839180
51,51,C0260672,C3030626
52,52,C2668858,C3946952
53,53,C1167650,C4012285
54,54,C2636855,C3092649
55,55,C0159824,C1934182
56,56,C1643397,C3540324
57,57,C1836540,C2795767
58,58,C1382845,C3973038
59,59,C0272628,C1146137
60,60,C0655927,C1689064
61,61,C1966861,C3626183
62,62,C2283610,C2672008
63,63,C2383477,C3712874
64,64,C2995988,C3260966
65,65,C0250316,C1962075
66,66,C1551750,C2766773
67,67,C3045003,C3393556
68,68,C1028190,C1140108
69,69,C1603065,C3890384
