,sno,CUI1,CUI2
0,0,C1943275,C2924317
1,1,C2389970,C3084275
2,2,C0253111,C2272840
3,3,C0298975,C3406953
4,4,C0956358,C3089044
5,5,C3363646,C3982975
6,6,C1600989,C2415183
7,7,C1199340,C1414119
8,8,C0739956,C3701046
9,9,C1705310,C2329153
10,10,C0442681,C1551103
11,11,C3173577,C3575549
12,12,C0646307,C2290803
13,13,C2766451,C3950611
14,14,C0827260,C3369399
15,15,C3258629,C3503658
16,16,C2638454,C3047504
17,17,C1439097,C3231751
18,18,C1742796,C3260849
19,19,C3316948,C3350807
20,20,C1187094,C3984176
21,21,C1152658,C3052947
22,22,C2289721,C2639339
23,23,C1567608,C3539702
24,24,C2329756,C3069374
25,25,C0300810,C3427129
26,26,C0216868,C2763215
27,27,C0284619,C2819546
28,28,C2782300,C3031088
29,29,C1306660,C3843921
30,30,C3817629,C3894662
31,31,C1813011,C2354206
32,32,C2999971,C3467830
33,33,C1995197,C3786492
34,34,C0007025,C3052543
35,35,C1271224,C2269236
36,36,C2803934,C3604164
37,37,C1657989,C2917649
38,38,C2989892,C3965074
39,39,C0523708,C2511033
40,40,C0610933,C3624346
41,41,C1202998,C2974727
42,42,C1208676,C1530425
43,43,C3111368,C3928694
44,44,C2457010,C3087514
45,45,C0022424,C2656331
46,46,C1464477,C2995802
47,47,C0328226,C3218615
48,48,C1234121,C2578040
49,49,C1473142,C3179088
50,50,C1258304,C1482618
51,51,C3503731,C3912792
52,52,C1643699,C1710110
53,53,C2561229,C3736885
54,54,C0158487,C1607477
55,55,C0205544,C0312906
56,56,C1181204,C2658780
57,57,C0605095,C1279697
58,58,C1520292,C2322803
59,59,C2486103,C3800959
60,60,C0999365,C3094333
61,61,C0814583,C4014726
62,62,C0680139,C3720578
63,63,C2242042,C2623337
64,64,C1989050,C3341418
65,65,C1977075,C3058892
66,66,C2634523,C3575988
67,67,C1432981,C3629753
68,68,C1626518,C2427597
69,69,C2497935,C3529474
