,sno,CUI1,CUI2
0,0,C0039707,C1012129
1,1,C0482128,C1556689
2,2,C1671503,C2640546
3,3,C0226076,C1506461
4,4,C0768631,C0831827
5,5,C0617936,C2551582
6,6,C0073058,C3572434
7,7,C0004025,C3099738
8,8,C1043287,C3552739
9,9,C0620433,C0768176
10,10,C0853259,C1135948
11,11,C3150777,C4011347
12,12,C0995870,C1931632
13,13,C0327995,C2652982
14,14,C1664656,C2454362
15,15,C2561389,C3979382
16,16,C1650932,C2249832
17,17,C0807128,C1945578
18,18,C1036415,C3623228
19,19,C2617348,C2734117
20,20,C0947273,C1463118
21,21,C0033900,C1542926
22,22,C1100666,C2714536
23,23,C1064455,C3990169
24,24,C0567475,C2581504
25,25,C2373248,C2701555
26,26,C0970626,C2547384
27,27,C1859022,C2478239
28,28,C1719065,C3111650
29,29,C1242854,C1622949
30,30,C1565900,C3563910
31,31,C0132231,C3922888
32,32,C1699622,C3816863
33,33,C0755299,C2618675
34,34,C1673344,C2687802
35,35,C0369930,C1068313
36,36,C3504627,C3919225
37,37,C1329264,C3567017
38,38,C2368693,C2793348
39,39,C0836373,C2245594
40,40,C2923987,C3986173
41,41,C2657379,C3268590
42,42,C2987587,C3092947
43,43,C3280046,C3360734
44,44,C2665408,C2817962
45,45,C1455932,C3658410
46,46,C2541227,C3903774
47,47,C1017438,C3919980
48,48,C1142678,C3340369
49,49,C0078118,C3943062
50,50,C1471922,C1634995
51,51,C1205644,C2534518
52,52,C0520850,C2560521
53,53,C2923180,C3788455
54,54,C0753606,C3030520
55,55,C1085872,C3578577
56,56,C0539422,C2370750
57,57,C1630144,C3409548
58,58,C1925634,C3178417
59,59,C2297711,C3435532
60,60,C4002708,C4022673
61,61,C1239311,C3555327
62,62,C3751090,C3849261
63,63,C0533722,C1217176
64,64,C1022586,C3385085
65,65,C1607336,C3556847
66,66,C0908559,C2377006
67,67,C1904149,C3592495
68,68,C3368451,C4011250
69,69,C1686998,C3629203
