,sno,CUI1,CUI2
0,0,C3773601,C3842582
1,1,C3236256,C3438549
2,2,C0930425,C1003968
3,3,C0587580,C3624084
4,4,C2663982,C3104988
5,5,C2458509,C2684023
6,6,C2290043,C3256292
7,7,C0540760,C1917163
8,8,C0951175,C1367422
9,9,C2293812,C3585836
10,10,C0101663,C3220927
11,11,C1935947,C3431303
12,12,C2336091,C3424429
13,13,C2647336,C3224440
14,14,C2581975,C2779872
15,15,C3313570,C3407457
16,16,C0744679,C3423381
17,17,C0043786,C1435192
18,18,C1872005,C2670666
19,19,C0371020,C1324638
20,20,C2643665,C3983216
21,21,C1927891,C3500594
22,22,C0008844,C1641443
23,23,C3370843,C3657537
24,24,C0693289,C3066714
25,25,C2806870,C3102881
26,26,C1994905,C3205855
27,27,C0032091,C1019758
28,28,C3029513,C3733284
29,29,C1971828,C3889805
30,30,C0372288,C2442198
31,31,C1057212,C3415187
32,32,C2047874,C3437851
33,33,C2809257,C4020789
34,34,C2664665,C3427411
35,35,C1585695,C3733929
36,36,C0817316,C3395337
37,37,C0044740,C3893497
38,38,C1253857,C3366515
39,39,C2427414,C3111031
40,40,C1240882,C3235927
41,41,C0756390,C2372891
42,42,C0055318,C1668441
43,43,C0637263,C1013534
44,44,C2493213,C3737288
45,45,C0000399,C1447461
46,46,C0827349,C3956587
47,47,C1897162,C3727037
48,48,C0235708,C2290288
49,49,C0458937,C3965770
50,50,C2295045,C3571447
51,51,C3429840,C3958024
52,52,C1751439,C3727223
53,53,C2953187,C3778969
54,54,C1830070,C2430059
55,55,C1072667,C3471306
56,56,C3049970,C3913349
57,57,C1629581,C3086825
58,58,C1717989,C2691198
59,59,C1099495,C1510894
60,60,C0602625,C1004886
61,61,C1832379,C3272869
62,62,C0604405,C3974923
63,63,C3615769,C3975379
64,64,C0454197,C2777632
65,65,C2402138,C3415259
66,66,C1513828,C3336946
67,67,C1503707,C4012793
68,68,C1072334,C3802592
69,69,C0506309,C3031920
