,CUI1,CUI2
0,C2727065,C3410211
1,C1929019,C1091452
2,C2966747,C0945436
3,C3909395,C0993143
4,C2966623,C3529178
5,C2608226,C0658844
6,C3900820,C2929244
7,C2484955,C1510486
8,C1543226,C1006014
9,C3105542,C1864049
10,C0028663,C0288968
11,C1544194,C1859208
12,C0677866,C1543748
13,C0192475,C3663117
14,C0978485,C1977280
15,C2520474,C1824369
16,C3212764,C1936006
17,C0031138,C0012601
18,C0245603,C1679830
19,C0030239,C4035033
20,C3556482,C0694370
21,C1569853,C2650776
22,C3950246,C1029453
23,C1479387,C3488915
24,C0797293,C0798269
25,C3180260,C3733007
26,C2984543,C3251870
27,C1668077,C0307038
28,C0282072,C2380203
29,C1608677,C0603153
30,C1315821,C3763634
31,C0279584,C3541877
32,C0366175,C2707595
33,C1074676,C3493371
34,C1952821,C0021289
35,C0875614,C0008523
36,C0260205,C0593573
37,C2293545,C1962961
38,C2629681,C1152513
39,C1324877,C0013722
40,C1831526,C0799458
41,C2659423,C0482942
42,C2988613,C1634632
43,C1507964,C2503986
44,C3764754,C3172423
45,C1315707,C0260694
46,C2629002,C2736514
47,C1147060,C2386359
48,C1383808,C0973769
49,C1050879,C0224888
50,C2428626,C1147111
51,C1670095,C0001080
52,C1510475,C0365028
53,C0057693,C0796066
54,C2829390,C1415523
55,C3402619,C3253634
56,C0978650,C2694343
57,C1875889,C3962810
58,C3530961,C1910438
59,C3481737,C0801345
60,C1527983,C2401131
61,C2699119,C0021910
62,C1239576,C4019316
63,C2985586,C2828660
64,C0259969,C2641502
65,C3482392,C1553214
66,C1369545,C1946866
67,C0486045,C0880015
68,C2460557,C0967783
69,C3032585,C0484136
70,C0027581,C2735986
71,C0399480,C2324142
72,C0080264,C0006840
73,C1545035,C3757922
74,C1276802,C2438097
75,C2239747,C1146399
76,C1147728,C2955479
77,C1540541,C1051395
78,C1333687,C0057877
79,C2246261,C1524894
80,C3255703,C2917972
81,C0353619,C0384719
82,C3901246,C1609947
83,C0995720,C1000489
84,C1044119,C2726940
85,C3620525,C0752180
86,C0606985,C1464529
87,C1489689,C3083311
88,C2265666,C1114624
89,C3169733,C1517129
90,C2699220,C0820408
91,C3004892,C0834349
92,C1649986,C1262337
93,C0238463,C3360945
94,C3439396,C2420798
95,C1958758,C0794340
96,C0751074,C0647296
97,C1475095,C0706992
98,C2733784,C0014867
99,C2265216,C1865776
100,C1419237,C1412091
101,C2923361,C2973005
102,C1505615,C2377172
103,C2419284,C1023080
104,C0538460,C3233726
105,C1114548,C1249393
106,C0281706,C0598002
107,C1525079,C1631077
108,C0881327,C2624506
109,C3823970,C3429582
110,C2735306,C2436904
111,C2827716,C4037681
112,C2534288,C2419469
113,C3248398,C3362915
114,C2952117,C3091855
115,C3891533,C0655538
116,C2268622,C1551557
117,C2807056,C3420384
118,C3223755,C0826583
119,C1414399,C1956000
120,C0651021,C2447157
121,C0796671,C1949506
122,C1281139,C0689819
123,C0331409,C1199841
124,C0787058,C1825283
125,C2360505,C0482440
126,C3916420,C3244538
127,C0648894,C3483531
128,C1626971,C1559489
129,C0804529,C3932717
130,C3893994,C0304102
131,C1005971,C3790764
132,C2603534,C0621329
133,C3467898,C2564398
134,C0018784,C1714724
135,C0678783,C1334837
136,C1074022,C0129104
137,C1586019,C2599275
138,C0741729,C0030873
139,C1031466,C0047748
140,C3434865,C1147337
141,C2401793,C0801976
142,C0944033,C1544524
143,C3954568,C3990865
144,C3412666,C0678230
145,C3415058,C1720918
146,C2572914,C0797452
147,C1188342,C0708057
148,C1864567,C0801455
149,C0446719,C2499787
150,C1157245,C0364990
151,C0797961,C1946521
152,C3486315,C3540734
153,C2484174,C2462571
154,C0818078,C0198160
155,C0450606,C3978678
156,C2446854,C2455427
157,C0734218,C2948020
158,C1016708,C0803672
159,C4033268,C3470999
160,C2660621,C0796965
161,C2405190,C1714992
162,C3258310,C0086593
