,CUI1,CUI2
0,C2310905,C0078253
1,C3933899,C3700664
2,C0936559,C1508030
3,C1014956,C0889603
4,C3378482,C1251982
5,C3870462,C1151417
6,C1548321,C3280900
7,C3642224,C4015031
8,C1516503,C2934361
9,C3583510,C3993426
10,C1715660,C1717270
11,C3956257,C1863203
12,C0364185,C0049260
13,C0158983,C0375189
14,C1525573,C3552479
15,C2747668,C0721184
16,C2667095,C2918318
17,C2461916,C2280690
18,C1719618,C0674332
19,C2313654,C3539569
20,C0057921,C1040229
21,C2394037,C3401956
22,C0025218,C0797910
23,C4002407,C0600622
24,C1351893,C1461243
25,C3240329,C3006403
26,C0951496,C1716150
27,C0860437,C1526079
28,C3846974,C2694544
29,C3249203,C3029642
30,C0053026,C2936400
31,C0488534,C3194762
32,C1884587,C2791623
33,C1599362,C1537844
34,C1227539,C3155588
35,C1858127,C3896085
36,C2108107,C2304070
37,C3481866,C3194692
38,C1543007,C1149732
39,C0600607,C1066882
40,C1372662,C2348109
41,C0296573,C0489447
42,C0766530,C3268119
43,C3360560,C1185518
44,C1566921,C2722017
45,C0652222,C0366613
46,C1507962,C0280210
47,C2806651,C3820319
48,C0809849,C0694411
49,C3559505,C3794980
50,C1122217,C0905393
51,C1537911,C3806457
52,C2784554,C2607493
53,C1859298,C3095415
54,C0296498,C1198816
55,C0362994,C2707246
56,C1959635,C3269987
57,C0010351,C3613558
58,C1423717,C0363990
59,C0094639,C1529846
60,C1462894,C3820033
61,C0942514,C1282927
62,C1416258,C2632267
63,C2941403,C2543084
64,C0887128,C0362553
65,C2818787,C1880858
66,C2405256,C3894197
67,C0798156,C0128914
68,C1181961,C0994251
69,C1543727,C1281132
70,C1170534,C3599882
71,C2325411,C3953459
72,C0023968,C1544785
73,C3959215,C0039607
74,C3594633,C3124900
75,C3058503,C1832315
76,C0071216,C2615791
77,C0225864,C0152322
78,C0927314,C0041014
79,C1311982,C1146272
80,C1524731,C1544639
81,C3336109,C0022350
82,C3745310,C0483105
83,C2815316,C1932486
84,C2682514,C0138642
85,C0714950,C2306615
86,C0981886,C0009450
87,C1184589,C0070407
88,C0487972,C0797251
89,C3761948,C1334588
90,C3895629,C3800174
91,C0879688,C1447465
92,C1473079,C0945630
93,C3005027,C0389239
94,C0978484,C3173715
95,C1632958,C0798162
96,C0256264,C3776235
97,C3494292,C0318063
98,C2966637,C3172309
99,C0935894,C1135791
100,C0051679,C3054506
101,C1603822,C2720143
102,C2681556,C1136155
103,C0799795,C1676737
104,C3943967,C3783485
105,C3850113,C3153774
106,C0366344,C2700340
107,C1430658,C3019813
108,C0029582,C1312882
109,C0225059,C0873969
110,C3401345,C1832529
111,C0158592,C3242497
112,C1425140,C2397329
113,C1853634,C0603863
114,C3064127,C1283024
115,C2433934,C1815885
116,C0246228,C0362997
117,C0809981,C0751542
118,C0177597,C2612178
119,C0017495,C2725021
120,C2981856,C0797308
121,C0653039,C3812950
122,C1147978,C0484807
123,C0881453,C1157769
124,C3847229,C0978223
125,C3715217,C3731225
126,C3174291,C0975280
127,C1524760,C0037036
128,C0503403,C1523607
129,C1826508,C1637787
130,C1875325,C0530961
131,C0715649,C1041475
132,C0042212,C0928666
133,C0302885,C0880761
134,C1944188,C3566672
135,C0209598,C3937859
136,C3847363,C1502722
137,C1662559,C2557692
138,C0325911,C3666332
139,C1147048,C1373647
140,C2418751,C0926000
141,C3121641,C1910479
142,C3963586,C2357976
143,C1715247,C1450000
144,C0601900,C3167148
145,C2327933,C2419258
146,C2734088,C0931257
147,C0366268,C0224341
148,C0025656,C1524714
149,C3433275,C2911881
150,C1544165,C1123024
151,C3636926,C2443174
152,C0137996,C3129374
153,C3899861,C0364621
154,C1831405,C0927344
155,C3907606,C0214721
156,C0029463,C2795573
157,C2563234,C0942636
158,C3566346,C2423971
159,C0550701,C3932793
160,C1307442,C0507739
161,C0816305,C0482288
162,C0483617,C1935103
163,C1737288,C3911647
164,C0799560,C2420462
165,C0242377,C1676142
166,C1315123,C3002752
167,C3436507,C2736218
168,C3803587,C0149525
169,C2666407,C0061458
170,C1151182,C0104490
171,C0688280,C0925070
172,C1994557,C1415699
173,C3903683,C0533151
174,C0054066,C1858403
175,C4046444,C1413076
176,C1134431,C0689716
177,C3211985,C0012203
178,C0482159,C1431656
179,C3503398,C1863315
180,C0483612,C0225778
181,C3971310,C1140091
182,C0716410,C1868636
183,C0458421,C2417806
184,C0078542,C1632378
185,C3712883,C0905283
186,C0550896,C0232124
187,C3849868,C0803547
188,C0293359,C0016262
189,C1005929,C3599725
190,C1992364,C0000340
191,C3944960,C0996793
192,C4038439,C1948541
193,C1543617,C0338046
194,C2348881,C1413005
195,C3930191,C0206184
196,C0751202,C1666069
197,C3483893,C1543552
198,C0880481,C1669916
199,C0085939,C1147264
200,C1701856,C0285606
201,C1858390,C3546521
202,C1325659,C0023814
203,C0260053,C3665046
204,C0163026,C3922761
205,C1315145,C3130412
206,C1877734,C1277291
207,C3396356,C0080332
208,C0018564,C1323655
209,C3181241,C0799426
210,C1678584,C2610494
211,C1624503,C2706876
212,C2239123,C2487285
213,C3421094,C0367895
214,C1985226,C0234686
215,C0085923,C0332523
216,C0927339,C2646670
217,C2427229,C0975706
218,C2369051,C4042442
219,C2493085,C2288105
220,C3665010,C2701603
221,C3034957,C1850282
222,C2458350,C3934368
223,C0710764,C2341634
224,C1669312,C0595965
225,C1299558,C0552017
226,C3148158,C3370347
227,C2526332,C3373562
228,C0590811,C0880155
229,C2923654,C0246213
230,C0162557,C1715143
231,C1689300,C1625249
232,C4009352,C0524781
233,C1765333,C0020354
234,C0822185,C2383836
235,C2456697,C1973668
236,C1673876,C3795675
237,C4045300,C1420038
238,C0035227,C3442904
239,C3969209,C2308160
240,C2281817,C0485372
241,C1146999,C0677791
242,C0552563,C1427906
243,C3247702,C4034180
244,C2829760,C0535643
245,C1716097,C3318676
246,C2565573,C3802269
247,C1000862,C3004274
248,C0799051,C1481105
249,C1831213,C3890161
250,C2520939,C1525661
251,C2718243,C1434358
252,C1877339,C2690096
253,C0275518,C0942189
254,C0175525,C0484492
255,C0497158,C3933180
256,C3445143,C2770565
257,C3541720,C1538279
258,C0222686,C3353293
259,C1487160,C2934718
260,C0036919,C3415372
261,C0880113,C0742186
262,C0759800,C1884825
263,C2415761,C1825075
264,C0814975,C0965638
265,C3890803,C0751188
266,C0365529,C2925736
267,C1477051,C1525309
268,C1584462,C3593914
269,C0237858,C2985038
270,C1824633,C0292962
271,C1576099,C2545729
272,C2451189,C0039813
273,C0026882,C2710349
274,C0551545,C1714922
275,C3971374,C2987233
276,C0689815,C0364295
277,C0802311,C1831132
278,C4037602,C0489429
279,C1521193,C2740985
280,C1865847,C3058599
281,C2925704,C3651629
282,C0802480,C1704393
283,C2520978,C3945245
284,C2247098,C1717468
285,C0038734,C3090640
286,C3396213,C1842747
287,C2471179,C0304513
288,C2622441,C0682001
289,C1002329,C0024759
290,C3611535,C1632114
291,C2976019,C2823972
292,C1525317,C1121652
293,C1514664,C0058624
294,C1422671,C3224582
295,C1835591,C0880600
296,C1143695,C1586699
297,C3172436,C0079428
298,C2664583,C0279922
299,C0831209,C1147770
300,C3029551,C0982605
301,C2774673,C1906955
302,C0061126,C1209558
303,C0804338,C3500884
304,C1506702,C0942904
305,C0797095,C1420311
306,C0713820,C1529412
307,C2487272,C0710734
308,C0393776,C0712956
309,C2679011,C1648045
310,C1332847,C2717964
311,C3744517,C3091641
312,C0941678,C1370375
313,C0800686,C0050858
314,C1414862,C0981760
315,C3499372,C0942255
316,C2964574,C3542657
317,C0628076,C0813872
318,C2389341,C2980396
319,C2278408,C0801890
320,C3369800,C3541211
321,C0822225,C3935439
322,C3917235,C3020631
323,C4012511,C3105314
324,C2714609,C0660111
325,C1201108,C0818370
326,C0702531,C2681525
327,C3388687,C0230246
328,C0072899,C1181904
329,C1840357,C0497431
330,C1219604,C0635891
331,C2743031,C1466764
332,C1426244,C3628928
333,C3748690,C1113994
334,C0038903,C1830452
335,C0026707,C2414240
336,C1182040,C1543230
337,C2933802,C0059340
338,C0221377,C2966861
339,C1738762,C2411810
340,C2364870,C0881009
341,C1047251,C0549899
342,C0738126,C3011105
343,C0004641,C0224359
344,C3661500,C0799373
345,C2544432,C1686957
346,C3797680,C0971579
347,C0367445,C1874304
348,C3393238,C2279836
349,C0014132,C1692886
350,C0392388,C2275692
351,C1032526,C1034402
352,C3314693,C3870099
353,C1945336,C2451809
354,C2451828,C0229633
355,C2442651,C3700629
356,C1175888,C2810387
357,C0266251,C3271899
358,C0707055,C0322988
359,C2326892,C0960464
360,C1317455,C2773375
361,C2504865,C3407440
362,C0718347,C0423636
363,C2501738,C0011015
364,C1507639,C3262544
365,C2599268,C1526479
366,C3928356,C1560788
367,C1926303,C0066104
368,C3719131,C2563033
369,C0244718,C2346547
370,C3775860,C0205642
371,C1074428,C0364346
372,C1559783,C1716359
373,C0483634,C1448313
374,C2239919,C3363105
375,C2394957,C3894010
376,C1525498,C3315638
377,C0017494,C0043849
378,C3225755,C2803815
379,C1093116,C3541768
380,C4017101,C4003278
381,C0485558,C0365222
382,C1830130,C1202522
383,C0687813,C3156507
384,C3946284,C0228493
385,C0979011,C0009088
386,C3432211,C0226892
387,C0797726,C3833112
388,C1442751,C1831701
389,C3047812,C0879736
390,C0072657,C0034808
391,C1825307,C1541365
392,C3391584,C2630922
393,C1507622,C3360715
394,C3151919,C0960369
395,C1895267,C3585421
396,C3634707,C1048376
397,C2817434,C1423444
398,C1562061,C3713298
399,C0150637,C0364129
400,C0798922,C0227809
401,C0932752,C0966725
402,C0293283,C3167238
403,C2418738,C1220446
404,C1337602,C2276709
405,C1959620,C3760895
406,C3493761,C2512046
407,C0943091,C1200416
408,C2987245,C0799083
409,C0247306,C0981195
410,C1995647,C3811201
411,C2686247,C2809025
412,C3169950,C1699985
413,C0363554,C2931653
414,C3574141,C2985089
415,C0818181,C1316079
416,C3176042,C2424146
417,C1037523,C1315866
418,C1289190,C2460820
419,C3717719,C2950756
420,C1271604,C3423445
421,C2468448,C0797728
422,C1561941,C1176280
423,C1884075,C2425916
424,C0235942,C0329367
425,C1856888,C2745373
426,C2339963,C0550178
427,C1162948,C0365194
428,C2416215,C3421719
429,C3752341,C1944156
430,C2294761,C0506827
431,C0887869,C3983807
432,C1538776,C2337276
433,C1316848,C1470454
434,C3259898,C3268912
435,C0881875,C0104300
436,C3843586,C3781362
437,C1952898,C1903053
438,C0949629,C2413914
439,C0892196,C4011396
440,C1284935,C1714681
441,C2606983,C1544801
442,C3811690,C2918570
443,C0942665,C0803807
444,C1014393,C0928353
445,C2777893,C0488540
446,C2719315,C0157355
447,C0329632,C0505548
448,C0945297,C3093316
449,C0551011,C0036381
450,C3586722,C0611009
451,C1894734,C0596796
452,C3470759,C1823575
453,C0995249,C3791421
454,C0504192,C0873279
455,C0266848,C3100338
456,C1526442,C0796872
457,C1826268,C1971389
458,C0738625,C2697851
459,C1640220,C1186109
460,C2567068,C1977650
461,C2824215,C4021917
462,C3267502,C3824152
463,C3795385,C0881999
464,C1884150,C0501385
465,C1542147,C3052038
466,C0038012,C3174305
467,C1710624,C0376182
468,C2384382,C3982640
469,C3566474,C1874514
470,C2279081,C3101961
471,C2681538,C2983668
472,C1416963,C0322015
473,C2646842,C0282461
474,C3470358,C2923084
475,C0485169,C0241128
476,C2586469,C0081230
477,C1316262,C2727124
478,C2323779,C0925100
479,C3147551,C0483662
480,C1980611,C3904901
481,C2602557,C1676277
482,C2772714,C1681197
483,C2960922,C2734780
484,C1873790,C0550290
485,C0944532,C3172978
486,C1892640,C0485683
487,C3740716,C1957442
488,C3864495,C0328758
489,C0022237,C1625079
490,C1434752,C0505427
491,C2689133,C1227156
492,C0688212,C2585199
493,C1258049,C2456166
494,C0042341,C0013622
495,C0804126,C1556873
496,C0400839,C1146917
497,C1601262,C1538212
498,C0008111,C3660583
499,C2961447,C1350569
500,C1956580,C0362944
501,C1752726,C0928460
502,C1551874,C2210299
503,C1136023,C1113866
504,C2427803,C1421171
505,C3887775,C3885916
506,C3360144,C0549821
507,C1003426,C1544279
508,C0017462,C3404618
509,C0086952,C0013404
510,C0981658,C0039647
511,C3482141,C3475994
512,C0802610,C0880055
513,C0751779,C3103607
514,C1369432,C2246897
515,C2998355,C1822992
516,C1068037,C2699995
517,C0755357,C1205378
518,C1205317,C3640463
519,C0729218,C1207702
520,C2688098,C0625495
521,C1921527,C3944743
522,C3218010,C1954952
523,C2800315,C0292602
524,C2549637,C2647636
525,C1883171,C1912125
526,C3323380,C3748536
527,C2410170,C0037098
528,C1414429,C0280580
529,C0367605,C2375952
530,C1207140,C1413296
531,C0533220,C3542187
532,C0755397,C2658759
533,C0036800,C2649183
534,C0476642,C1473335
535,C1870760,C2679249
536,C1316635,C0016953
537,C0680544,C1517336
538,C0799726,C2451435
539,C0634301,C1370332
540,C2281385,C0974619
541,C2950028,C0007097
542,C2757866,C2314005
543,C3179950,C0438917
544,C0818588,C1906897
545,C0880527,C3623154
546,C2955496,C1041381
547,C3173017,C0053581
548,C1415576,C1585030
549,C1367578,C3348072
550,C0152555,C0002679
551,C1920759,C1196329
552,C0366351,C3927881
553,C1752933,C3586790
554,C1547521,C1616567
555,C1673500,C3095864
556,C3802718,C0367281
557,C0257110,C0661000
558,C1425816,C2932187
559,C1707583,C3566615
560,C3711875,C1602735
561,C2662745,C3529639
562,C1905658,C4011769
563,C2448877,C0591413
564,C0599362,C3443133
565,C2828455,C3845886
566,C3558869,C1045989
567,C1370069,C3699596
568,C1415041,C0058231
569,C1500661,C3489086
570,C2569270,C3920738
571,C1858439,C0366288
572,C0935040,C2385438
573,C0550871,C0942029
574,C0799278,C1526391
575,C0221218,C3636924
576,C2279749,C0362384
577,C0550766,C0735480
578,C1315163,C3339309
579,C3530022,C3802632
580,C1378125,C2743787
581,C2989311,C1576021
582,C1513447,C1427109
583,C2921412,C0941485
584,C0362813,C1522640
585,C0377148,C1977279
586,C1704829,C0393074
587,C1423301,C1825958
588,C0010589,C2749825
589,C0367578,C0671154
590,C0797832,C3447983
591,C3890299,C0486083
592,C1830774,C3015581
593,C1618096,C1147633
594,C0338344,C0365471
595,C3869982,C0821400
596,C1718634,C0919262
597,C0980580,C1157676
598,C1674567,C2419095
