,CUI1,CUI2
0,C3205213,C0765874
1,C0291698,C2727958
2,C2290647,C1206223
3,C1650515,C3669712
4,C0368351,C3476521
5,C1312742,C1839779
6,C2734489,C1005107
7,C3655161,C1530446
8,C2440710,C1073219
9,C1257673,C1947671
10,C0943065,C2269750
11,C1651400,C2625550
12,C3890834,C1649408
13,C2491055,C3947020
14,C1088291,C0367367
15,C0408314,C1954556
16,C0998787,C2348420
17,C3017279,C1943550
18,C1508037,C0488958
19,C1886660,C1222651
20,C3872020,C1560485
21,C2458342,C3656125
22,C2246943,C3029205
23,C0944586,C3654342
24,C2442415,C0236642
25,C3421197,C0702254
26,C2780855,C0363888
27,C1422575,C0364064
28,C0797698,C3993158
29,C2239685,C1060807
30,C1744621,C3715914
31,C0916643,C0733533
32,C1954968,C1831213
33,C0970696,C2950909
34,C2419138,C2245417
35,C1831804,C0915178
36,C1418331,C1530203
37,C3392308,C0064620
38,C3067504,C3385280
39,C0822988,C2731589
40,C0507470,C0923498
41,C3847166,C1929171
42,C0803849,C0227736
43,C0263859,C1522036
44,C0802422,C1441098
45,C0803445,C2966533
46,C0399368,C0227403
47,C1413429,C0051756
48,C0484538,C1135564
49,C0364196,C2923901
50,C2243101,C1822712
51,C0010074,C2700196
52,C1437229,C1876869
53,C0975120,C1369627
54,C3724459,C3599038
55,C0489098,C0591049
56,C1927934,C0022067
57,C1067773,C1507866
58,C0268272,C1739931
59,C3071263,C4006719
60,C3171733,C2936084
61,C0753910,C1147520
62,C0363977,C1048515
63,C1830154,C1938162
64,C1494330,C0940799
65,C3392462,C1825635
66,C2420659,C1539237
67,C1070752,C2499271
68,C3171943,C0205997
69,C2745479,C0607763
70,C3395833,C0797944
71,C3608732,C0062641
72,C1304949,C1714609
73,C0836851,C1314615
74,C2930657,C1315071
75,C0769466,C1184473
76,C3362730,C2317565
77,C1709424,C2270486
78,C2554674,C3502588
79,C3939773,C0028076
80,C0221731,C0041186
81,C1200144,C1706326
82,C3404408,C3554130
83,C1073101,C0081411
84,C0002372,C3644073
85,C1369321,C1315226
86,C2827563,C1559237
87,C0086335,C1542950
88,C0364241,C3528145
89,C3657748,C0488722
90,C0322831,C0162736
91,C3739452,C0549926
92,C0021828,C1179999
93,C3104223,C1384665
94,C3657145,C1185369
95,C1476847,C1027587
96,C0481935,C0804007
97,C1624124,C1334899
98,C1427882,C0883292
99,C0797771,C3618628
100,C3930910,C0020703
101,C1197003,C1999431
102,C2348381,C0017679
103,C1707248,C1257286
104,C3619478,C2505642
105,C0804132,C1309128
106,C3669286,C2322983
107,C3821738,C2933311
108,C0684815,C3597249
109,C1412779,C1973344
110,C3894504,C0484279
111,C2332877,C0366125
112,C3490026,C1260899
113,C0484948,C1114363
114,C1836383,C0878179
115,C0879997,C0921330
116,C1456786,C1423974
117,C0001655,C0051510
118,C3897795,C3669300
119,C3536141,C0036205
120,C2411710,C2930460
121,C2403003,C2713516
