,CUI1,CUI2
0,C3148204,C3106444
1,C0728800,C2451014
2,C2685534,C3768659
3,C1524879,C3070139
4,C3471072,C0224362
5,C1384580,C0156221
6,C3558947,C1946907
7,C2477388,C0019475
8,C0802790,C0239878
9,C3965278,C1526001
10,C0043402,C0872304
11,C2936438,C0798181
12,C2445547,C0049417
13,C3128222,C3940088
14,C0551274,C0033137
15,C0483053,C3658302
16,C0486727,C0817547
17,C3025200,C1428216
18,C1878324,C0765395
19,C0424043,C0363901
20,C2727643,C0363914
21,C0006055,C2727243
22,C1319171,C3174444
23,C3595258,C0483768
24,C1415380,C1537547
25,C3927692,C2713148
26,C1000912,C0324765
27,C0949628,C1145706
28,C0042815,C0001208
29,C1147043,C0485297
30,C0123931,C0604329
31,C1508068,C3065938
32,C3930153,C0365527
33,C1442336,C0344449
34,C2643215,C1680145
35,C1712191,C2421154
36,C2992690,C2706903
37,C1315228,C0029897
38,C3628859,C2342137
39,C0024349,C1157031
40,C1651730,C1316227
41,C1316452,C3383595
42,C3853871,C3947478
43,C3129541,C0266060
44,C0032375,C3476092
45,C3085456,C3431114
46,C0607926,C0224718
47,C3548749,C0155456
48,C0366109,C0506753
49,C3435073,C1023871
50,C1642559,C0869009
51,C2581979,C3803181
52,C0077089,C3143045
53,C3942618,C1334122
54,C1711013,C1959352
55,C3069109,C0945121
56,C0720850,C0723515
57,C1246811,C2277924
58,C1421061,C3545904
59,C2725125,C0038522
60,C1621295,C1715080
61,C0394735,C0010177
62,C0603272,C2427308
63,C1308497,C0694768
64,C0546880,C1846724
65,C1427697,C0224419
66,C1556896,C0019079
67,C2361772,C2660223
68,C2733783,C1158005
69,C1438738,C2771110
70,C0642244,C0504224
71,C2727056,C1317029
72,C3105082,C2630762
73,C0636285,C1838165
74,C3219312,C1663918
75,C0713929,C4004836
76,C0041261,C1644626
77,C2336336,C1449799
78,C1539193,C0713341
79,C1819025,C1417810
80,C1053766,C1371436
81,C2286128,C0214177
82,C0802726,C1577147
83,C0003299,C1022934
84,C0389003,C0206682
85,C0013261,C0879832
86,C0368419,C0803427
87,C2658692,C2999648
88,C1526099,C2654826
89,C3282334,C0035222
90,C1337052,C1661128
91,C0262382,C2448816
92,C3346696,C2607039
93,C3724821,C0454451
94,C2749136,C3435853
95,C1264843,C2639564
96,C1001103,C0879933
97,C1544995,C0641061
98,C0364285,C0802865
99,C0994365,C0200069
100,C1189051,C3262970
101,C0007623,C0942244
102,C2713275,C3260246
103,C1448928,C3343195
104,C1173255,C3156399
105,C1425527,C1543771
106,C3334136,C0230099
107,C0537009,C0991523
108,C2398360,C0221263
109,C2456253,C2344311
110,C3639283,C2350997
111,C0282201,C1163500
112,C0803749,C3059158
113,C0339527,C1428597
114,C2488934,C2752500
