,CUI1,CUI2
0,C1879704,C0036412
1,C1149041,C0584876
2,C1003184,C0836695
3,C1838572,C0798845
4,C1147684,C2621356
5,C0699815,C0792463
6,C0025249,C2795396
7,C2347369,C1226893
8,C1953069,C1125026
9,C1830901,C0258099
10,C3484570,C0979741
11,C0484087,C1426173
12,C3992653,C2303993
13,C1717193,C2553847
14,C3271609,C0627858
15,C2642936,C0619992
16,C0002871,C3040081
17,C2614312,C3362654
18,C0881068,C0704806
19,C0018378,C3847438
20,C0797890,C0754456
21,C0363343,C0237935
22,C0943661,C3103824
23,C1707183,C0483157
24,C0429757,C2780767
25,C0797715,C3711562
26,C0797767,C3901809
27,C0050528,C1025261
28,C1384550,C3553060
29,C3291394,C0738631
30,C3081083,C2989670
31,C1438778,C1449504
32,C1316935,C1562447
33,C0216784,C1038924
34,C0017132,C2919146
35,C3940811,C3892463
36,C2973922,C1637483
37,C3545041,C3640741
38,C1113949,C0488991
39,C3669398,C0483034
40,C3398997,C0505043
41,C1542961,C3370781
42,C3541289,C3921920
43,C0023448,C2999464
44,C2465263,C3400941
45,C4027207,C3423247
46,C1134568,C3924261
47,C3869688,C3987783
48,C3639399,C3175036
49,C1715594,C1637793
50,C2622707,C3060065
51,C3967466,C1081517
52,C3747963,C1567379
53,C0034796,C0060277
54,C1526118,C0730684
55,C1421496,C2769225
56,C2649584,C0005697
57,C2661399,C0934364
58,C3888273,C3853046
59,C0978638,C0798000
60,C1013450,C4033434
61,C1659821,C0058772
62,C0170473,C0693045
63,C1421929,C0943050
64,C2707080,C1051768
65,C1743796,C1647601
66,C1880474,C0362511
67,C0037473,C3457444
68,C3610020,C1632255
69,C2923565,C3815159
70,C2361386,C3922129
71,C0152095,C0224722
72,C3169552,C3068245
73,C1421446,C3285471
74,C1545892,C1931785
75,C3790641,C1674167
76,C4006004,C3728564
77,C0915619,C0151222
78,C1539620,C0796841
79,C1324867,C1954327
80,C1517236,C2824885
81,C2246327,C2735863
82,C1041589,C0801698
83,C3256182,C0552074
84,C0038558,C1753319
85,C0941829,C1664889
86,C1341224,C1334532
87,C1539269,C0882368
88,C1528507,C3244309
89,C2632120,C3476166
90,C2565668,C2392762
91,C1337587,C1023144
92,C4033069,C1825371
93,C0023267,C0960986
94,C3560400,C1220836
95,C3813558,C3414166
96,C0038367,C2457413
97,C0350279,C3483031
98,C1915604,C3482346
99,C0797695,C3763285
100,C2691744,C3779632
101,C1149680,C2385576
102,C2796762,C3813821
103,C3808503,C2635576
104,C3106397,C1475853
105,C1135732,C0072642
106,C1494868,C0014856
107,C1708376,C1293971
108,C2608045,C0804410
109,C2239889,C2643070
110,C0037518,C2306385
111,C3654982,C2475908
112,C2337308,C2413249
113,C1089473,C3568142
114,C1866608,C0007257
115,C1688309,C2450540
116,C2428465,C2366121
117,C0781282,C0313452
118,C2636053,C0364291
119,C0855815,C0600503
120,C1181745,C2672731
121,C0392338,C1147687
122,C1648465,C4046084
123,C0803832,C2734915
124,C0063555,C3656424
125,C1525792,C3763737
126,C1459936,C2494648
127,C0804382,C2564200
128,C0280606,C0280230
129,C0365733,C2423182
130,C0455913,C1427484
131,C1319266,C1564200
132,C1412109,C0012462
133,C1644675,C3054073
134,C0943606,C0021027
135,C1431132,C0905644
136,C1236743,C1370210
137,C2650226,C2931746
138,C0999516,C1314088
139,C3263009,C1150214
140,C1669484,C0037585
141,C1853965,C1572032
142,C1147831,C1119966
143,C1943395,C4023792
144,C1159769,C0973455
145,C0368273,C1678329
146,C2925967,C0821773
147,C0484644,C3332145
148,C3039874,C3541378
149,C3441449,C0226789
150,C0118365,C0367311
151,C0818468,C0154043
152,C2728236,C3561355
153,C2373984,C1041650
154,C3317792,C1634271
155,C1642579,C2347795
156,C0158775,C0228084
157,C2331029,C0156344
158,C3471464,C0998863
159,C2239870,C0485838
160,C3890906,C0035552
161,C3265004,C4011754
162,C3616263,C3082662
163,C1823954,C2145842
164,C0158713,C1553238
165,C3908060,C3981551
166,C1114970,C0001144
167,C0798146,C1717149
168,C0364504,C3118416
169,C2969994,C0943115
170,C0942473,C0668115
171,C3121528,C1065237
172,C2681539,C0045839
173,C0000399,C3539030
174,C2454336,C3760620
175,C1051389,C0591192
176,C3118850,C0056633
177,C1424599,C1903214
178,C0334521,C2503665
179,C1836527,C3714868
180,C2630420,C2361620
181,C0262701,C0128359
182,C2718257,C1149860
183,C3887730,C3547526
184,C2927378,C0975684
185,C2685064,C1612200
186,C2925987,C1524983
187,C0364327,C0109206
188,C3815810,C1577343
189,C3496625,C0054412
190,C1818484,C2695096
191,C0879916,C1316579
192,C1996064,C0799038
193,C0005600,C3341593
194,C1524271,C1333768
195,C1978465,C1416027
196,C0951963,C0231051
197,C3917275,C4034386
198,C2815542,C0224542
199,C3000329,C3768672
200,C1497516,C3746675
201,C0798416,C1703892
202,C1315915,C3169353
203,C0882457,C0550786
204,C2433374,C0043124
205,C2446121,C0945026
206,C3887785,C1650550
207,C3846889,C0941351
208,C1591930,C0483820
209,C1180608,C0482431
210,C1502851,C1126060
211,C1063883,C1542977
212,C0691137,C0238463
213,C1137112,C1539047
214,C3894897,C0962141
215,C0077789,C1573550
216,C0194643,C3443233
217,C0539369,C1539339
218,C0734141,C1005908
219,C0802299,C2970157
220,C1455133,C1539338
221,C0922688,C2447311
222,C3146328,C0228416
223,C0484873,C1705969
224,C0484212,C1247078
225,C2479168,C1184419
226,C1572823,C2727813
227,C3909290,C2725704
228,C2002132,C2458210
229,C0217772,C1952805
230,C3865212,C2442689
231,C0204778,C0364063
232,C0331097,C3482004
233,C0485802,C0980199
234,C2308550,C3329982
235,C2362841,C3699462
236,C2350540,C0945566
237,C3370957,C0482675
238,C3761017,C3830136
239,C0180739,C3799426
240,C3221856,C2402309
241,C0999743,C3809837
242,C1709061,C3484743
243,C1420816,C0279125
244,C2471381,C3846932
245,C1826325,C1977804
246,C0280325,C1087304
247,C2240091,C3263128
248,C0399480,C2741330
249,C1003968,C0059438
250,C4042116,C1682052
251,C2295518,C2638286
252,C3068228,C1424981
253,C0550194,C2361624
254,C0551961,C3066023
255,C0233973,C0500995
256,C4001911,C1146994
257,C1134547,C0927717
258,C1947300,C0039955
259,C2717896,C2598469
260,C3177489,C0261175
261,C1878266,C0282687
262,C3255711,C0736919
263,C3546698,C2599069
264,C2350242,C2988576
265,C1719073,C1818736
266,C1566020,C1421696
267,C1079778,C3191838
268,C0320166,C0125575
269,C1970411,C2281670
270,C1460951,C0154458
271,C0013574,C1038915
272,C1345132,C2603603
273,C2391256,C0520676
274,C1420463,C3711515
275,C3724375,C0692514
276,C0549738,C1147954
277,C0688689,C3812460
278,C2951235,C2520117
279,C3973814,C1425116
280,C1666529,C1158513
281,C0880315,C3026924
282,C0205076,C0485186
283,C1454892,C3634592
284,C0045687,C3931172
285,C1955926,C0230613
286,C1525743,C0081944
287,C2361502,C3623832
288,C1953868,C2950054
289,C1318824,C0879962
290,C2372632,C0448134
291,C1270774,C2350601
292,C3115867,C0929731
293,C2824752,C0772394
294,C3641010,C1171361
295,C0364325,C0596588
296,C2653099,C1710076
297,C1207431,C2424614
298,C0476454,C0941850
299,C0701240,C0836367
300,C0801244,C1311867
301,C2986115,C1915102
302,C3223303,C3537338
303,C2799238,C3871626
304,C0824337,C0056839
305,C1201536,C2687416
306,C1081002,C1508162
307,C2569781,C3376481
308,C1147553,C1885913
309,C2697670,C1557201
310,C1461298,C3959900
311,C2998308,C2987760
312,C1633476,C0368066
313,C1623618,C3002545
314,C1419129,C3779159
315,C3737085,C0362853
316,C3434863,C1047213
317,C0980176,C2278914
318,C1508108,C1642003
319,C1831204,C1316964
320,C2441822,C2439912
321,C0160084,C2728017
322,C3547709,C3341554
323,C0085183,C2979165
324,C1317175,C3654930
325,C1181964,C3894576
326,C0823282,C0390071
327,C0880509,C2280250
328,C2714611,C3424666
329,C1846108,C0800968
330,C0162628,C1311912
331,C2979400,C1465147
332,C2633984,C2290052
333,C1881980,C1094964
334,C1708025,C2637381
335,C3433346,C3083816
336,C0459944,C0030372
337,C3715287,C0945057
338,C1869172,C2666383
339,C1686045,C2330189
340,C1715466,C2347133
341,C1978620,C2970650
342,C1079680,C2470619
343,C1830449,C1612270
344,C0051456,C0549672
345,C0484941,C0803573
346,C0678430,C2735278
347,C0751735,C3829412
348,C0034954,C3799561
349,C1199106,C1326007
350,C2496282,C1929396
351,C2438257,C2456526
