,CUI1,CUI2
0,C0880741,C1335776
1,C2572784,C3259843
2,C1978452,C1114587
3,C0641366,C3895803
4,C3318680,C1235461
5,C0385113,C1053374
6,C2324581,C0798289
7,C1521487,C1181470
8,C2403143,C1192594
9,C1138282,C3186998
10,C0206722,C2713065
11,C1147717,C0086390
12,C2744721,C2530659
13,C3666527,C1873976
14,C0278928,C1164796
15,C0524601,C1688694
16,C2755771,C3449008
17,C0943052,C3320827
18,C0708478,C1310685
19,C0879965,C1818755
20,C2621870,C0687875
21,C1416708,C2794420
22,C0033607,C1024390
23,C2545356,C1906117
24,C2344808,C1538786
25,C1424726,C0833233
26,C3536393,C0029411
27,C0049718,C3853966
28,C0707040,C0221773
29,C1417710,C1418708
30,C1422366,C3871259
31,C1830075,C3148003
32,C1212153,C0206727
33,C0178003,C0018482
34,C3426506,C0379109
35,C1170123,C1428968
36,C0600432,C0228815
37,C1965884,C3428490
38,C2583866,C0953902
39,C0364847,C0893450
40,C3385507,C2360333
41,C0006685,C1824473
42,C0221248,C3763040
43,C1952630,C3163382
44,C0800289,C0945506
45,C3054849,C1128835
46,C0600495,C0798260
47,C1565159,C1896268
48,C0350132,C3831150
49,C3262596,C0392752
50,C3490537,C1452514
51,C0215600,C3274034
52,C3719923,C1147110
53,C1198041,C1315975
54,C3911052,C0243702
55,C1061983,C0834738
56,C1439979,C1151464
57,C2458488,C0920565
58,C0634419,C2972949
59,C0010207,C3943939
60,C0917801,C3209382
61,C3971259,C2827772
62,C3319923,C2441798
63,C0020217,C1147057
64,C1921506,C3094938
65,C2749146,C0006075
66,C2395009,C1413323
67,C1942715,C1483962
68,C3023561,C1147140
69,C2333186,C3474011
70,C0036489,C0034538
71,C3902674,C2285463
72,C1293967,C2445231
73,C3654992,C3046857
74,C1824631,C3546990
75,C2754244,C3175556
76,C3086590,C1929947
77,C0093504,C0981760
78,C2923669,C0039705
79,C1147345,C1419272
80,C3337537,C3930552
81,C1214108,C3845563
82,C1904031,C3132600
83,C2296306,C2926382
84,C0920899,C1477732
85,C0676424,C0799128
86,C1259214,C0550792
87,C1217838,C2668423
88,C0506470,C3276161
89,C0052148,C1423015
