,CUI1,CUI2
0,C1914082,C2431211
1,C0267918,C3826207
2,C0499806,C3541152
3,C3782959,C1739036
4,C2788642,C1098912
5,C3746258,C1853501
6,C0921577,C1384663
7,C0011501,C3440246
8,C3766098,C1823493
9,C2719633,C3505527
10,C1413677,C3117499
11,C3831350,C1160214
12,C3503497,C1070174
13,C0680774,C0003191
14,C0597832,C0103839
15,C0549941,C3032055
16,C0271265,C2393563
17,C1607329,C0226401
18,C0108177,C0447740
19,C0391001,C3482237
20,C2940498,C1977840
21,C1412329,C3600026
22,C0040373,C0030568
23,C0016943,C0043944
24,C3124106,C1316175
25,C0123619,C0370941
26,C0366837,C2404918
27,C1717410,C0227448
28,C0282165,C1417143
29,C1926380,C0282474
30,C2936209,C3256041
31,C3946379,C0549909
32,C1707717,C1315801
33,C0706560,C3167611
34,C3539423,C3099254
35,C1419943,C1156229
36,C3105742,C4036944
37,C1135120,C1537631
38,C0521195,C0794378
39,C0771999,C1632947
40,C0297542,C1667414
41,C3644010,C0482984
42,C0759310,C0497510
43,C0849704,C0716889
44,C0085606,C3101793
45,C1169840,C0065756
46,C0639438,C2939739
47,C1147793,C0005156
48,C0367424,C2807623
49,C1454118,C3151156
50,C2923502,C1705064
51,C0781282,C0296331
52,C0048808,C1557867
53,C0045747,C4014811
54,C3655036,C0006674
55,C2616152,C1028804
56,C1978038,C3181874
57,C0281255,C1644251
58,C3272185,C1009120
59,C1930364,C1210103
60,C2738089,C2708990
61,C3759489,C1979339
62,C1557738,C1414513
63,C1146804,C0392777
64,C3007588,C3898043
65,C0485434,C1524719
66,C1148033,C2248789
67,C3893943,C3405283
68,C3476482,C1538128
69,C0004046,C1234142
70,C3097078,C2277009
71,C0366200,C1684727
72,C2377812,C1670825
73,C2446840,C3238110
74,C0206475,C2416504
75,C1857476,C1952584
76,C3419206,C2920762
77,C0941572,C0942722
78,C1628589,C2384717
79,C0227575,C1076779
80,C3467697,C1020283
81,C3431764,C3135330
82,C0949671,C0881223
83,C1711759,C1508204
84,C3973269,C2802987
85,C3487132,C2672882
86,C2352472,C0855176
87,C0707427,C0879994
88,C3813661,C0223546
89,C1088368,C3227242
90,C1954977,C3001911
91,C0943095,C1543493
92,C0802170,C1216613
93,C0960828,C3594413
94,C1953717,C0817751
95,C1329188,C1316852
96,C2950002,C0021275
97,C0828943,C3898290
98,C1051062,C0533029
99,C4042859,C0520434
100,C1278631,C1647785
101,C1832016,C3464133
102,C2700670,C1087498
103,C3208770,C3166784
104,C0013032,C0831922
105,C0759519,C3956358
