rownum,CUI1,CUI2,ce
0,C0035078,C0035078,1.0
1,C0018787,C0027061,NaN
2,C0038454,C0021308,NaN
3,C0156543,C0000786,NaN
4,C0011253,C0036341,NaN
5,C0018802,C0034063,NaN
6,C0027627,C0001418,NaN
7,C0175895,C0009814,NaN
8,C0011991,C0344375,NaN
9,C0026269,C0004238,NaN
10,C0024117,C0024109,NaN
11,C0003873,C0409974,NaN
12,C0006118,C0151699,NaN
13,C0007286,C0029408,NaN
14,C0011849,C0020538,NaN
15,C0702166,C0039142,NaN
16,C0003232,C0020517,NaN
17,C0010137,C0086511,NaN
18,C0034065,C0027051,NaN
19,C0034069,C0242379,NaN
20,C0206698,C0009378,NaN
21,C0333997,C0007107,NaN
22,C0026769,C0033975,NaN
23,C0003615,C0029456,NaN
24,C0034877,C0003483,NaN
25,C0043352,C0023891,NaN
26,C0030920,C0027092,NaN
27,C0011581,C0007642,NaN
28,C0042345,C0224701,NaN
29,C0020473,C0027627,NaN
