rownum,CUI1,CUI2,ce
0,C1465860,C3899772,NaN
1,C3606090,C0797956,NaN
2,C1508922,C0006012,NaN
3,C0051739,C1598086,NaN
4,C2299872,C2386372,NaN
5,C0531484,C0238154,NaN
6,C0503375,C1031187,NaN
7,C0027366,C0175709,-0.09014308452606201
8,C1869396,C1146781,NaN
9,C0001296,C3175745,NaN
10,C3080839,C0155930,NaN
11,C1514254,C3235801,NaN
12,C3417445,C0484476,NaN
13,C1077281,C1358448,-0.9998718500137329
14,C3261528,C2706984,NaN
15,C3938957,C3446937,NaN
16,C0261390,C1507630,NaN
17,C3483106,C1568459,NaN
18,C1063040,C3444885,NaN
19,C3258974,C1099408,NaN
20,C1416788,C3102055,NaN
21,C3747407,C1672066,NaN
22,C0105203,C0362951,NaN
23,C1716176,C1149210,NaN
24,C0280166,C0540821,NaN
25,C0024021,C3718239,0.24194835126399994
26,C0324023,C1875058,NaN
27,C1230988,C0041580,0.6760161519050598
28,C3464753,C3331317,NaN
29,C1147097,C0005962,NaN
30,C1425659,C1819740,-0.9811601638793945
31,C1518941,C0927967,0.995598554611206
32,C0366522,C3940898,NaN
33,C2447599,C2610011,NaN
34,C0023816,C2647427,NaN
35,C3852675,C1065384,NaN
36,C0016157,C0821000,-0.23125216364860535
37,C0362099,C1701906,NaN
38,C0619806,C0014358,-0.12111981213092804
39,C3533723,C1667473,NaN
40,C1526689,C1544345,NaN
41,C0061579,C3136124,0.3604373335838318
42,C0042568,C2346766,-0.03970308601856232
43,C1332857,C1420806,-0.9987954497337341
44,C1482101,C3432225,NaN
45,C0025884,C1416638,0.2572709619998932
46,C3793345,C0802292,NaN
47,C0214569,C0482266,0.8715380430221558
48,C0279503,C1660262,0.9998213648796082
49,C1060684,C0803488,NaN
50,C3339794,C3911583,0.9987223744392395
51,C1611164,C3177968,NaN
52,C1977522,C2717849,NaN
53,C2946023,C0834301,NaN
54,C3059711,C1930712,0.963225781917572
55,C0070686,C0934010,NaN
56,C0506902,C3533994,NaN
57,C0368406,C1933479,NaN
58,C3167215,C2001823,NaN
59,C0943434,C0078049,NaN
60,C2504135,C0484633,NaN
61,C3864706,C2678822,NaN
62,C1333229,C1316759,NaN
63,C3847132,C1414196,NaN
64,C3894021,C2664288,0.9692299365997314
65,C3747787,C3752922,NaN
66,C2605776,C3457433,-0.9980207681655884
67,C0882433,C1636106,NaN
68,C3277837,C0729611,NaN
69,C0325704,C3817701,NaN
70,C0796791,C3802516,NaN
71,C2457873,C3978762,NaN
72,C3295636,C3631748,-0.993962287902832
