,CUI1,CUI2,vector
0,C0365655,C3976786,0.1859
1,C2925955,C1429686,0.3264
2,C1334556,C0153364,0.7664
3,C1906752,C3069393,0.0673
4,C4013851,C1539848,0.1100
5,C3399660,C0058435,0.1765
6,C1147139,C3567740,0.2233
7,C0743798,C0879910,0.0124
8,C3351085,C1910468,0.0817
9,C0484347,C2438766,0.0323
10,C3421462,C0943506,0.1145
11,C0644117,C3052987,0.0875
12,C2283687,C1019604,0.0000
13,C2679751,C2991663,0.0000
14,C2825452,C1601404,0.0381
15,C2598673,C0423618,0.1958
16,C3151770,C0824960,0.0752
17,C3391197,C3847349,0.2003
18,C1859004,C0484436,0.2459
19,C1526963,C3035416,0.7193
20,C0880189,C0753576,0.0565
21,C0229047,C0820786,0.0082
22,C0629356,C0020565,0.2792
23,C1325786,C0033373,0.4486
24,C1069723,C3630330,0.9995
25,C3889409,C0803244,0.1154
26,C1833114,C3333448,0.0560
27,C0483732,C1442749,0.2303
28,C0282122,C2634345,0.0929
29,C3597700,C1071277,0.0304
30,C3471204,C1505106,0.2424
31,C1148248,C2794194,0.0000
32,C0944533,C3954428,0.0983
33,C1999854,C2000541,0.0415
34,C2969842,C0921892,0.1388
35,C2936761,C2727310,0.1848
36,C2480004,C3482142,0.1186
37,C2607541,C0824467,0.2121
38,C0502169,C1069939,0.0820
39,C0923951,C0288343,0.0936
40,C1722561,C0964799,0.0640
41,C2500081,C1634413,0.0804
42,C2466603,C1324889,0.0135
43,C1636001,C0975262,0.0751
44,C1308583,C0756011,0.3807
45,C1924171,C3641497,0.1388
46,C3255812,C0981268,0.3180
47,C2970525,C0034552,0.1302
48,C0157450,C1824439,0.1735
49,C0482985,C0362696,0.8098
50,C1333460,C3956551,0.3397
51,C1953200,C2350050,0.3116
52,C0803479,C2719872,0.0874
53,C1576506,C3255675,0.0495
54,C0026987,C1184766,0.3563
55,C0484298,C0825505,0.0284
56,C0880789,C2336541,0.1221
57,C0679013,C0488297,0.0739
58,C2400307,C3719795,0.0797
59,C0025219,C3891655,0.1991
60,C2567992,C2509670,0.9588
61,C0280793,C0250997,0.2209
62,C0941968,C0753512,0.2092
63,C3889703,C3765584,0.0935
64,C0455216,C1213847,0.0473
65,C2446592,C3945375,0.0947
66,C1312140,C3147313,0.2201
67,C3343940,C1720318,0.0125
68,C2618455,C3546656,0.0044
69,C3272375,C1953488,0.0728
70,C0770307,C3162898,0.3700
71,C1321921,C1430346,0.2115
72,C2278163,C2294098,0.0532
73,C0881593,C0974997,0.3925
74,C3125825,C1423947,0.1062
75,C0961029,C0265385,0.2433
76,C1053371,C0013010,0.2902
77,C3132020,C0804247,0.2305
78,C1839566,C0551304,0.2959
79,C2405889,C3755831,0.1013
80,C3122526,C2598441,0.0842
81,C2442435,C1311384,0.1848
82,C0797482,C3812702,0.2526
83,C3481946,C1953621,0.3137
84,C0258339,C3157093,0.2410
85,C0880674,C3846542,0.1699
86,C2723387,C2637223,0.1130
87,C0482552,C2765609,0.0758
88,C0221283,C1872073,0.0153
89,C1525709,C0245324,0.0658
90,C3416194,C2980898,0.0000
91,C2270709,C1414965,0.0577
92,C0368257,C2532144,0.0806
93,C0628009,C0798259,0.2112
94,C2987503,C2450541,0.1508
95,C2698621,C0536416,0.1977
96,C3100741,C3383032,0.3030
97,C1643531,C0740235,0.1620
98,C1461454,C2969946,0.0775
99,C0153558,C1080963,0.0850
100,C1525266,C3440894,0.1306
101,C1332960,C0540492,0.0448
102,C3503149,C3800028,0.0000
103,C1585537,C2814159,0.0000
104,C2730090,C0252505,0.0089
105,C3438690,C0536004,0.0545
106,C0815133,C0734256,0.0668
107,C1903435,C2476652,0.0619
108,C3124365,C3566226,0.9995
109,C0374940,C0227536,0.0587
110,C1538890,C3173316,0.0999
111,C3426749,C1449569,0.3298
112,C1507780,C2360523,0.4676
113,C1222840,C1875803,0.0363
114,C3816945,C3422603,0.1192
115,C3273424,C3332842,0.2911
116,C3360672,C0828524,0.7561
117,C3696400,C2290392,0.0693
118,C0363930,C2545847,0.3210
119,C0832339,C2924076,0.2107
120,C1428821,C0475211,0.1083
121,C0937508,C1934563,0.0764
122,C1120186,C1312614,0.0519
123,C0732355,C0030554,0.3642
124,C1503164,C0365167,0.0837
125,C3847168,C1213383,0.1860
126,C2828270,C3999077,0.0461
127,C3433250,C1256340,0.0553
128,C3801737,C2759280,0.0688
129,C1979002,C0882378,0.9281
130,C0011017,C1512320,0.0729
131,C1743708,C0483737,0.0364
132,C0827530,C0334160,0.2079
133,C3024878,C0630634,0.4851
134,C3334328,C2733959,0.2382
135,C2767678,C0363528,0.0673
136,C2405289,C0797392,0.1027
137,C1318163,C0550734,0.7162
138,C1202106,C2277837,0.9725
139,C0977679,C1526744,0.2984
140,C0368406,C2695003,0.1873
141,C0934743,C1071510,0.0483
142,C1611365,C1814776,0.0278
143,C3110324,C2446855,0.0677
144,C1623822,C2653342,0.9894
145,C2445285,C0488549,0.3345
146,C1028607,C3770346,0.0179
147,C3870491,C0798124,0.2421
148,C0505697,C1148235,0.3177
149,C1177155,C1572915,0.0301
150,C1942153,C0038689,0.3953
151,C0923286,C3715236,0.0733
152,C0880595,C3823895,0.2883
153,C0029429,C1071354,0.1678
154,C0550499,C2556113,0.1103
155,C0367975,C1456179,0.3122
156,C1465352,C0390113,0.0408
157,C0798743,C0485901,0.7509
158,C0224853,C3260911,0.0345
159,C0043365,C0797101,0.3865
160,C2718233,C3349052,0.3013
161,C1030583,C3063646,0.0661
162,C3225652,C3537195,0.4135
163,C3764803,C2697657,0.0741
164,C1910455,C3846872,0.1182
165,C2375870,C2654385,0.0454
166,C2668099,C3147764,0.0512
167,C2443441,C1896099,0.0000
168,C3219572,C2925657,0.0189
169,C3742502,C0191880,0.2513
170,C3725338,C1316648,0.0414
171,C1311540,C3980363,0.0184
172,C2380008,C4042969,0.0831
173,C0802466,C2360401,0.2074
174,C0958220,C1705480,0.1325
175,C0079105,C3429986,0.2151
176,C3948719,C0011263,0.1761
177,C1431869,C0266427,0.1863
178,C2395572,C0028692,0.1267
179,C0939998,C3917630,0.0396
180,C2246316,C0943557,0.1895
181,C3864744,C0921387,0.2189
182,C2408313,C3753186,0.1775
183,C2360465,C2931030,0.1211
184,C2617077,C3888090,0.1962
185,C1823166,C0329152,0.0000
186,C3710916,C0227239,0.1715
