,CUI1,CUI2,vector
0,C1883335,C1738209,0.0325
1,C1568684,C1209357,0.5990
2,C1382941,C3378713,0.0249
3,C0485751,C2916993,0.4269
4,C1315157,C1703476,0.0860
5,C1334310,C0358458,0.3405
6,C2657225,C2360082,0.1259
7,C3156320,C0818149,0.1006
8,C2607213,C3012660,0.1345
9,C1741745,C0796389,0.1247
10,C0798948,C3658282,0.1647
11,C0647743,C2002074,0.4134
12,C3982742,C0232124,0.0305
13,C3428444,C3322411,0.0272
14,C0804243,C3847422,0.7625
15,C0485463,C1157352,0.3078
16,C3569086,C3952801,0.0328
17,C0034540,C3569575,0.1556
18,C2428136,C0002573,0.2179
19,C2986140,C0386058,0.0180
20,C1543872,C3375030,0.1607
21,C1722391,C0331498,0.1092
22,C1505239,C0366577,0.0292
23,C0787020,C0018497,0.1205
24,C2610682,C1999875,0.0441
25,C0687821,C1279956,0.5003
26,C1143736,C2949881,0.1324
27,C0733383,C2384508,0.1062
28,C1346290,C1990794,0.1013
29,C0302363,C3924734,0.3122
30,C2649876,C2362605,0.1163
31,C2645527,C0282312,0.1487
32,C2942817,C0943721,0.1493
33,C0039821,C3534718,0.1097
34,C3365344,C1355003,0.0000
35,C0205394,C0503833,0.0063
36,C1419310,C3654842,0.2266
37,C2578591,C1990733,0.0374
38,C0367996,C0489398,0.5829
39,C1158447,C0931178,0.1182
40,C2682856,C3896023,0.1155
41,C2940784,C0939026,0.1486
42,C0882348,C1191224,0.2232
43,C3247665,C1559984,0.2026
44,C0265966,C3891678,0.5698
45,C1868682,C1113743,0.3274
46,C1873230,C0430594,0.0687
47,C2809310,C3812343,0.0000
48,C3738098,C1978516,0.0736
49,C0942445,C0705909,0.7043
50,C0959645,C0595459,0.3087
51,C2598097,C1056049,0.0000
52,C0026187,C3392891,0.2603
53,C0710255,C0078399,0.2095
54,C3925051,C0616843,0.1315
55,C2735564,C1101477,0.2300
56,C1544210,C1052560,0.1133
57,C3227437,C0393547,0.0101
58,C1075005,C1693842,0.0000
59,C0482554,C1819186,0.1467
60,C2361222,C3034953,0.2303
61,C1054876,C0951381,0.0492
62,C0980506,C1332097,0.2325
63,C0521213,C1544327,0.2949
64,C1513237,C0023607,0.5337
65,C1978355,C1245344,0.0682
66,C0903808,C3807357,0.1385
67,C1150382,C3117133,0.1059
68,C3246449,C3891774,0.1215
69,C0175426,C0017920,0.4016
70,C1924185,C1524210,0.3928
71,C1526599,C0260069,0.2983
72,C0748852,C3106898,0.2242
73,C2286778,C1481380,0.0000
74,C0925832,C0598696,0.1587
75,C0939133,C1518051,0.1098
76,C2452949,C1140680,0.2030
77,C1153097,C1565989,0.0697
78,C3894044,C1513692,0.1399
79,C0943530,C3911594,0.3215
80,C2719778,C2826825,0.0000
81,C3813764,C0798442,0.1215
82,C0550610,C1547102,0.7027
83,C0978471,C1864010,0.1403
84,C3168409,C3036448,0.0484
85,C3276821,C2735319,0.3293
86,C0656326,C3898195,0.0943
87,C0034524,C0756892,0.0732
88,C1171168,C2498052,0.4751
89,C0485640,C0365638,0.3758
90,C0484464,C1155828,0.1581
91,C3850342,C1315703,0.2042
92,C1710659,C2747769,0.0774
93,C3822831,C0483719,0.1555
94,C0600282,C2936250,0.0695
95,C0328198,C3534408,0.0000
96,C2969952,C1848571,0.1826
97,C1124479,C1414298,0.1026
98,C3887516,C0521471,0.4271
99,C0030078,C0215848,0.3206
100,C3596897,C2099487,0.0074
101,C1935636,C1952631,0.0000
102,C1202225,C2446423,0.0511
103,C0008671,C2268574,0.1924
104,C0040671,C1085317,0.4395
105,C2954405,C0062023,0.2035
106,C1672574,C1952688,0.0000
107,C2425759,C3025739,0.0429
108,C1113954,C3760662,0.2337
109,C1954861,C4046617,0.2787
110,C1925929,C2503358,0.0467
111,C0541816,C0475732,0.2234
112,C1147561,C2277695,0.0506
113,C2607011,C0013856,0.4510
114,C0085111,C1087394,0.0955
115,C1136152,C3895332,0.2672
116,C3915269,C0018862,0.1344
117,C1675445,C0800759,0.0014
118,C0261059,C1717406,0.1334
119,C1941392,C0161803,0.0647
120,C2821897,C0270847,0.1719
121,C3407547,C0002875,0.2411
122,C2701281,C3832820,0.4701
123,C1326553,C0801767,0.0418
124,C0010850,C1715840,0.4044
125,C1307172,C3533788,0.3053
126,C2829431,C3570763,0.0360
127,C0551958,C0689763,0.4393
128,C1063706,C1424761,0.0522
129,C2685661,C3489983,0.1580
130,C0177300,C2279102,0.0756
131,C1636643,C0942805,0.1005
132,C1653510,C1212385,0.0875
133,C3737041,C1567799,0.2852
134,C3618452,C3571252,0.0626
135,C3409655,C1463580,0.0629
136,C2399937,C3263049,0.1122
137,C0366442,C3339160,0.3478
138,C0482079,C3816131,0.0188
139,C2818436,C0023532,0.3005
140,C3483044,C0008559,0.1582
141,C1182318,C1824201,0.0893
142,C2518692,C2997427,0.0596
143,C1114359,C3857386,0.2320
144,C3278897,C0869501,0.0430
145,C1657760,C0206179,0.0294
146,C0827732,C2360685,0.3168
147,C4027249,C2694957,0.0169
148,C1519634,C3821688,0.0321
149,C3699221,C1524268,0.2885
150,C3904890,C1154741,0.1654
151,C2969946,C0612896,0.2403
152,C2780470,C0925002,0.0545
153,C3596282,C1670561,0.8994
154,C2670368,C0880267,0.1627
155,C0981555,C0712824,0.0938
156,C1738885,C3165668,0.0102
157,C1439862,C0883205,0.0000
158,C0503457,C2970662,0.3216
159,C0804048,C0042944,0.1730
160,C1050319,C2295522,0.0180
161,C1342847,C1635818,0.0000
162,C1544142,C0802091,0.1670
163,C0329178,C0149782,0.0349
164,C3360922,C1569311,0.0601
165,C0383442,C3608959,0.0421
166,C2787216,C1206226,0.1636
167,C3739861,C0278652,0.3788
168,C1369518,C3633042,0.3067
169,C1567121,C0253664,0.2221
170,C2240574,C2732143,0.6754
171,C0942711,C3494255,0.2138
172,C3561603,C3395993,0.7257
173,C1369466,C0798259,0.2160
174,C2403151,C1421243,0.1299
175,C1676180,C3243730,0.0607
176,C1015635,C1067075,0.0896
177,C3974226,C0526147,0.2095
178,C0991827,C1419234,0.1914
179,C1113807,C1336182,0.1702
180,C2701781,C3112610,0.1647
181,C0391160,C2360326,0.0695
182,C1649538,C3609621,0.8362
183,C3248712,C1062437,0.0022
184,C0162303,C0666904,0.1115
185,C2924284,C1311781,0.0000
186,C0393047,C2606309,0.3113
187,C3887683,C3884274,0.6636
188,C3168383,C1883607,0.2596
189,C1148064,C0026609,0.6689
190,C3158799,C0550757,0.0753
191,C0483860,C3811690,0.2572
192,C1524386,C1525758,0.7261
193,C3106105,C3428706,0.0559
194,C0149761,C0486317,0.0065
195,C2628238,C2282136,0.0180
196,C1688975,C0826235,0.7297
197,C0944416,C1948024,0.0289
198,C1308454,C3030348,0.0157
199,C1572305,C1710891,0.2916
200,C2606824,C1884938,0.2076
201,C0282616,C3623751,0.2774
202,C2634976,C0050145,0.0416
203,C3332318,C1627014,0.0326
204,C1307175,C0652816,0.5268
205,C0924016,C2240151,0.0322
206,C3754112,C3071514,0.0430
207,C1507534,C3660261,0.5989
208,C3824221,C0178706,0.1330
209,C2987771,C0943193,0.0955
210,C0880677,C0340464,0.1489
211,C2798395,C0751675,0.1326
212,C0156088,C3344561,0.0625
213,C0363955,C3411799,0.1924
214,C3911580,C1978097,0.0830
215,C1645759,C3815433,0.0331
216,C0032974,C3992903,0.5276
217,C3136135,C3256758,0.0622
218,C3810939,C2754453,0.2110
219,C2923507,C2998131,0.0692
220,C3966203,C2692608,0.0418
221,C0082603,C1192760,0.0785
222,C0256139,C1708937,0.1406
223,C0942623,C0482540,0.8897
224,C0652586,C1187388,0.0887
225,C0552253,C3259294,0.1739
226,C1977091,C0330208,0.1653
227,C1924248,C2361378,0.0000
228,C1717334,C1077791,0.0680
229,C1332015,C0775753,0.2108
230,C1846573,C0630204,0.0227
231,C0628911,C3032464,0.0338
232,C2607831,C0712207,0.6175
233,C2338046,C0020687,0.2417
234,C1423717,C0850996,0.0491
235,C3440559,C1145370,0.1513
236,C2460587,C0798107,0.1535
237,C3043706,C1874130,0.1086
238,C0658638,C2681709,0.0568
239,C0550557,C1647448,0.2011
240,C1444956,C0021053,0.0125
241,C1545069,C0713359,0.4325
242,C0797058,C2536356,0.0935
243,C2810120,C1644217,0.0179
244,C0728740,C3772844,0.1123
245,C1549069,C0614549,0.1598
246,C1198670,C3327223,0.0816
247,C1919387,C2310350,0.5678
248,C3489904,C0799579,0.0686
249,C1422425,C2656482,0.0491
250,C1948581,C3259416,0.2045
251,C3797915,C3558923,0.0536
252,C1715286,C2464026,0.1106
253,C0000814,C0023636,0.3217
254,C0425661,C3939835,0.0788
255,C0085383,C2986799,0.1874
256,C0485421,C2373020,0.0650
257,C2664440,C1873005,0.0000
258,C3599585,C1699741,0.0000
259,C1029344,C0944885,0.1313
260,C0065493,C1514764,0.3272
261,C1527150,C2393792,0.0747
262,C1979284,C3825468,0.1601
263,C3541223,C1148761,0.0497
264,C0018681,C1189393,0.2542
265,C1147445,C3811524,0.1398
266,C3392415,C2946461,0.1296
267,C1032649,C0551949,0.2864
268,C1647757,C1008079,0.0304
269,C2660312,C2988155,1.0000
270,C1661334,C2689346,0.0755
271,C0941531,C3959162,0.0951
272,C1137729,C0280220,0.0000
273,C1315982,C0935269,0.2654
