,CUI1,CUI2,vector
0,C1914082,C2431211,0.0643
1,C0267918,C3826207,0.0102
2,C0499806,C3541152,0.0934
3,C3782959,C1739036,0.0067
4,C2788642,C1098912,0.0210
5,C3746258,C1853501,0.0489
6,C0921577,C1384663,0.2935
7,C0011501,C3440246,0.3113
8,C3766098,C1823493,0.0347
9,C2719633,C3505527,0.0304
10,C1413677,C3117499,0.0445
11,C3831350,C1160214,0.3215
12,C3503497,C1070174,0.0369
13,C0680774,C0003191,0.1478
14,C0597832,C0103839,0.1875
15,C0549941,C3032055,0.1555
16,C0271265,C2393563,0.0595
17,C1607329,C0226401,0.0000
18,C0108177,C0447740,0.1454
19,C0391001,C3482237,0.6557
20,C2940498,C1977840,0.0256
21,C1412329,C3600026,0.0629
22,C0040373,C0030568,0.4659
23,C0016943,C0043944,0.2129
24,C3124106,C1316175,0.0093
25,C0123619,C0370941,0.1669
26,C0366837,C2404918,0.0530
27,C1717410,C0227448,0.2150
28,C0282165,C1417143,0.0349
29,C1926380,C0282474,0.0771
30,C2936209,C3256041,0.2514
31,C3946379,C0549909,0.1024
32,C1707717,C1315801,0.0967
33,C0706560,C3167611,0.0713
34,C3539423,C3099254,0.0373
35,C1419943,C1156229,0.0504
36,C3105742,C4036944,0.2427
37,C1135120,C1537631,0.2615
38,C0521195,C0794378,0.4617
39,C0771999,C1632947,0.4057
40,C0297542,C1667414,0.0638
41,C3644010,C0482984,0.3967
42,C0759310,C0497510,0.0933
43,C0849704,C0716889,0.0086
44,C0085606,C3101793,0.1892
45,C1169840,C0065756,0.2103
46,C0639438,C2939739,0.0566
47,C1147793,C0005156,0.2236
48,C0367424,C2807623,0.1006
49,C1454118,C3151156,0.1669
50,C2923502,C1705064,0.6190
51,C0781282,C0296331,0.0891
52,C0048808,C1557867,0.4180
53,C0045747,C4014811,0.0496
54,C3655036,C0006674,0.5835
55,C2616152,C1028804,0.9439
56,C1978038,C3181874,0.1914
57,C0281255,C1644251,0.4251
58,C3272185,C1009120,0.0585
59,C1930364,C1210103,0.0567
60,C2738089,C2708990,0.0624
61,C3759489,C1979339,0.3044
62,C1557738,C1414513,0.1194
63,C1146804,C0392777,0.2147
64,C3007588,C3898043,0.1380
65,C0485434,C1524719,0.7522
66,C1148033,C2248789,0.0238
67,C3893943,C3405283,0.0202
68,C3476482,C1538128,0.0182
69,C0004046,C1234142,0.0550
70,C3097078,C2277009,0.0000
71,C0366200,C1684727,0.0308
72,C2377812,C1670825,0.0090
73,C2446840,C3238110,0.0000
74,C0206475,C2416504,0.0898
75,C1857476,C1952584,0.2153
76,C3419206,C2920762,0.0220
77,C0941572,C0942722,0.2189
78,C1628589,C2384717,0.0560
79,C0227575,C1076779,0.0532
80,C3467697,C1020283,0.0000
