,CUI1,CUI2,vector
0,C3205213,C0765874,0.0483
1,C0291698,C2727958,0.0885
2,C2290647,C1206223,0.0733
3,C1650515,C3669712,0.6953
4,C0368351,C3476521,0.0876
5,C1312742,C1839779,0.5034
6,C2734489,C1005107,0.1573
7,C3655161,C1530446,0.4864
8,C2440710,C1073219,0.0499
9,C1257673,C1947671,0.0181
10,C0943065,C2269750,0.4770
11,C1651400,C2625550,0.9682
12,C3890834,C1649408,0.0344
13,C2491055,C3947020,0.1728
14,C1088291,C0367367,0.1529
15,C0408314,C1954556,0.3095
16,C0998787,C2348420,0.0122
17,C3017279,C1943550,0.9995
18,C1508037,C0488958,0.1382
19,C1886660,C1222651,0.0000
20,C3872020,C1560485,0.1804
21,C2458342,C3656125,0.0136
22,C2246943,C3029205,0.1276
23,C0944586,C3654342,0.1088
24,C2442415,C0236642,0.5655
25,C3421197,C0702254,0.1663
26,C2780855,C0363888,0.0552
27,C1422575,C0364064,0.1343
28,C0797698,C3993158,0.0087
29,C2239685,C1060807,0.0344
30,C1744621,C3715914,0.4188
31,C0916643,C0733533,0.3770
32,C1954968,C1831213,0.2196
33,C0970696,C2950909,0.0060
34,C2419138,C2245417,0.0193
35,C1831804,C0915178,0.2772
36,C1418331,C1530203,0.0226
37,C3392308,C0064620,0.0808
38,C3067504,C3385280,0.0273
39,C0822988,C2731589,0.0942
40,C0507470,C0923498,0.7083
41,C3847166,C1929171,0.0829
42,C0803849,C0227736,0.3392
43,C0263859,C1522036,0.4489
44,C0802422,C1441098,0.0478
45,C0803445,C2966533,0.4433
46,C0399368,C0227403,0.1254
47,C1413429,C0051756,0.0823
48,C0484538,C1135564,0.0878
49,C0364196,C2923901,0.2451
50,C2243101,C1822712,0.1135
51,C0010074,C2700196,0.1269
52,C1437229,C1876869,0.0801
53,C0975120,C1369627,0.2296
54,C3724459,C3599038,0.1666
55,C0489098,C0591049,0.4466
56,C1927934,C0022067,0.1005
57,C1067773,C1507866,0.0503
58,C0268272,C1739931,0.2966
59,C3071263,C4006719,0.0317
60,C3171733,C2936084,0.2166
61,C0753910,C1147520,0.1970
62,C0363977,C1048515,0.1241
63,C1830154,C1938162,0.1204
64,C1494330,C0940799,0.1070
65,C3392462,C1825635,0.0998
66,C2420659,C1539237,0.2247
67,C1070752,C2499271,0.0816
68,C3171943,C0205997,0.1857
69,C2745479,C0607763,0.7246
70,C3395833,C0797944,0.1373
71,C3608732,C0062641,0.7028
72,C1304949,C1714609,0.3418
73,C0836851,C1314615,0.0887
74,C2930657,C1315071,0.0269
75,C0769466,C1184473,0.3068
76,C3362730,C2317565,0.0000
77,C1709424,C2270486,0.0946
78,C2554674,C3502588,0.0241
79,C3939773,C0028076,0.2676
80,C0221731,C0041186,0.4012
81,C1200144,C1706326,0.0430
82,C3404408,C3554130,0.0847
83,C1073101,C0081411,0.0840
84,C0002372,C3644073,0.1984
85,C1369321,C1315226,0.0000
86,C2827563,C1559237,0.1653
87,C0086335,C1542950,0.1228
88,C0364241,C3528145,0.0706
89,C3657748,C0488722,0.1971
90,C0322831,C0162736,0.1249
91,C3739452,C0549926,0.1277
92,C0021828,C1179999,0.3800
93,C3104223,C1384665,0.1503
94,C3657145,C1185369,0.1236
95,C1476847,C1027587,0.0430
96,C0481935,C0804007,0.2874
97,C1624124,C1334899,0.1142
98,C1427882,C0883292,0.0736
99,C0797771,C3618628,0.1004
100,C3930910,C0020703,0.2412
101,C1197003,C1999431,0.0111
102,C2348381,C0017679,0.3054
103,C1707248,C1257286,0.0819
104,C3619478,C2505642,0.0480
105,C0804132,C1309128,0.3100
106,C3669286,C2322983,0.1056
107,C3821738,C2933311,0.1036
108,C0684815,C3597249,0.5041
109,C1412779,C1973344,0.0484
110,C3894504,C0484279,0.2162
111,C2332877,C0366125,0.0827
112,C3490026,C1260899,0.1252
113,C0484948,C1114363,0.4799
114,C1836383,C0878179,0.1377
115,C0879997,C0921330,0.4330
116,C1456786,C1423974,0.1515
117,C0001655,C0051510,0.3068
118,C3897795,C3669300,0.6366
119,C3536141,C0036205,0.0000
120,C2411710,C2930460,0.0172
121,C2403003,C2713516,0.0474
122,C1817588,C1459657,0.1216
123,C0599017,C3253949,0.0440
124,C3849205,C0015411,0.2397
125,C2450467,C0551242,0.0650
126,C0006370,C3717512,0.0992
127,C3600871,C1223125,0.0328
128,C2314751,C3941372,0.0000
129,C2445597,C2512154,0.6120
130,C3092535,C3146831,0.0445
131,C0041450,C1835843,0.1245
132,C0367849,C3368648,0.0692
133,C0026256,C0225308,0.3438
134,C0366105,C1507771,0.9727
135,C0938784,C0944798,0.0492
136,C3481877,C3158639,0.1272
137,C2599660,C3147037,0.3223
138,C1698908,C2646542,0.0941
139,C1449709,C1334455,0.5215
140,C0798527,C1545155,0.9539
141,C3213710,C0126359,0.0898
142,C1867450,C0011967,0.2915
143,C3574796,C1667257,0.0304
144,C1492277,C0152622,0.0108
145,C0428692,C0364157,0.0468
146,C2452669,C3825709,0.0768
147,C2952071,C0522185,0.0254
148,C1696556,C0486174,0.2862
149,C3548032,C1512020,0.0780
150,C0174271,C3988715,0.1552
151,C0364636,C2734079,0.2423
152,C3821370,C3812779,0.0109
153,C0006826,C0364293,0.4853
154,C1718811,C2352238,0.0000
155,C1640699,C1427798,0.0071
156,C4002184,C3384450,0.0179
157,C2993662,C0862643,0.4678
158,C2000414,C1823409,0.1190
159,C0222566,C0944139,0.3862
160,C0803490,C1041297,0.1083
161,C2498387,C1438411,0.1380
162,C3474023,C1672707,0.4230
163,C1415690,C1007841,0.0000
164,C1058162,C0874083,0.1293
165,C2409463,C1175070,0.0502
166,C3633984,C2406649,0.1514
167,C0977021,C0802688,0.1945
168,C0976496,C3476017,0.1317
169,C1002358,C3545367,0.0083
170,C1114217,C1687413,0.1118
171,C3172003,C0501577,0.0718
172,C2580302,C2980198,0.2231
173,C2970055,C0688003,0.4199
174,C0368321,C1333590,0.2100
175,C0043297,C1706480,0.6006
176,C1919304,C1825768,0.0296
177,C0035373,C0798177,0.2432
178,C3158526,C0349097,0.1220
179,C1261211,C1978478,0.4478
180,C2001486,C1156666,0.1538
181,C0004114,C1576924,0.1133
182,C0368129,C3658228,0.4088
183,C0292818,C0424997,0.3296
184,C1525310,C0485280,0.1433
185,C1421501,C3413698,0.1495
186,C4024729,C0367240,0.0775
187,C1023872,C2744216,0.0808
188,C0017920,C0086357,0.2599
189,C2687950,C0058273,0.0246
190,C0331537,C0222437,0.1189
191,C3427530,C2679688,0.0146
192,C1961253,C0550326,0.1008
193,C0364926,C2543873,0.1392
194,C3454435,C3173462,0.4445
195,C0800267,C1478973,0.3343
196,C1955864,C1604542,0.0060
197,C1451084,C1493474,0.1286
198,C3833979,C0880735,0.3444
199,C3097625,C3059528,0.0316
200,C3543577,C2671916,0.2225
201,C0797148,C1316806,0.6778
202,C1818512,C1025381,0.0000
203,C2707538,C2048998,0.2241
204,C0797986,C1023080,0.0487
205,C0880863,C2575122,0.0572
206,C0830911,C1856883,0.0251
207,C2925673,C3951250,0.1805
208,C3272949,C0063849,0.0848
209,C0981615,C0329563,0.0435
210,C0602138,C1148178,0.0275
211,C0157572,C2343716,0.1010
212,C3931007,C0688338,0.0355
213,C1421650,C2411374,0.1050
214,C3726498,C1159582,0.1275
215,C1554702,C2631813,0.1269
216,C1874868,C2551966,0.0335
217,C1924599,C3792600,0.0317
218,C0133929,C0636433,0.3749
219,C0803783,C0664051,0.4012
220,C2492441,C3722433,0.0501
221,C1298907,C2327752,0.1258
222,C0066818,C0286263,0.2260
223,C0801477,C0177874,0.1606
224,C2664217,C0525067,0.3433
225,C0362768,C1505244,0.2040
226,C0688613,C4036648,0.1345
227,C3548672,C0563468,0.0474
228,C1877559,C0031831,0.2173
229,C3467825,C3259531,0.1014
230,C3131794,C3483884,0.1222
231,C0673602,C0090883,0.0309
232,C2277604,C1419003,0.3108
233,C2829892,C0693374,0.1088
234,C0349374,C1705989,0.2677
235,C0362889,C0490793,0.0522
236,C1628450,C0367225,0.2712
237,C3336904,C2923942,0.2553
238,C0741305,C2811447,0.0922
239,C2734372,C0321443,0.2376
240,C0033689,C1724165,0.3594
241,C2962965,C3323875,0.0150
242,C1142645,C0006949,0.3120
243,C0799260,C1589331,0.6145
244,C1649889,C0482924,0.1203
245,C0279454,C0037833,0.4158
246,C3669218,C1438425,0.2490
247,C1926045,C0489110,0.0484
248,C0738240,C2598838,0.2460
249,C1335285,C1817381,0.5683
250,C0882174,C3424260,0.0765
251,C0007874,C3887868,0.5110
252,C0536591,C0549735,0.0412
253,C3408037,C0232338,0.1835
254,C1458787,C0879849,0.1074
255,C0001047,C3963801,0.1842
256,C0331124,C3165914,0.0891
257,C0365619,C3477183,0.0373
258,C0009201,C2370488,0.0260
259,C1078127,C3811180,0.0050
260,C0263634,C2695391,0.2580
261,C0162533,C0257947,0.2657
262,C1180576,C1992214,0.0419
263,C0819550,C0013769,0.3092
264,C3045212,C1915213,0.0629
265,C2443044,C2444292,0.8511
266,C0880482,C0012625,0.1537
267,C1315291,C3272171,0.0734
268,C2734636,C1853135,0.2726
269,C2460070,C0378733,0.1498
270,C3329573,C1263762,0.0381
271,C3421403,C0950013,0.0000
272,C0796512,C1154870,0.2663
273,C0015523,C2440795,0.1954
274,C0551123,C1622067,0.3906
275,C2292263,C3177271,0.1103
276,C2609572,C1082988,0.2912
277,C2645761,C0803263,0.1307
278,C1714607,C1240335,0.1541
279,C1673496,C3395450,0.0688
280,C2821201,C0078911,0.2206
281,C3582034,C3172544,0.0881
282,C3445027,C2396807,0.0317
283,C3402122,C1853118,0.2003
284,C3367936,C1633221,0.0407
285,C3159191,C0221239,0.2974
286,C1207153,C3900658,0.9103
287,C2707180,C2953217,0.2338
288,C0070694,C0504324,0.1024
289,C3807932,C1622874,0.0600
290,C3699563,C3652292,0.0000
291,C2337971,C0036347,0.2377
292,C1710302,C1469279,0.0814
293,C0486232,C0679834,0.0527
294,C1528569,C2257685,0.0097
295,C3756877,C0881578,0.2838
296,C1495398,C3282087,0.0586
297,C0799815,C0758470,0.2383
298,C3221196,C3030405,0.0159
299,C1600475,C3831587,0.0000
300,C0194209,C1077826,0.0700
301,C3554010,C0609720,0.0491
302,C2726667,C0688102,0.0629
303,C1890695,C2619079,1.0000
304,C0526354,C1652382,0.0000
305,C0006090,C3533776,0.3529
306,C0485345,C1994114,0.0947
307,C0032835,C0797851,0.1838
308,C1036499,C1147445,0.1701
309,C3547614,C3538445,0.4458
310,C3247298,C1716340,0.0533
311,C2684483,C0368525,0.3529
312,C1336430,C2936521,0.1091
313,C0530093,C3701194,0.0251
314,C0009216,C3895464,0.0230
315,C1020089,C1427785,0.0782
316,C3788297,C1878217,0.1567
317,C1699390,C2457303,0.0739
318,C1384511,C3352108,0.0350
319,C2993545,C2702212,0.0968
320,C0880299,C1146946,0.9268
321,C1854301,C0645390,0.2662
322,C0680276,C0485723,0.0221
323,C1199296,C0009908,0.0244
324,C0371815,C3471034,0.1214
325,C0639119,C2708492,0.1871
326,C3811408,C4014586,0.1028
327,C1419042,C0752081,0.3372
328,C3178002,C3175683,0.1787
329,C0941472,C0031997,0.1140
330,C2448030,C0803554,0.0789
331,C0927575,C4047252,0.1043
332,C1414664,C1707228,0.6617
333,C4038473,C0274689,0.0504
334,C3160021,C0362700,0.3010
335,C3823188,C0836301,0.1297
336,C1544184,C3026265,0.1549
337,C1648847,C0948198,0.0580
338,C1291044,C0029882,0.3604
339,C3714501,C2554941,0.0973
340,C2936000,C3445390,0.1692
341,C2410581,C3898717,0.0483
342,C3485683,C3329657,0.0829
343,C0240466,C1977232,0.1056
344,C1557788,C1187752,0.0713
345,C1504863,C0945550,0.1461
346,C3172362,C1378214,0.5221
347,C1851353,C2715027,0.1374
348,C1021189,C0817305,0.0394
349,C0505070,C2467822,0.0716
350,C2923866,C0244528,0.2978
