,CUI1,CUI2,vector
0,C2727065,C3410211,0.1168
1,C1929019,C1091452,0.0180
2,C2966747,C0945436,0.2103
3,C3909395,C0993143,0.3604
4,C2966623,C3529178,0.0938
5,C2608226,C0658844,0.0563
6,C3900820,C2929244,0.2286
7,C2484955,C1510486,0.1239
8,C1543226,C1006014,0.0979
9,C3105542,C1864049,0.0490
10,C0028663,C0288968,0.1806
11,C1544194,C1859208,0.2403
12,C0677866,C1543748,0.3231
13,C0192475,C3663117,0.0975
14,C0978485,C1977280,0.7126
15,C2520474,C1824369,0.1301
16,C3212764,C1936006,0.1293
17,C0031138,C0012601,0.3667
18,C0245603,C1679830,0.2528
19,C0030239,C4035033,0.0834
20,C3556482,C0694370,0.5781
21,C1569853,C2650776,0.0469
22,C3950246,C1029453,0.0832
23,C1479387,C3488915,0.1135
24,C0797293,C0798269,0.2048
25,C3180260,C3733007,0.0366
26,C2984543,C3251870,0.0325
27,C1668077,C0307038,0.0114
28,C0282072,C2380203,0.0911
29,C1608677,C0603153,0.0037
30,C1315821,C3763634,0.1082
31,C0279584,C3541877,0.1751
32,C0366175,C2707595,0.0899
33,C1074676,C3493371,0.1674
34,C1952821,C0021289,0.3718
35,C0875614,C0008523,0.1029
36,C0260205,C0593573,0.0000
37,C2293545,C1962961,0.0000
38,C2629681,C1152513,0.0108
39,C1324877,C0013722,0.0542
40,C1831526,C0799458,0.4858
41,C2659423,C0482942,0.2303
42,C2988613,C1634632,0.0000
43,C1507964,C2503986,0.1435
44,C3764754,C3172423,0.0601
45,C1315707,C0260694,0.4956
46,C2629002,C2736514,0.2219
47,C1147060,C2386359,0.1018
48,C1383808,C0973769,0.2450
49,C1050879,C0224888,0.0979
50,C2428626,C1147111,0.2484
51,C1670095,C0001080,0.2226
52,C1510475,C0365028,0.1040
53,C0057693,C0796066,0.4436
54,C2829390,C1415523,0.8604
55,C3402619,C3253634,0.4281
56,C0978650,C2694343,0.2514
57,C1875889,C3962810,0.2197
58,C3530961,C1910438,0.0932
59,C3481737,C0801345,0.6253
60,C1527983,C2401131,0.1012
61,C2699119,C0021910,0.1739
62,C1239576,C4019316,0.0581
63,C2985586,C2828660,0.0063
64,C0259969,C2641502,0.1047
65,C3482392,C1553214,0.7759
66,C1369545,C1946866,0.0917
67,C0486045,C0880015,0.2959
68,C2460557,C0967783,0.1488
69,C3032585,C0484136,0.3106
70,C0027581,C2735986,0.2199
71,C0399480,C2324142,0.0000
72,C0080264,C0006840,0.6469
73,C1545035,C3757922,0.3042
74,C1276802,C2438097,0.2177
75,C2239747,C1146399,0.0231
76,C1147728,C2955479,0.3436
77,C1540541,C1051395,0.0000
78,C1333687,C0057877,0.1176
79,C2246261,C1524894,0.0412
80,C3255703,C2917972,0.2915
81,C0353619,C0384719,0.2665
82,C3901246,C1609947,0.5670
83,C0995720,C1000489,0.0772
84,C1044119,C2726940,0.0000
85,C3620525,C0752180,0.1433
86,C0606985,C1464529,0.1104
87,C1489689,C3083311,0.0317
88,C2265666,C1114624,0.1065
89,C3169733,C1517129,0.3240
90,C2699220,C0820408,0.1961
91,C3004892,C0834349,0.0631
92,C1649986,C1262337,0.0796
93,C0238463,C3360945,0.4101
94,C3439396,C2420798,0.0365
95,C1958758,C0794340,0.1305
96,C0751074,C0647296,0.0475
97,C1475095,C0706992,0.0151
98,C2733784,C0014867,0.7523
99,C2265216,C1865776,0.2441
100,C1419237,C1412091,0.7059
101,C2923361,C2973005,0.2498
102,C1505615,C2377172,0.0559
103,C2419284,C1023080,0.0465
104,C0538460,C3233726,0.0788
105,C1114548,C1249393,0.0509
106,C0281706,C0598002,0.1214
107,C1525079,C1631077,0.1466
108,C0881327,C2624506,0.1214
109,C3823970,C3429582,0.0618
110,C2735306,C2436904,0.6024
111,C2827716,C4037681,0.1184
112,C2534288,C2419469,0.9134
113,C3248398,C3362915,0.0000
114,C2952117,C3091855,0.0330
115,C3891533,C0655538,0.0489
116,C2268622,C1551557,0.1334
117,C2807056,C3420384,0.0180
118,C3223755,C0826583,0.0000
119,C1414399,C1956000,0.1787
120,C0651021,C2447157,0.0148
121,C0796671,C1949506,0.3247
122,C1281139,C0689819,0.5911
123,C0331409,C1199841,0.0151
124,C0787058,C1825283,0.2755
125,C2360505,C0482440,0.8019
126,C3916420,C3244538,0.1103
127,C0648894,C3483531,0.0182
128,C1626971,C1559489,0.1142
129,C0804529,C3932717,0.1837
130,C3893994,C0304102,0.0592
131,C1005971,C3790764,0.9857
132,C2603534,C0621329,0.5702
133,C3467898,C2564398,0.0317
134,C0018784,C1714724,0.2812
135,C0678783,C1334837,0.0966
136,C1074022,C0129104,0.0887
137,C1586019,C2599275,0.3150
138,C0741729,C0030873,0.1247
139,C1031466,C0047748,0.6341
140,C3434865,C1147337,0.1183
141,C2401793,C0801976,0.1110
142,C0944033,C1544524,0.3290
143,C3954568,C3990865,0.9885
144,C3412666,C0678230,0.1180
145,C3415058,C1720918,0.0936
146,C2572914,C0797452,0.1155
147,C1188342,C0708057,0.0130
148,C1864567,C0801455,0.1380
149,C0446719,C2499787,0.0977
150,C1157245,C0364990,0.3485
151,C0797961,C1946521,0.0000
152,C3486315,C3540734,0.5915
153,C2484174,C2462571,0.6991
154,C0818078,C0198160,0.0000
155,C0450606,C3978678,0.1095
156,C2446854,C2455427,0.4396
157,C0734218,C2948020,0.0197
158,C1016708,C0803672,0.0509
159,C4033268,C3470999,0.1497
160,C2660621,C0796965,0.2111
161,C2405190,C1714992,0.1941
162,C3258310,C0086593,0.0844
163,C2375810,C3720975,0.0659
