,CUI1,CUI2,vector
0,C3148204,C3106444,0.0373
1,C0728800,C2451014,0.1609
2,C2685534,C3768659,0.0607
3,C1524879,C3070139,0.1558
4,C3471072,C0224362,0.1146
5,C1384580,C0156221,0.4015
6,C3558947,C1946907,0.0297
7,C2477388,C0019475,0.2269
8,C0802790,C0239878,0.3732
9,C3965278,C1526001,0.0155
10,C0043402,C0872304,0.0648
11,C2936438,C0798181,0.0694
12,C2445547,C0049417,0.0219
13,C3128222,C3940088,0.3968
14,C0551274,C0033137,0.0826
15,C0483053,C3658302,0.1845
16,C0486727,C0817547,0.0000
17,C3025200,C1428216,0.0409
18,C1878324,C0765395,0.4776
19,C0424043,C0363901,0.1311
20,C2727643,C0363914,0.8030
21,C0006055,C2727243,0.3202
22,C1319171,C3174444,0.2610
23,C3595258,C0483768,0.0875
24,C1415380,C1537547,0.4554
25,C3927692,C2713148,0.1888
26,C1000912,C0324765,0.0921
27,C0949628,C1145706,0.7581
28,C0042815,C0001208,0.1261
29,C1147043,C0485297,0.5536
30,C0123931,C0604329,0.1039
31,C1508068,C3065938,0.3490
32,C3930153,C0365527,0.0500
33,C1442336,C0344449,0.0734
34,C2643215,C1680145,0.1679
35,C1712191,C2421154,0.0624
36,C2992690,C2706903,0.1024
37,C1315228,C0029897,0.3080
38,C3628859,C2342137,0.9408
39,C0024349,C1157031,0.0363
40,C1651730,C1316227,0.0282
41,C1316452,C3383595,0.2225
42,C3853871,C3947478,0.0000
43,C3129541,C0266060,0.0245
44,C0032375,C3476092,0.0599
45,C3085456,C3431114,0.0617
46,C0607926,C0224718,0.1690
47,C3548749,C0155456,0.0592
48,C0366109,C0506753,0.2293
49,C3435073,C1023871,0.0804
50,C1642559,C0869009,0.0000
51,C2581979,C3803181,0.0608
52,C0077089,C3143045,0.1682
53,C3942618,C1334122,0.8115
54,C1711013,C1959352,0.0572
55,C3069109,C0945121,0.2321
56,C0720850,C0723515,0.9816
57,C1246811,C2277924,0.0000
58,C1421061,C3545904,0.1398
59,C2725125,C0038522,0.5455
60,C1621295,C1715080,0.0209
61,C0394735,C0010177,0.0739
62,C0603272,C2427308,0.2501
63,C1308497,C0694768,0.1828
64,C0546880,C1846724,0.3673
65,C1427697,C0224419,0.1601
66,C1556896,C0019079,0.2574
67,C2361772,C2660223,0.0000
68,C2733783,C1158005,0.2783
69,C1438738,C2771110,0.0288
70,C0642244,C0504224,0.0000
71,C2727056,C1317029,0.1712
72,C3105082,C2630762,0.0180
73,C0636285,C1838165,0.1095
74,C3219312,C1663918,0.0769
75,C0713929,C4004836,0.0913
76,C0041261,C1644626,0.1871
77,C2336336,C1449799,0.0348
78,C1539193,C0713341,0.0000
79,C1819025,C1417810,0.2869
80,C1053766,C1371436,0.0399
81,C2286128,C0214177,0.0000
82,C0802726,C1577147,0.0653
83,C0003299,C1022934,0.0000
84,C0389003,C0206682,0.5856
85,C0013261,C0879832,0.3914
86,C0368419,C0803427,0.5357
87,C2658692,C2999648,0.0326
88,C1526099,C2654826,0.0282
89,C3282334,C0035222,0.4100
90,C1337052,C1661128,0.2030
91,C0262382,C2448816,0.0999
92,C3346696,C2607039,0.0058
93,C3724821,C0454451,0.0000
94,C2749136,C3435853,0.0197
95,C1264843,C2639564,0.8441
96,C1001103,C0879933,0.1455
97,C1544995,C0641061,0.4050
98,C0364285,C0802865,0.0927
99,C0994365,C0200069,0.1437
100,C1189051,C3262970,0.0788
101,C0007623,C0942244,0.1073
102,C2713275,C3260246,0.1790
103,C1448928,C3343195,0.0078
104,C1173255,C3156399,0.0357
105,C1425527,C1543771,0.2312
106,C3334136,C0230099,0.1338
107,C0537009,C0991523,0.0591
108,C2398360,C0221263,0.2092
109,C2456253,C2344311,0.0355
110,C3639283,C2350997,0.0459
111,C0282201,C1163500,0.0249
112,C0803749,C3059158,0.0197
113,C0339527,C1428597,0.1832
114,C2488934,C2752500,0.1188
115,C0364867,C2548799,0.0411
116,C0123408,C1628915,0.0371
117,C1449728,C0265326,0.1719
118,C1622119,C3043894,0.0581
119,C0366111,C3090897,0.1447
120,C1315813,C3330536,0.0240
121,C0503793,C0980440,0.1131
122,C3596631,C1954920,0.1082
123,C2726669,C2271457,0.0000
124,C1528360,C0804631,0.1116
125,C0282577,C0978000,0.6706
126,C3215454,C0960368,0.1482
127,C0225358,C0776477,0.4814
128,C1912938,C3836560,0.1644
