,CUI1,CUI2,vector
0,C1879704,C0036412,0.4454
1,C1149041,C0584876,0.1031
2,C1003184,C0836695,0.1399
3,C1838572,C0798845,0.1928
4,C1147684,C2621356,0.2311
5,C0699815,C0792463,0.0785
6,C0025249,C2795396,0.7527
7,C2347369,C1226893,0.4716
8,C1953069,C1125026,0.1373
9,C1830901,C0258099,0.0000
10,C3484570,C0979741,0.1760
11,C0484087,C1426173,0.1566
12,C3992653,C2303993,0.0759
13,C1717193,C2553847,0.1202
14,C3271609,C0627858,0.1663
15,C2642936,C0619992,0.0341
16,C0002871,C3040081,0.3024
17,C2614312,C3362654,0.0460
18,C0881068,C0704806,0.1043
19,C0018378,C3847438,0.4081
20,C0797890,C0754456,0.2687
21,C0363343,C0237935,0.1712
22,C0943661,C3103824,0.1009
23,C1707183,C0483157,0.5367
24,C0429757,C2780767,0.0529
25,C0797715,C3711562,0.2858
26,C0797767,C3901809,0.1026
27,C0050528,C1025261,0.1838
28,C1384550,C3553060,0.1064
29,C3291394,C0738631,0.7212
30,C3081083,C2989670,0.7557
31,C1438778,C1449504,0.1372
32,C1316935,C1562447,0.1540
33,C0216784,C1038924,0.0002
34,C0017132,C2919146,0.1860
35,C3940811,C3892463,0.3441
36,C2973922,C1637483,0.0071
37,C3545041,C3640741,0.0318
38,C1113949,C0488991,0.1633
39,C3669398,C0483034,0.1374
40,C3398997,C0505043,0.4174
41,C1542961,C3370781,0.3148
42,C3541289,C3921920,0.0858
43,C0023448,C2999464,0.2115
44,C2465263,C3400941,0.0495
45,C4027207,C3423247,0.1275
46,C1134568,C3924261,0.1050
47,C3869688,C3987783,0.0655
48,C3639399,C3175036,0.2020
49,C1715594,C1637793,0.3524
50,C2622707,C3060065,0.0731
51,C3967466,C1081517,0.0536
52,C3747963,C1567379,0.0414
53,C0034796,C0060277,0.3441
54,C1526118,C0730684,0.3292
55,C1421496,C2769225,0.0210
56,C2649584,C0005697,0.1332
57,C2661399,C0934364,0.1520
58,C3888273,C3853046,0.3855
59,C0978638,C0798000,0.2081
60,C1013450,C4033434,0.1096
61,C1659821,C0058772,0.0924
62,C0170473,C0693045,0.1546
63,C1421929,C0943050,0.0748
64,C2707080,C1051768,0.0945
65,C1743796,C1647601,0.0661
66,C1880474,C0362511,0.6200
67,C0037473,C3457444,0.2600
68,C3610020,C1632255,0.1172
69,C2923565,C3815159,0.0088
70,C2361386,C3922129,0.1434
71,C0152095,C0224722,0.2109
72,C3169552,C3068245,0.2180
73,C1421446,C3285471,0.7804
74,C1545892,C1931785,0.0000
75,C3790641,C1674167,1.0000
76,C4006004,C3728564,0.0328
77,C0915619,C0151222,0.1985
78,C1539620,C0796841,0.0443
79,C1324867,C1954327,0.0468
80,C1517236,C2824885,0.0144
81,C2246327,C2735863,0.0532
82,C1041589,C0801698,0.5931
83,C3256182,C0552074,0.2442
84,C0038558,C1753319,0.3221
85,C0941829,C1664889,0.1177
86,C1341224,C1334532,0.0530
87,C1539269,C0882368,0.1190
88,C1528507,C3244309,0.0296
89,C2632120,C3476166,0.1141
90,C2565668,C2392762,0.7559
91,C1337587,C1023144,0.0841
92,C4033069,C1825371,0.1451
93,C0023267,C0960986,0.1289
94,C3560400,C1220836,0.9917
95,C3813558,C3414166,0.1009
96,C0038367,C2457413,0.1963
97,C0350279,C3483031,0.2255
98,C1915604,C3482346,0.2006
99,C0797695,C3763285,0.1409
100,C2691744,C3779632,0.0448
101,C1149680,C2385576,0.0098
102,C2796762,C3813821,0.0363
103,C3808503,C2635576,0.0746
104,C3106397,C1475853,0.8994
105,C1135732,C0072642,0.0294
106,C1494868,C0014856,0.1676
107,C1708376,C1293971,0.2525
108,C2608045,C0804410,0.5102
109,C2239889,C2643070,0.0244
110,C0037518,C2306385,0.0807
111,C3654982,C2475908,0.2060
112,C2337308,C2413249,0.0781
113,C1089473,C3568142,0.0096
114,C1866608,C0007257,0.3408
115,C1688309,C2450540,0.0588
116,C2428465,C2366121,0.0066
117,C0781282,C0313452,0.2019
118,C2636053,C0364291,0.2414
119,C0855815,C0600503,0.1543
120,C1181745,C2672731,0.2757
121,C0392338,C1147687,0.1071
122,C1648465,C4046084,0.1772
123,C0803832,C2734915,0.1668
124,C0063555,C3656424,0.1708
125,C1525792,C3763737,0.0822
126,C1459936,C2494648,0.0468
127,C0804382,C2564200,0.2122
128,C0280606,C0280230,0.1766
129,C0365733,C2423182,0.0401
130,C0455913,C1427484,0.1051
131,C1319266,C1564200,0.1606
132,C1412109,C0012462,0.1056
133,C1644675,C3054073,1.0000
134,C0943606,C0021027,0.4775
135,C1431132,C0905644,0.5989
136,C1236743,C1370210,0.0000
137,C2650226,C2931746,0.3771
138,C0999516,C1314088,0.1315
139,C3263009,C1150214,0.0875
140,C1669484,C0037585,0.1958
141,C1853965,C1572032,0.0318
142,C1147831,C1119966,0.1038
143,C1943395,C4023792,0.0724
144,C1159769,C0973455,0.1315
145,C0368273,C1678329,0.3118
146,C2925967,C0821773,0.3436
147,C0484644,C3332145,0.1921
148,C3039874,C3541378,0.4503
149,C3441449,C0226789,0.0563
150,C0118365,C0367311,0.1106
151,C0818468,C0154043,0.0591
